total_time;spawn_time;image_time;instance_time;concurrent_instances
8587;305;-;200;30
11156;278;-;182;30
13959;579;-;447;30
15167;833;-;529;30
15279;1065;-;729;30
16315;1030;-;522;30
17530;1007;-;517;30
17357;870;-;703;30
19126;2370;-;2165;30
19245;2484;-;2068;30
19201;2274;-;2129;30
19748;1325;-;1196;30
19779;2139;-;2036;30
20164;1625;-;1500;30
19778;3687;-;3115;30
20064;939;-;750;30
19810;1791;-;1409;30
19611;2257;-;2166;30
19974;1698;-;1567;30
19794;1549;-;1294;30
19856;2649;-;2491;30
19928;2763;-;2593;30
19720;2675;-;2271;30
20070;2206;-;2039;30
19962;862;-;623;30
19967;1221;-;1044;30
20570;3584;-;2978;30
19844;3312;-;2639;30
19817;1304;-;944;30
20358;1854;-;1774;30
