total_time;spawn_time;image_import;instance_time;concurrent_instances
22768;16266;14487;1315;10
23023;15718;14845;736;10
23127;15179;14331;497;10
23222;16067;14536;1193;10
23380;15104;14290;493;10
23356;15642;13614;1119;10
23422;15484;13741;929;10
23453;15335;13810;727;10
23621;15225;14248;589;10
23530;15743;13619;1247;10
24104;17129;16028;546;10
24118;17982;16141;1250;10
24104;17327;15884;1180;10
24347;17111;16047;915;10
24520;17116;15732;926;10
24501;16781;15859;737;10
24533;17407;16081;1023;10
24670;17033;15970;563;10
24934;17979;16012;1293;10
25186;19211;18745;276;10
26041;19738;17036;2131;10
26398;19959;17111;2253;10
26536;19830;17003;2003;10
26800;19637;16916;2079;10
26719;19836;17103;2134;10
27098;19707;17077;2100;10
27209;20977;20158;473;10
27262;19600;17846;1304;10
27164;19537;16878;2025;10
29279;23103;22510;195;10
25571;19272;17510;1021;10
25500;19227;18275;700;10
25997;19047;17416;916;10
26012;19029;18120;568;10
26078;19320;18204;813;10
26230;19093;18033;720;10
26668;19669;17813;1152;10
26810;19595;17723;992;10
26765;20734;20105;273;10
26807;19509;17522;1243;10
32826;21336;16602;2962;20
35116;23348;18971;3059;20
35199;23598;21338;1982;20
35674;24585;23009;936;20
36256;25326;23768;1303;20
36250;24892;24355;364;20
36269;24975;24566;281;20
36953;25809;25066;578;20
37145;25633;24570;523;20
37172;24835;23546;378;20
38201;26013;24226;462;20
38579;25976;24437;1024;20
38424;25731;24293;553;20
38616;27498;24812;1432;20
38713;25526;24214;653;20
38913;26705;24898;819;20
39226;27122;24741;1138;20
39234;26304;24870;714;20
39342;26835;24695;948;20
39650;26958;24895;905;20
28921;18074;17237;519;20
29824;19817;18787;747;20
31618;20217;19042;791;20
32586;21698;19741;1163;20
32796;20627;18183;869;20
33194;21644;20642;781;20
33373;21341;20013;827;20
33281;21865;20590;1018;20
33702;22022;20723;987;20
34188;22727;20582;526;20
34715;24373;23573;555;20
34780;23511;21462;397;20
34852;22901;21607;819;20
34760;23726;21615;541;20
35092;22179;19746;797;20
35184;23176;21093;510;20
35331;23168;21605;643;20
35068;23467;21106;546;20
35056;23166;21068;530;20
35432;23869;21893;358;20
31955;21552;19528;1207;20
31971;21199;19083;1795;20
31783;19882;17600;1547;20
31993;20531;19645;376;20
32454;21633;20169;879;20
32879;21059;20126;382;20
33037;22639;21048;439;20
34054;22896;21891;532;20
34192;22628;21646;519;20
34317;22784;21544;659;20
34389;22735;21952;462;20
36362;24614;23041;1173;20
36485;23833;22448;990;20
36389;24860;23388;1124;20
36616;24850;23634;853;20
36911;25336;23578;1136;20
36934;24764;23380;576;20
37057;25265;23576;1172;20
37367;25859;23752;1261;20
37422;25711;23749;1197;20
26243;14312;10306;3006;30
25827;8360;7388;447;30
28480;11462;9520;504;30
29198;11935;10828;377;30
31035;13587;12694;473;30
31693;14083;13128;527;30
31575;14209;13546;338;30
32254;14936;13880;472;30
32859;15758;15144;410;30
32876;14273;13570;359;30
33582;15865;15040;401;30
35145;17638;16631;495;30
35297;19508;18477;652;30
35487;18398;17522;456;30
35106;17867;16900;583;30
35273;17960;16512;714;30
37503;20217;18621;1145;30
37925;22683;21804;635;30
37878;20859;18498;1597;30
37498;20368;18207;1792;30
38105;20201;18068;1516;30
38242;21738;19615;1778;30
38081;19228;18209;686;30
38611;22286;21302;772;30
38680;21537;20014;1249;30
38736;20667;19356;1080;30
38291;20497;18630;1571;30
38774;24077;22466;1462;30
38083;20950;18986;1559;30
38385;21213;19326;1428;30
