"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
2.321,0.501,97.135,0.040,0.000,0.003,2593189888.0,505565184.0,7621926912.0,1.24435849216e+11,0.0,0.0,94236.657,939364.402,1438059288.608,5.412,170.662
0.187,0.094,99.719,0.0,0.0,0.0,2592100352.0,505565184.0,7621931008.0,1.24436934656e+11,392.0,1266.0,0.0,0.0,1438059289.609,0.0,0.0
0.094,0.063,99.844,0.0,0.0,0.0,2591764480.0,505565184.0,7621935104.0,1.24437266432e+11,1661.0,2741.0,0.0,0.0,1438059290.609,0.0,0.0
0.156,0.062,99.781,0.0,0.0,0.0,2591428608.0,505565184.0,7621935104.0,1.24437602304e+11,134.0,422.0,0.0,0.0,1438059291.609,0.0,0.0
0.312,0.249,99.439,0.0,0.0,0.0,2590998528.0,505565184.0,7621935104.0,1.24438032384e+11,134.0,422.0,0.0,0.0,1438059292.609,0.0,0.0
0.188,0.062,99.750,0.0,0.0,0.0,2590875648.0,505565184.0,7621935104.0,1.24438155264e+11,1911.0,4194.0,0.0,0.0,1438059293.609,0.0,0.0
0.187,0.062,99.750,0.0,0.0,0.0,2589970432.0,505565184.0,7621939200.0,1.24439056384e+11,134.0,422.0,0.0,32768.0,1438059294.609,0.0,2.0
0.250,0.187,99.563,0.0,0.0,0.0,2589609984.0,505565184.0,7621939200.0,1.24439416832e+11,134.0,438.0,0.0,0.0,1438059295.609,0.0,0.0
0.187,0.062,99.750,0.0,0.0,0.0,2588835840.0,505565184.0,7621939200.0,1.24440190976e+11,134.0,422.0,0.0,0.0,1438059296.609,0.0,0.0
0.156,0.125,99.719,0.0,0.0,0.0,2588594176.0,505565184.0,7621939200.0,1.2444043264e+11,134.0,422.0,0.0,0.0,1438059297.609,0.0,0.0
0.968,0.125,98.876,0.0,0.0,0.031,2588176384.0,505565184.0,7621939200.0,1.24440850432e+11,134.0,422.0,0.0,0.0,1438059298.609,0.0,0.0
0.750,0.125,99.125,0.0,0.0,0.0,2588614656.0,505565184.0,7621951488.0,1.24440399872e+11,161605.0,148527.0,0.0,16384.0,1438059299.609,0.0,2.0
0.780,0.187,99.032,0.0,0.0,0.0,2587836416.0,505565184.0,7621959680.0,1.2444116992e+11,50791.0,73613.0,0.0,0.0,1438059300.609,0.0,0.0
1.974,0.721,97.305,0.0,0.0,0.0,2588303360.0,505565184.0,7674212352.0,1.24388450304e+11,43161.0,81671.0,0.0,0.0,1438059301.609,0.0,0.0
2.698,0.690,96.454,0.0,0.0,0.157,2590830592.0,505565184.0,7782268928.0,1.24277866496e+11,69572038.0,333149.0,0.0,99196928.0,1438059302.609,0.0,375.0
2.409,1.032,96.059,0.0,0.0,0.500,2589347840.0,505565184.0,7897849856.0,1.2416376832e+11,116627510.0,646377.0,0.0,0.0,1438059303.609,0.0,0.0
2.535,0.751,96.432,0.031,0.0,0.250,2589286400.0,505565184.0,8013942784.0,1.24047736832e+11,121571930.0,562156.0,0.0,151552.0,1438059304.609,0.0,2.0
2.385,1.067,96.171,0.0,0.0,0.377,2587529216.0,505565184.0,8133931008.0,1.23929505792e+11,123111769.0,525828.0,0.0,0.0,1438059305.609,0.0,0.0
2.071,0.816,96.862,0.0,0.0,0.251,2587860992.0,505565184.0,8251138048.0,1.23811966976e+11,123374730.0,522438.0,0.0,0.0,1438059306.609,0.0,0.0
2.321,0.847,96.612,0.0,0.0,0.220,2588299264.0,505565184.0,8369373184.0,1.23693293568e+11,123375584.0,522762.0,0.0,0.0,1438059307.609,0.0,0.0
2.228,0.942,96.579,0.0,0.0,0.251,2587680768.0,505565184.0,8487362560.0,1.23575922688e+11,123371030.0,552232.0,0.0,0.0,1438059308.609,0.0,0.0
2.288,0.909,96.553,0.0,0.0,0.251,2586333184.0,505565184.0,8604397568.0,1.23460235264e+11,123377562.0,279457.0,0.0,24576.0,1438059309.609,0.0,2.0
2.134,0.565,96.830,0.0,0.0,0.471,2584715264.0,505565184.0,8722980864.0,1.23343269888e+11,123373194.0,518647.0,0.0,0.0,1438059310.609,0.0,0.0
2.356,0.754,96.702,0.0,0.0,0.188,2586714112.0,505565184.0,8839475200.0,1.23224776704e+11,123376062.0,546260.0,0.0,0.0,1438059311.609,0.0,0.0
2.290,0.972,96.424,0.0,0.0,0.314,2586247168.0,505565184.0,8957165568.0,1.2310755328e+11,123375584.0,437572.0,0.0,0.0,1438059312.609,0.0,0.0
2.135,0.973,96.641,0.0,0.0,0.251,2586554368.0,505565184.0,9075470336.0,1.22988941312e+11,123380138.0,255782.0,0.0,0.0,1438059313.609,0.0,0.0
2.289,0.815,96.676,0.0,0.0,0.220,2585948160.0,505565184.0,9193082880.0,1.22871934976e+11,123374456.0,535937.0,0.0,24576.0,1438059314.609,0.0,2.0
2.661,0.877,96.243,0.0,0.0,0.219,2586218496.0,505565184.0,9311334400.0,1.2275341312e+11,123375654.0,540116.0,0.0,0.0,1438059315.609,0.0,0.0
2.540,2.634,94.701,0.031,0.0,0.094,2595651584.0,505565184.0,9571352576.0,1.22483961856e+11,123373471.0,506300.0,0.0,0.0,1438059316.609,0.0,0.0
2.485,2.768,94.652,0.0,0.0,0.094,2595532800.0,505778176.0,9937031168.0,1.22118189056e+11,123379421.0,187392.0,0.0,0.0,1438059317.609,0.0,0.0
