"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","controller",,,,"User:","stack"
"Cmdline:","dstat -cmndTr --output 10_dstat_controller.csv 1 60",,,,"Date:","28 Jul 2015 01:54:49 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"epoch","io/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
0.731,0.265,98.670,0.331,0.000,0.003,11270770688.0,408690688.0,11985113088.0,43848028160.0,0.0,0.0,1193.009,910634.829,1438059289.095,0.084,87.789
0.564,0.157,99.280,0.0,0.0,0.0,11270770688.0,408690688.0,11985113088.0,43848028160.0,322.0,1148.0,0.0,0.0,1438059290.096,0.0,0.0
0.407,0.188,99.249,0.156,0.0,0.0,11270709248.0,408690688.0,11985117184.0,43848085504.0,134.0,422.0,0.0,49152.0,1438059291.096,0.0,3.0
0.533,0.094,99.153,0.220,0.0,0.0,11270057984.0,408690688.0,11985121280.0,43848732672.0,2829.0,2383.0,0.0,847872.0,1438059292.096,0.0,36.0
0.563,0.156,99.281,0.0,0.0,0.0,11270148096.0,408690688.0,11985125376.0,43848638464.0,134.0,438.0,0.0,0.0,1438059293.096,0.0,0.0
0.376,0.094,99.310,0.220,0.0,0.0,11269758976.0,408690688.0,11985125376.0,43849027584.0,6704.0,4087.0,0.0,28672.0,1438059294.096,0.0,3.0
0.376,0.157,99.311,0.157,0.0,0.0,11269328896.0,408690688.0,11985125376.0,43849457664.0,886.0,1598.0,0.0,28672.0,1438059295.096,0.0,3.0
3.008,0.533,96.365,0.094,0.0,0.0,11296948224.0,408690688.0,11985149952.0,43821813760.0,698.0,792.0,0.0,86016.0,1438059296.096,0.0,6.0
4.134,0.783,93.956,1.065,0.0,0.063,11300249600.0,408690688.0,11985215488.0,43818446848.0,134.0,438.0,0.0,835584.0,1438059297.096,0.0,94.0
