"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute",,,,"User:","stack"
"Cmdline:","dstat -cmndTr --output 20_dstat_compute.csv 1 120",,,,"Date:","10 Aug 2015 20:29:49 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"epoch","io/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
0.415,0.707,98.721,0.155,0.000,0.002,1945862144.0,401780736.0,1899155456.0,1.30909732864e+11,0.0,0.0,228106.601,1225405.907,1439249389.759,15.586,113.495
0.125,0.125,99.750,0.0,0.0,0.0,1945358336.0,401780736.0,1899159552.0,1.30910232576e+11,516.0,1266.0,0.0,0.0,1439249390.760,0.0,0.0
0.063,0.031,99.906,0.0,0.0,0.0,1945600000.0,401780736.0,1899159552.0,1.30909990912e+11,386.0,422.0,0.0,0.0,1439249391.760,0.0,0.0
0.188,0.125,99.687,0.0,0.0,0.0,1945595904.0,401780736.0,1899159552.0,1.30909995008e+11,946.0,422.0,0.0,1437696.0,1439249392.760,0.0,209.0
0.156,0.125,99.719,0.0,0.0,0.0,1945841664.0,401780736.0,1899159552.0,1.30909749248e+11,732.0,438.0,0.0,0.0,1439249393.760,0.0,0.0
0.063,0.125,99.812,0.0,0.0,0.0,1946013696.0,401780736.0,1899159552.0,1.30909577216e+11,198.0,422.0,0.0,0.0,1439249394.760,0.0,0.0
0.063,0.094,99.844,0.0,0.0,0.0,1946013696.0,401780736.0,1899159552.0,1.30909577216e+11,198.0,422.0,0.0,61440.0,1439249395.760,0.0,2.0
0.094,0.063,99.844,0.0,0.0,0.0,1946279936.0,401780736.0,1899159552.0,1.30909310976e+11,3444.0,4898.0,0.0,0.0,1439249396.760,0.0,0.0
0.188,0.063,99.750,0.0,0.0,0.0,1946259456.0,401780736.0,1899159552.0,1.30909331456e+11,946.0,422.0,0.0,0.0,1439249397.760,0.0,0.0
