"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute",,,,"User:","stack"
"Cmdline:","dstat -cmndTr --output 30_dstat_compute.csv 1 180",,,,"Date:","28 Jul 2015 01:50:12 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"epoch","io/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
2.320,0.501,97.135,0.040,0.000,0.003,2602119168.0,491896832.0,7605391360.0,1.2445712384e+11,0.0,0.0,94257.175,938091.872,1438059012.680,5.414,170.684
0.094,0.062,99.813,0.031,0.0,0.0,2601971712.0,491896832.0,7605395456.0,1.244572672e+11,497.0,1266.0,0.0,5480448.0,1438059013.681,0.0,89.0
0.125,0.094,99.781,0.0,0.0,0.0,2601025536.0,491896832.0,7605399552.0,1.2445820928e+11,134.0,438.0,0.0,0.0,1438059014.681,0.0,0.0
0.188,0.094,99.719,0.0,0.0,0.0,2601111552.0,491896832.0,7605403648.0,1.24458119168e+11,134.0,422.0,0.0,0.0,1438059015.681,0.0,0.0
0.187,0.031,99.781,0.0,0.0,0.0,2599645184.0,491896832.0,7605403648.0,1.24459585536e+11,476.0,422.0,0.0,0.0,1438059016.681,0.0,0.0
0.125,0.094,99.781,0.0,0.0,0.0,2599010304.0,491896832.0,7605403648.0,1.24460220416e+11,826.0,422.0,0.0,0.0,1438059017.681,0.0,0.0
0.281,0.156,99.563,0.0,0.0,0.0,2597478400.0,491896832.0,7605403648.0,1.2446175232e+11,134.0,422.0,0.0,114688.0,1438059018.681,0.0,2.0
0.375,0.094,99.500,0.0,0.0,0.031,2596835328.0,491896832.0,7605403648.0,1.24462395392e+11,134.0,438.0,0.0,0.0,1438059019.681,0.0,0.0
0.532,0.063,99.406,0.0,0.0,0.0,2596651008.0,491896832.0,7605411840.0,1.2446257152e+11,33221.0,29359.0,0.0,0.0,1438059020.681,0.0,0.0
0.249,0.218,99.532,0.0,0.0,0.0,2597482496.0,491896832.0,7605411840.0,1.24461740032e+11,56645.0,41765.0,0.0,0.0,1438059021.681,0.0,0.0
0.281,0.156,99.563,0.0,0.0,0.0,2595692544.0,491896832.0,7605411840.0,1.24463529984e+11,134.0,422.0,0.0,0.0,1438059022.681,0.0,0.0
0.250,0.125,99.625,0.0,0.0,0.0,2595053568.0,491896832.0,7605415936.0,1.24464164864e+11,322.0,556.0,0.0,0.0,1438059023.681,0.0,0.0
0.250,0.187,99.563,0.0,0.0,0.0,2594811904.0,491896832.0,7605415936.0,1.24464406528e+11,134.0,422.0,0.0,24576.0,1438059024.681,0.0,2.0
