"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
0.730,0.265,98.670,0.331,0.000,0.003,11274330112.0,408686592.0,11969277952.0,43860307968.0,0.0,0.0,1193.083,910625.479,1438059012.450,0.084,87.792
0.625,0.125,98.749,0.500,0.0,0.0,11273080832.0,408686592.0,11969277952.0,43861557248.0,426.0,1148.0,0.0,6430720.0,1438059013.451,0.0,152.0
0.594,0.219,98.968,0.219,0.0,0.0,11272478720.0,408686592.0,11969286144.0,43862151168.0,238.0,438.0,0.0,958464.0,1438059014.451,0.0,41.0
0.407,0.219,99.311,0.063,0.0,0.0,11270959104.0,408686592.0,11969286144.0,43863670784.0,510.0,706.0,0.0,24576.0,1438059015.451,0.0,3.0
0.407,0.125,99.373,0.094,0.0,0.0,11270656000.0,408686592.0,11969286144.0,43863973888.0,322.0,636.0,0.0,40960.0,1438059016.451,0.0,3.0
0.438,0.125,99.436,0.0,0.0,0.0,11270848512.0,408686592.0,11969306624.0,43863760896.0,134.0,438.0,0.0,20480.0,1438059017.451,0.0,3.0
0.407,0.094,99.499,0.0,0.0,0.0,11270410240.0,408686592.0,11969306624.0,43864199168.0,1168.0,438.0,0.0,86016.0,1438059018.451,0.0,8.0
0.940,0.376,98.371,0.313,0.0,0.0,11270639616.0,408686592.0,11969306624.0,43863969792.0,134.0,438.0,0.0,81920.0,1438059019.451,0.0,6.0
3.008,0.376,96.335,0.219,0.0,0.063,11293843456.0,408686592.0,11969310720.0,43840761856.0,16130.0,13390.0,0.0,40960.0,1438059020.451,0.0,6.0
6.356,1.033,91.703,0.845,0.0,0.063,11300429824.0,408686592.0,11969335296.0,43834150912.0,47800.0,65824.0,0.0,880640.0,1438059021.451,0.0,69.0
4.648,0.691,92.714,1.759,0.0,0.188,11301224448.0,408686592.0,11969417216.0,43833274368.0,7080.0,12052.0,0.0,1536000.0,1438059022.451,0.0,152.0
4.544,0.752,92.918,1.630,0.0,0.157,11299926016.0,408686592.0,11969486848.0,43834503168.0,134.0,438.0,0.0,2093056.0,1438059023.451,0.0,146.0
4.543,0.658,92.826,1.848,0.0,0.125,11300560896.0,408686592.0,11969540096.0,43833815040.0,134.0,438.0,0.0,8773632.0,1438059024.451,0.0,293.0
4.518,0.502,93.379,1.475,0.0,0.126,11300528128.0,408686592.0,11969609728.0,43833778176.0,134.0,438.0,0.0,1593344.0,1438059025.451,0.0,144.0
4.693,0.751,92.553,1.877,0.0,0.125,11300704256.0,408686592.0,11969687552.0,43833524224.0,134.0,438.0,0.0,1839104.0,1438059026.451,0.0,149.0
4.826,0.815,92.510,1.755,0.0,0.094,11300360192.0,408686592.0,11969765376.0,43833790464.0,134.0,438.0,0.0,1843200.0,1438059027.451,0.0,159.0
2.879,0.532,94.368,2.159,0.0,0.063,11301732352.0,408686592.0,11969810432.0,43832373248.0,134.0,438.0,0.0,1507328.0,1438059028.451,0.0,139.0
10.075,1.287,86.409,2.134,0.0,0.094,11276849152.0,408686592.0,11969916928.0,43857149952.0,155999.0,223673.0,0.0,2162688.0,1438059029.451,0.0,159.0
13.449,1.480,82.740,2.079,0.0,0.252,11279962112.0,408686592.0,11970031616.0,43853922304.0,82129.0,187259.0,0.0,2912256.0,1438059030.451,0.0,180.0
8.514,1.162,88.093,2.011,0.0,0.220,11282067456.0,408686592.0,11970170880.0,43851677696.0,101725.0,102396.0,0.0,2686976.0,1438059031.451,0.0,172.0
3.165,0.752,95.049,0.909,0.0,0.125,11285417984.0,408686592.0,11970269184.0,43848228864.0,348760.0,115330314.0,0.0,1290240.0,1438059032.451,0.0,72.0
9.017,1.472,87.101,2.192,0.0,0.219,11289395200.0,408686592.0,11970310144.0,43844210688.0,445536.0,116857653.0,0.0,2560000.0,1438059033.451,0.0,189.0
10.013,1.669,85.768,2.236,0.0,0.315,11303624704.0,408686592.0,11970473984.0,43829817344.0,676258.0,122024429.0,0.0,3133440.0,1438059034.451,0.0,171.0
3.844,0.662,93.982,1.418,0.0,0.095,11302371328.0,408686592.0,11970674688.0,43830870016.0,655373.0,123133759.0,0.0,1343488.0,1438059035.451,0.0,111.0
8.813,1.291,88.448,1.196,0.0,0.252,11304706048.0,408686592.0,11970756608.0,43828453376.0,522081.0,123371295.0,0.0,1638400.0,1438059036.451,0.0,97.0
1.006,0.314,98.492,0.157,0.0,0.031,11301740544.0,408686592.0,11970789376.0,43831386112.0,493380.0,123374365.0,0.0,499712.0,1438059037.451,0.0,17.0
0.691,0.408,98.838,0.031,0.0,0.031,11304140800.0,408686592.0,11970789376.0,43828985856.0,524854.0,123376006.0,0.0,561152.0,1438059038.451,0.0,10.0
1.133,0.566,97.986,0.283,0.0,0.031,11305959424.0,408686592.0,11970797568.0,43827159040.0,502911.0,123373172.0,0.0,495616.0,1438059039.451,0.0,21.0
0.816,0.377,98.619,0.157,0.0,0.031,11306274816.0,408686592.0,11970797568.0,43826843648.0,499691.0,123375055.0,0.0,442368.0,1438059040.451,0.0,14.0
0.755,0.252,98.772,0.126,0.0,0.094,11306143744.0,408686592.0,11970801664.0,43826970624.0,287048.0,121772359.0,0.0,438272.0,1438059041.451,0.0,15.0
0.879,0.408,98.274,0.408,0.0,0.031,11303673856.0,408686592.0,11970801664.0,43829440512.0,474594.0,123373530.0,0.0,544768.0,1438059042.451,0.0,24.0
0.628,0.345,98.932,0.094,0.0,0.0,11303612416.0,408686592.0,11970805760.0,43829497856.0,162044.0,121634742.0,0.0,425984.0,1438059043.451,0.0,18.0
0.723,0.283,98.429,0.534,0.0,0.031,11303043072.0,408686592.0,11970809856.0,43830063104.0,167502.0,122905426.0,0.0,7712768.0,1438059044.451,0.0,162.0
0.628,0.408,98.838,0.063,0.031,0.031,11302854656.0,408686592.0,11970809856.0,43830251520.0,295826.0,123374488.0,0.0,208896.0,1438059045.451,0.0,9.0
0.661,0.346,98.867,0.126,0.0,0.0,11301838848.0,408686592.0,11970809856.0,43831267328.0,456674.0,123377406.0,0.0,208896.0,1438059046.451,0.0,10.0
0.659,0.314,98.839,0.094,0.0,0.094,11302846464.0,408686592.0,11970830336.0,43830239232.0,523034.0,123372852.0,0.0,184320.0,1438059047.451,0.0,12.0
0.911,0.408,98.619,0.063,0.0,0.0,11301904384.0,408686592.0,11970830336.0,43831181312.0,415854.0,122543795.0,0.0,172032.0,1438059048.451,0.0,11.0
1.163,0.409,98.240,0.157,0.0,0.031,11304984576.0,408686592.0,11970830336.0,43828101120.0,198024.0,123374370.0,0.0,180224.0,1438059049.451,0.0,16.0
0.722,0.345,98.807,0.126,0.0,0.0,11302219776.0,408686592.0,11970830336.0,43830865920.0,164153.0,123377415.0,0.0,118784.0,1438059050.451,0.0,9.0
0.691,0.314,98.680,0.283,0.0,0.031,11304386560.0,408686592.0,11970834432.0,43828695040.0,134464.0,123372852.0,0.0,143360.0,1438059051.451,0.0,11.0
