total_time;spawn_time;image_time;domain_time;instances
27288;23681;22653;650;5
27366;22853;22211;205;5
27428;22751;21313;423;5
27441;22489;21223;619;5
28278;23727;22652;135;5
43251;36089;34141;404;10
43263;36735;35417;348;10
43345;36727;34296;472;10
43770;36686;34285;548;10
43826;37089;35352;474;10
43903;36857;34529;458;10
44042;37128;35220;706;10
44220;38739;38268;134;10
44392;36544;34703;486;10
44733;38263;37374;394;10
60001;51530;46277;989;20
70217;62629;55555;4067;20
76452;62970;57003;657;20
78412;64962;57036;1117;20
78108;65351;60354;1940;20
79369;66643;64207;403;20
79953;67019;60505;2820;20
80091;66666;62837;592;20
80407;68139;66317;428;20
80180;67706;65759;567;20
80962;66683;63904;563;20
80956;67080;65101;454;20
81691;68829;66683;435;20
81540;70015;67670;916;20
81711;69598;67504;549;20
82114;69550;67500;307;20
82103;69807;67954;265;20
83023;71872;70804;155;20
82923;71529;69726;148;20
83434;71722;70739;398;20
34813;20071;16891;1446;30
67073;0;0;187;30
74963;0;0;657;30
84676;0;0;672;30
92471;0;0;512;30
102057;0;88826;548;30
108550;91979;86293;621;30
108844;91291;87916;389;30
109189;93025;89001;187;30
114579;90511;87535;656;30
118597;100686;97554;662;30
118307;100479;95921;1020;30
118468;98072;94738;603;30
118658;99866;95979;1179;30
118361;97634;92596;566;30
118575;98731;92072;675;30
119005;100076;97900;750;30
118733;98080;92642;381;30
119032;101313;97818;1248;30
118588;98853;94904;205;30
118975;100683;96951;1549;30
119001;99823;93079;4163;30
118954;101911;96584;866;30
119271;99255;96716;469;30
119076;101293;96838;568;30
119392;101047;97606;1276;30
119713;99251;94929;673;30
119655;101355;98550;1186;30
119215;100773;96731;355;30
119385;101707;96087;1001;30
