total_time;spawn_time;image_time;domain_time;instances
8264;785;-;529;30
8573;730;-;525;30
14062;631;-;427;30
14791;457;-;301;30
14752;912;-;649;30
15261;930;-;610;30
15196;589;-;482;30
15607;635;-;511;30
15909;634;-;371;30
16149;620;-;436;30
18405;1591;-;1487;30
18552;714;-;594;30
18422;1823;-;1645;30
18303;1364;-;1288;30
18686;1245;-;1113;30
18843;2291;-;2110;30
18909;509;-;398;30
19088;1230;-;1173;30
18727;2663;-;2429;30
19311;3021;-;2708;30
18892;1746;-;1627;30
19106;1993;-;1903;30
19031;2093;-;1933;30
19078;1502;-;1383;30
19697;1281;-;1205;30
19285;1329;-;1241;30
19522;2731;-;2641;30
19186;1183;-;993;30
19476;2050;-;1957;30
19703;1559;-;1487;30
