"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute",,,,"User:","root"
"Cmdline:","dstat -cmndTr --output 20_dstat_docker.csv 1 180",,,,"Date:","06 Oct 2015 21:47:25 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"epoch","io/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
0.167,0.189,99.613,0.030,0.000,0.001,2108686336.0,91574272.0,482119680.0,1.32474150912e+11,0.0,0.0,41749.607,246831.227,1444178845.482,2.852,21.403
0.156,0.062,99.781,0.0,0.0,0.0,2109210624.0,91574272.0,482123776.0,1.32473622528e+11,1302.0,1148.0,0.0,0.0,1444178846.483,0.0,0.0
0.219,0.062,99.719,0.0,0.0,0.0,2109693952.0,91574272.0,482127872.0,1.32473135104e+11,140.0,524.0,0.0,0.0,1444178847.483,0.0,0.0
0.125,0.187,99.688,0.0,0.0,0.0,2109693952.0,91574272.0,482131968.0,1.32473131008e+11,268.0,540.0,0.0,0.0,1444178848.483,0.0,0.0
0.094,0.125,99.781,0.0,0.0,0.0,2109685760.0,91574272.0,482131968.0,1.324731392e+11,70.0,422.0,0.0,0.0,1444178849.483,0.0,0.0
0.156,0.156,99.688,0.0,0.0,0.0,2109698048.0,91574272.0,482131968.0,1.32473126912e+11,268.0,540.0,0.0,0.0,1444178850.483,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,2109665280.0,91582464.0,482127872.0,1.32473155584e+11,140.0,540.0,0.0,40960.0,1444178851.483,0.0,3.0
0.063,0.094,99.843,0.0,0.0,0.0,2109673472.0,91582464.0,482131968.0,1.32473143296e+11,268.0,556.0,0.0,0.0,1444178852.483,0.0,0.0
0.125,0.156,99.719,0.0,0.0,0.0,2110177280.0,91582464.0,482131968.0,1.32472639488e+11,140.0,540.0,0.0,0.0,1444178853.483,0.0,0.0
0.187,0.125,99.688,0.0,0.0,0.0,2110058496.0,91582464.0,482131968.0,1.32472758272e+11,268.0,540.0,0.0,0.0,1444178854.483,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,2109779968.0,91582464.0,482136064.0,1.32473032704e+11,1740.0,2865.0,0.0,0.0,1444178855.483,0.0,0.0
0.031,0.063,99.875,0.031,0.0,0.0,2110062592.0,91586560.0,482131968.0,1.3247275008e+11,198.0,422.0,0.0,102400.0,1444178856.483,0.0,20.0
0.031,0.094,99.875,0.0,0.0,0.0,2110021632.0,91586560.0,482136064.0,1.32472786944e+11,140.0,556.0,0.0,0.0,1444178857.483,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,2110025728.0,91586560.0,482136064.0,1.32472782848e+11,350.0,962.0,0.0,0.0,1444178858.483,0.0,0.0
0.563,0.188,99.250,0.0,0.0,0.0,2110017536.0,91586560.0,482140160.0,1.32472786944e+11,75966.0,74528.0,0.0,0.0,1444178859.483,0.0,0.0
1.937,0.344,97.688,0.0,0.0,0.031,2110124032.0,91586560.0,482140160.0,1.32472680448e+11,248073.0,340151.0,0.0,0.0,1444178860.483,0.0,0.0
1.064,0.063,98.842,0.0,0.0,0.031,2110472192.0,91590656.0,482164736.0,1.32472303616e+11,113043.0,247652.0,0.0,73728.0,1444178861.483,0.0,3.0
1.221,0.188,98.592,0.0,0.0,0.0,2109956096.0,91590656.0,482168832.0,1.32472815616e+11,83593.0,197124.0,0.0,0.0,1444178862.483,0.0,0.0
1.032,0.188,98.749,0.0,0.0,0.031,2109972480.0,91590656.0,482197504.0,1.3247277056e+11,70171.0,196290.0,0.0,0.0,1444178863.483,0.0,0.0
0.814,0.188,98.998,0.0,0.0,0.0,2110140416.0,91590656.0,482209792.0,1.32472590336e+11,51007.0,147131.0,0.0,0.0,1444178864.483,0.0,0.0
0.939,0.219,98.842,0.0,0.0,0.0,2109886464.0,91590656.0,482209792.0,1.32472844288e+11,64779.0,191661.0,0.0,0.0,1444178865.483,0.0,0.0
1.437,0.344,98.157,0.0,0.0,0.062,2109571072.0,91590656.0,482226176.0,1.32473143296e+11,86093.0,242195.0,0.0,32768.0,1444178866.483,0.0,1.0
5.290,0.908,93.740,0.0,0.0,0.063,2199666688.0,91643904.0,482263040.0,1.32382957568e+11,277956.0,622992.0,0.0,1007616.0,1444178867.483,0.0,43.0
