"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute",,,,"User:","root"
"Cmdline:","dstat -cmndTr --output 20_dstat_osv.csv 1 180",,,,"Date:","07 Oct 2015 02:08:48 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"epoch","io/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
0.168,0.189,99.612,0.031,0.000,0.001,2196672512.0,316071936.0,2099269632.0,1.3054451712e+11,0.0,0.0,43923.887,247661.068,1444194528.980,3.003,21.370
0.125,0.062,99.812,0.0,0.0,0.0,2196819968.0,316071936.0,2099273728.0,1.30544365568e+11,914.0,1502.0,0.0,0.0,1444194529.981,0.0,0.0
0.219,0.219,99.563,0.0,0.0,0.0,2197082112.0,316071936.0,2099273728.0,1.30544103424e+11,1725.0,2741.0,0.0,32768.0,1444194530.981,0.0,6.0
0.125,0.063,99.812,0.0,0.0,0.0,2196959232.0,316071936.0,2099277824.0,1.30544222208e+11,70.0,438.0,0.0,0.0,1444194531.981,0.0,0.0
0.125,0.094,99.781,0.0,0.0,0.0,2197094400.0,316071936.0,2099277824.0,1.3054408704e+11,1903.0,2559.0,0.0,0.0,1444194532.981,0.0,0.0
0.187,0.125,99.688,0.0,0.0,0.0,2196840448.0,316071936.0,2099277824.0,1.30544340992e+11,70.0,422.0,0.0,0.0,1444194533.981,0.0,0.0
0.063,0.063,99.812,0.063,0.0,0.0,2197196800.0,316071936.0,2099277824.0,1.3054398464e+11,198.0,422.0,0.0,53248.0,1444194534.981,0.0,2.0
0.250,0.062,99.688,0.0,0.0,0.0,2196815872.0,316071936.0,2099281920.0,1.30544361472e+11,70.0,438.0,0.0,0.0,1444194535.981,0.0,0.0
0.156,0.125,99.719,0.0,0.0,0.0,2197078016.0,316071936.0,2099281920.0,1.30544099328e+11,1232.0,422.0,0.0,45056.0,1444194536.981,0.0,10.0
0.094,0.063,99.844,0.0,0.0,0.0,2197090304.0,316071936.0,2099281920.0,1.3054408704e+11,258.0,744.0,0.0,0.0,1444194537.981,0.0,0.0
0.031,0.031,99.937,0.0,0.0,0.0,2197876736.0,316071936.0,2099281920.0,1.30543300608e+11,518.0,2279.0,0.0,0.0,1444194538.981,0.0,0.0
0.188,0.031,99.781,0.0,0.0,0.0,2197245952.0,316071936.0,2099281920.0,1.30543931392e+11,70.0,422.0,0.0,0.0,1444194539.981,0.0,0.0
0.031,0.063,99.624,0.282,0.0,0.0,2197889024.0,316071936.0,2099281920.0,1.3054328832e+11,3252.0,4749.0,0.0,24576.0,1444194540.980,0.0,2.0
0.906,0.281,98.812,0.0,0.0,0.0,2197385216.0,316071936.0,2099281920.0,1.30543792128e+11,70.0,438.0,0.0,0.0,1444194541.981,0.0,0.0
1.565,0.313,98.090,0.0,0.0,0.031,2197831680.0,316071936.0,2099326976.0,1.30543300608e+11,3112.0,4538.0,0.0,61440.0,1444194542.981,0.0,6.0
1.190,0.125,98.653,0.0,0.0,0.031,2199273472.0,316071936.0,2099355648.0,1.30541830144e+11,94820.0,112976.0,0.0,0.0,1444194543.981,0.0,0.0
1.658,0.188,98.123,0.031,0.0,0.0,2199433216.0,316071936.0,2099437568.0,1.3054158848e+11,208824.0,303385.0,0.0,0.0,1444194544.981,0.0,0.0
1.191,0.094,98.652,0.0,0.0,0.063,2199388160.0,316071936.0,2099441664.0,1.3054162944e+11,168008.0,321710.0,0.0,0.0,1444194545.981,0.0,0.0
0.876,0.156,98.967,0.0,0.0,0.0,2199580672.0,316071936.0,2099441664.0,1.30541436928e+11,61759.0,155739.0,0.0,86016.0,1444194546.981,0.0,2.0
0.971,0.125,98.873,0.0,0.0,0.031,2199465984.0,316071936.0,2099474432.0,1.30541518848e+11,83254.0,211678.0,0.0,212992.0,1444194547.980,0.0,14.0
1.313,0.219,98.374,0.0,0.0,0.094,2199740416.0,316071936.0,2099494912.0,1.30541223936e+11,53881.0,136649.0,0.0,0.0,1444194548.980,0.0,0.0
0.877,0.125,98.997,0.0,0.0,0.0,2199474176.0,316071936.0,2099511296.0,1.30541473792e+11,91095.0,231704.0,0.0,0.0,1444194549.981,0.0,0.0
1.504,0.376,98.120,0.0,0.0,0.0,2207866880.0,316071936.0,2099511296.0,1.30533081088e+11,73486.0,183366.0,0.0,4096.0,1444194550.980,0.0,1.0
2.879,1.127,95.962,0.0,0.0,0.031,2202271744.0,316096512.0,2100178944.0,1.30537984e+11,132212.0,390870.0,0.0,1302528.0,1444194551.981,0.0,68.0
2.980,0.972,96.048,0.0,0.0,0.0,2203635712.0,316108800.0,2101018624.0,1.30535768064e+11,211049.0,567727.0,0.0,1290240.0,1444194552.980,0.0,53.0
2.850,1.253,95.866,0.0,0.0,0.031,2207170560.0,316166144.0,2101731328.0,1.30531463168e+11,190039.0,591398.0,0.0,1814528.0,1444194553.981,0.0,88.0
2.637,1.570,95.761,0.031,0.0,0.0,2204504064.0,316227584.0,2103259136.0,1.30532540416e+11,136211.0,509737.0,0.0,2215936.0,1444194554.980,0.0,124.0
2.663,1.441,95.896,0.0,0.0,0.0,2204610560.0,316297216.0,2106142720.0,1.30529480704e+11,111567.0,448326.0,0.0,1957888.0,1444194555.981,0.0,89.0
2.637,1.538,95.825,0.0,0.0,0.0,2209488896.0,316338176.0,2106695680.0,1.30524008448e+11,84242.0,344116.0,0.0,1949696.0,1444194556.981,0.0,106.0
2.941,1.909,95.119,0.031,0.0,0.0,2206949376.0,316379136.0,2109870080.0,1.30523332608e+11,100349.0,385037.0,0.0,2080768.0,1444194557.981,0.0,104.0
3.664,1.378,94.958,0.0,0.0,0.0,2211786752.0,316399616.0,2111750144.0,1.30516594688e+11,106735.0,375218.0,0.0,1511424.0,1444194558.981,0.0,89.0
5.154,0.786,94.029,0.031,0.0,0.0,2241556480.0,316399616.0,2112630784.0,1.3048594432e+11,151955.0,569949.0,7681024.0,4096.0,1444194559.981,258.0,1.0
7.685,1.134,90.929,0.220,0.0,0.031,2329595904.0,316440576.0,2112753664.0,1.30397741056e+11,178712.0,668295.0,14793728.0,4611584.0,1444194560.981,1465.0,607.0
8.140,1.634,89.975,0.220,0.0,0.031,2415349760.0,316444672.0,2112884736.0,1.30311852032e+11,164336.0,673124.0,15855104.0,537088.0,1444194561.981,444.0,22.0
12.788,1.895,85.128,0.189,0.0,0.0,2555486208.0,316485632.0,2113286144.0,1.30171273216e+11,144760.0,656188.0,29915648.0,4510720.0,1444194562.980,1820.0,600.0
14.581,1.881,82.785,0.753,0.0,0.0,2761584640.0,316579840.0,2113908736.0,1.29964457984e+11,176022.0,865614.0,34097152.0,8201216.0,1444194563.981,2100.0,1013.0
15.392,0.878,83.511,0.219,0.0,0.0,2892574720.0,316592128.0,2114117632.0,1.2983324672e+11,67858.0,383541.0,25524224.0,2655232.0,1444194564.981,1622.0,399.0
14.950,1.099,83.825,0.126,0.0,0.0,3032014848.0,316616704.0,2114285568.0,1.2969361408e+11,140.0,572.0,21518848.0,1172992.0,1444194565.981,739.0,130.0
16.917,1.441,80.733,0.909,0.0,0.0,3316727808.0,316682240.0,2114863104.0,1.29408258048e+11,13192.0,48783.0,58141696.0,9470464.0,1444194566.981,3658.0,1278.0
15.604,1.099,83.265,0.031,0.0,0.0,3369644032.0,316723200.0,2114961408.0,1.2935520256e+11,70.0,454.0,9534976.0,11157504.0,1444194567.980,287.0,198.0
20.133,5.341,73.420,0.853,0.0,0.253,3855585280.0,316919808.0,2115399680.0,1.28868626432e+11,588.0,2311.0,61880320.0,24323072.0,1444194568.980,4891.0,3290.0
44.170,9.673,43.370,2.594,0.0,0.192,4919775232.0,317165568.0,2117464064.0,1.27802126336e+11,166751.0,642820.0,246659072.0,35089920.0,1444194569.981,17165.0,4649.0
44.570,1.228,53.761,0.441,0.0,0.0,5342240768.0,317165568.0,2117574656.0,1.27379550208e+11,16111.0,42233.0,89389568.0,797696.0,1444194570.980,1436.0,93.0
38.699,2.012,59.069,0.189,0.0,0.031,5445496832.0,317181952.0,2117591040.0,1.27276261376e+11,140.0,572.0,48302592.0,5033984.0,1444194571.980,823.0,693.0
37.327,1.006,61.541,0.126,0.0,0.0,5130629120.0,317202432.0,2117627904.0,1.27591071744e+11,146192.0,187448.0,7379968.0,3526144.0,1444194572.981,1159.0,524.0
29.207,0.695,70.035,0.063,0.0,0.0,4800233472.0,317202432.0,2117623808.0,1.27921471488e+11,36796.0,47418.0,5860352.0,863232.0,1444194573.980,585.0,107.0
10.072,1.039,88.889,0.0,0.0,0.0,4430278656.0,317202432.0,2117627904.0,1.28291422208e+11,198.0,454.0,378368.0,16384.0,1444194574.981,103.0,14.0
6.899,1.108,91.994,0.0,0.0,0.0,4237271040.0,317202432.0,2117586944.0,1.28484470784e+11,140.0,556.0,0.0,8192.0,1444194575.980,0.0,7.0
6.323,1.012,92.634,0.032,0.0,0.0,4038893568.0,317202432.0,2117537792.0,1.28682897408e+11,268.0,556.0,224768.0,896000.0,1444194576.980,8.0,100.0
6.374,0.915,92.648,0.032,0.0,0.032,3845328896.0,317218816.0,2117578752.0,1.28876404736e+11,70.0,454.0,899072.0,3145728.0,1444194577.981,32.0,378.0
5.784,0.790,93.426,0.0,0.0,0.0,3647922176.0,317218816.0,2116997120.0,1.29074393088e+11,658.0,6706.0,0.0,8192.0,1444194578.981,0.0,7.0
5.110,0.505,94.385,0.0,0.0,0.0,3444817920.0,317218816.0,2116947968.0,1.29277546496e+11,2155.0,808.0,0.0,8192.0,1444194579.980,0.0,7.0
4.119,0.503,95.377,0.0,0.0,0.0,3061796864.0,317218816.0,2116915200.0,1.2966060032e+11,1795.0,2757.0,0.0,8192.0,1444194580.981,0.0,13.0
4.218,0.315,95.467,0.0,0.0,0.0,3004076032.0,317218816.0,2116894720.0,1.29718341632e+11,70.0,438.0,0.0,4096.0,1444194581.981,0.0,7.0
3.778,0.346,95.875,0.0,0.0,0.0,2814771200.0,317247488.0,2116280320.0,1.29908232192e+11,198.0,438.0,0.0,4255744.0,1444194582.980,0.0,124.0
3.387,0.376,96.237,0.0,0.0,0.0,2616049664.0,317247488.0,2116280320.0,1.30106953728e+11,2609.0,6942.0,0.0,0.0,1444194583.980,0.0,6.0
3.065,0.219,96.716,0.0,0.0,0.0,2229669888.0,317247488.0,2116231168.0,1.30493382656e+11,198.0,422.0,0.0,0.0,1444194584.981,0.0,12.0
2.562,0.688,96.750,0.0,0.0,0.0,2223706112.0,317247488.0,2113269760.0,1.3050230784e+11,198.0,422.0,0.0,0.0,1444194585.981,0.0,0.0
3.041,0.940,96.019,0.0,0.0,0.0,2223243264.0,317247488.0,2106781696.0,1.30509258752e+11,38063.0,120363.0,0.0,0.0,1444194586.981,0.0,0.0
2.688,0.500,96.780,0.031,0.0,0.0,2223304704.0,317247488.0,2106048512.0,1.30509930496e+11,170665.0,475572.0,0.0,331776.0,1444194587.981,0.0,4.0
1.564,0.250,98.123,0.0,0.0,0.063,2222465024.0,317247488.0,2106040320.0,1.30510778368e+11,134639.0,394713.0,0.0,0.0,1444194588.981,0.0,0.0
0.157,0.031,99.812,0.0,0.0,0.0,2221305856.0,317247488.0,2106040320.0,1.30511937536e+11,49662.0,136686.0,0.0,0.0,1444194589.981,0.0,0.0
0.219,0.125,99.656,0.0,0.0,0.0,2221113344.0,317247488.0,2106044416.0,1.30512125952e+11,2075.0,2859.0,0.0,0.0,1444194590.981,0.0,0.0
0.156,0.125,99.719,0.0,0.0,0.0,2220617728.0,317247488.0,2106044416.0,1.30512621568e+11,70.0,422.0,0.0,0.0,1444194591.981,0.0,0.0
0.281,0.094,99.625,0.0,0.0,0.0,2218893312.0,317251584.0,2106089472.0,1.30514296832e+11,198.0,422.0,0.0,24576.0,1444194592.981,0.0,2.0
0.063,0.0,99.937,0.0,0.0,0.0,2218004480.0,317251584.0,2106089472.0,1.30515185664e+11,1915.0,3403.0,0.0,0.0,1444194593.981,0.0,0.0
0.125,0.156,99.719,0.0,0.0,0.0,2217422848.0,317251584.0,2106097664.0,1.30515759104e+11,268.0,540.0,0.0,0.0,1444194594.981,0.0,0.0
0.188,0.094,99.718,0.0,0.0,0.0,2216402944.0,317251584.0,2106097664.0,1.30516779008e+11,140.0,540.0,0.0,0.0,1444194595.981,0.0,0.0
