"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute",,,,"User:","root"
"Cmdline:","dstat -cmndTr --output 30_dstat_kvm.csv 1 180",,,,"Date:","07 Oct 2015 01:40:30 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"epoch","io/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
0.168,0.189,99.612,0.031,0.000,0.001,2196459520.0,313180160.0,1992470528.0,1.30654420992e+11,0.0,0.0,43486.598,247479.389,1444192830.382,2.976,21.371
0.094,0.094,99.813,0.0,0.0,0.0,2195968000.0,313180160.0,1992474624.0,1.30654908416e+11,2429.0,3821.0,0.0,65536.0,1444192831.383,0.0,14.0
0.063,0.0,99.937,0.0,0.0,0.0,2195968000.0,313180160.0,1992474624.0,1.30654908416e+11,70.0,438.0,0.0,0.0,1444192832.383,0.0,0.0
0.219,0.125,99.656,0.0,0.0,0.0,2196111360.0,313180160.0,1992474624.0,1.30654765056e+11,198.0,422.0,0.0,0.0,1444192833.383,0.0,0.0
1.819,0.565,97.616,0.0,0.0,0.0,2198233088.0,313180160.0,1992486912.0,1.3065263104e+11,70.0,422.0,0.0,40960.0,1444192834.383,0.0,2.0
0.125,0.031,99.812,0.0,0.0,0.031,2198691840.0,313180160.0,1992540160.0,1.3065211904e+11,3423.0,4654.0,0.0,0.0,1444192835.383,0.0,0.0
0.063,0.031,99.906,0.0,0.0,0.0,2199158784.0,313180160.0,1992548352.0,1.30651643904e+11,7659.0,6904.0,0.0,40960.0,1444192836.383,0.0,3.0
0.094,0.031,99.875,0.0,0.0,0.0,2199179264.0,313180160.0,1992548352.0,1.30651623424e+11,1585.0,2586.0,0.0,0.0,1444192837.383,0.0,0.0
0.157,0.031,99.812,0.0,0.0,0.0,2198786048.0,313180160.0,1992548352.0,1.3065201664e+11,70.0,422.0,0.0,0.0,1444192838.383,0.0,0.0
0.156,0.031,99.812,0.0,0.0,0.0,2198880256.0,313180160.0,1992593408.0,1.30651877376e+11,198.0,422.0,0.0,32768.0,1444192839.383,0.0,2.0
0.344,0.094,99.562,0.0,0.0,0.0,2198290432.0,313180160.0,1992593408.0,1.306524672e+11,70.0,438.0,0.0,0.0,1444192840.383,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,2198683648.0,313180160.0,1992605696.0,1.30652061696e+11,1795.0,2741.0,0.0,0.0,1444192841.383,0.0,0.0
0.094,0.0,99.875,0.031,0.0,0.0,2198458368.0,313180160.0,1992605696.0,1.30652286976e+11,70.0,422.0,0.0,0.0,1444192842.383,0.0,0.0
0.094,0.094,99.812,0.0,0.0,0.0,2198695936.0,313180160.0,1992617984.0,1.3065203712e+11,198.0,422.0,0.0,0.0,1444192843.383,0.0,0.0
0.750,0.156,99.094,0.0,0.0,0.0,2199183360.0,313184256.0,1992622080.0,1.30651541504e+11,70.0,422.0,0.0,24576.0,1444192844.383,0.0,2.0
1.690,0.250,98.028,0.0,0.0,0.031,2198822912.0,313184256.0,1992622080.0,1.30651901952e+11,80726.0,108027.0,0.0,0.0,1444192845.383,0.0,0.0
2.004,0.501,97.495,0.0,0.0,0.0,2201509888.0,313192448.0,1992650752.0,1.30649178112e+11,158979.0,283513.0,0.0,528384.0,1444192846.383,0.0,18.0
2.850,0.407,96.680,0.0,0.0,0.063,2199662592.0,313192448.0,1993285632.0,1.30650390528e+11,185946.0,334550.0,0.0,0.0,1444192847.383,0.0,0.0
3.722,0.282,95.621,0.344,0.0,0.031,2201313280.0,313192448.0,1993342976.0,1.30648682496e+11,346782.0,603953.0,0.0,114688.0,1444192848.383,0.0,5.0
3.009,1.411,94.734,0.846,0.0,0.0,2234093568.0,313200640.0,1993412608.0,1.30615824384e+11,98368.0,314131.0,8626688.0,486912.0,1444192849.383,543.0,19.0
3.068,1.158,95.742,0.031,0.0,0.0,2276392960.0,313200640.0,1993412608.0,1.30573524992e+11,85075.0,205772.0,6174720.0,0.0,1444192850.383,375.0,0.0
2.128,0.563,97.215,0.063,0.0,0.031,2307923968.0,313200640.0,1993469952.0,1.3054193664e+11,60560.0,151153.0,356352.0,0.0,1444192851.383,87.0,0.0
