boot_time;tomcat_time;instances;virt
8520.00;1837;5;kvm
9160.00;1781;5;kvm
8570.00;1878;5;kvm
7690.00;1739;5;kvm
7800.00;1698;5;kvm
7080.00;1255;10;kvm
7250.00;1336;10;kvm
7250.00;1491;10;kvm
7300.00;1336;10;kvm
6940.00;1284;10;kvm
6870.00;1256;10;kvm
6680.00;1349;10;kvm
7040.00;1464;10;kvm
6780.00;1497;10;kvm
6620.00;1329;10;kvm
8590.00;1150;20;kvm
17910.00;2062;20;kvm
17910.00;2036;20;kvm
8800.00;1215;20;kvm
8300.00;1343;20;kvm
8700.00;1177;20;kvm
17960.00;2074;20;kvm
18170.00;2059;20;kvm
9150.00;1293;20;kvm
18010.00;2036;20;kvm
8420.00;1237;20;kvm
8320.00;1179;20;kvm
18260.00;2212;20;kvm
18440.00;2197;20;kvm
9590.00;1371;20;kvm
17690.00;2081;20;kvm
8540.00;1189;20;kvm
9250.00;1356;20;kvm
18210.00;2030;20;kvm
18280.00;2063;20;kvm
22300.00;6268;30;kvm
28340.00;2082;30;kvm
22470.00;5887;30;kvm
8580.00;2044;30;kvm
28300.00;3870;30;kvm
8830.00;1459;30;kvm
8470.00;1878;30;kvm
22380.00;6604;30;kvm
28300.00;2195;30;kvm
9190.00;1674;30;kvm
29000.00;1673;30;kvm
22250.00;6164;30;kvm
8920.00;1214;30;kvm
27780.00;2185;30;kvm
21960.00;6633;30;kvm
28090.00;2181;30;kvm
8660.00;1268;30;kvm
24340.00;5037;30;kvm
8900.00;1922;30;kvm
28160.00;2062;30;kvm
29320.00;1804;30;kvm
27650.00;2181;30;kvm
8950.00;2091;30;kvm
8790.00;1201;30;kvm
22480.00;6577;30;kvm
8890.00;1851;30;kvm
22400.00;6202;30;kvm
22420.00;6578;30;kvm
29110.00;2197;30;kvm
22390.00;6129;30;kvm
