total_time;spawn_time;image_time;instance_time;concurrent_instances
19921;9855;701;1727;20
21141;10201;1112;1656;20
29694;14865;1064;1621;20
29986;18489;1522;9547;20
30042;18401;1198;6034;20
29668;17548;3008;8812;20
29801;17971;2560;8937;20
30105;18345;1972;9443;20
29996;17867;2671;8977;20
29867;17048;3285;8734;20
29955;17559;3024;8939;20
30240;16885;3299;8623;20
30290;18391;1785;9466;20
30044;16737;3182;8661;20
30231;17421;3013;8936;20
30893;18256;2147;9123;20
30784;18111;2411;9041;20
30720;17748;2930;9010;20
31017;17182;3193;8768;20
30901;18053;2782;9032;20
