total_time;spawn_time;image_time;instance_time;concurrent_instances
49373;28431;4026;5277;30
49507;28472;6041;9675;30
48694;27462;3514;11237;30
49740;29867;6528;10532;30
49744;30356;6934;10335;30
49972;41383;17605;10611;30
49570;28746;5897;10023;30
49442;27888;6790;8963;30
49641;28404;6128;9486;30
50138;29056;5723;10375;30
50024;29313;6028;11828;30
49261;27935;6474;9088;30
49434;27950;3765;11348;30
49773;28462;6177;9634;30
49641;27226;3314;10829;30
49619;27733;7357;11458;30
50074;28071;6531;8979;30
49873;28605;9001;11620;30
49884;28012;6941;10707;30
50783;30968;10886;11398;30
50412;28284;6301;9227;30
50580;27725;7035;10646;30
50080;27749;9026;11206;30
50611;28557;9184;11327;30
50846;27672;7221;10619;30
51224;29316;9457;11342;30
50760;29075;9415;11337;30
42707;26880;13468;3510;30
45699;25838;12644;3436;30
45582;25464;12574;2843;30
53576;32111;12341;4293;30
55289;35054;14627;7234;30
55182;34968;14909;6880;30
55269;36118;15261;6929;30
55290;35786;15063;7480;30
55055;36175;15718;8218;30
55737;37909;14790;8123;30
55363;35995;15312;6859;30
55247;34668;14900;6715;30
55232;33869;12050;9353;30
55924;39948;16834;8259;30
55528;34917;14639;7078;30
56089;38685;17174;9577;30
56105;40001;18355;9231;30
55740;34597;15075;6617;30
55954;35846;14939;7644;30
55855;36343;15206;6555;30
55778;35947;15546;10072;30
56128;37466;17988;10217;30
56452;38488;18978;9838;30
55986;37059;17881;10184;30
56015;36685;17699;10050;30
56614;38094;18067;9818;30
56291;35973;15762;9968;30
56084;35974;15907;9905;30
56217;36158;17430;10015;30
41440;26019;13555;2958;30
52119;29747;11925;3638;30
52494;28742;11679;3552;30
53578;38644;18298;7375;30
52852;28175;7467;7685;30
53453;29230;11188;7788;30
53302;32894;13978;8057;30
53472;34818;15329;8733;30
53461;36373;17386;10221;30
52942;29321;10977;8526;30
53714;36802;16036;9511;30
53324;33968;14418;8228;30
53210;30085;10739;8104;30
53334;30246;11255;8019;30
53907;35802;15798;9181;30
53252;29534;10807;8007;30
53574;32257;8139;7923;30
53777;34981;15297;9049;30
53574;30457;10922;8182;30
53709;32612;14033;7965;30
53440;33231;13801;8420;30
54086;35073;15242;8887;30
53916;33081;13805;8250;30
53665;32451;14176;7852;30
53912;34784;17003;10519;30
54393;37057;19198;8921;30
54125;30491;12923;10431;30
54292;34369;16836;10461;30
54050;29757;12589;10427;30
55537;32012;12332;8414;30
55535;32353;14401;7043;30
55256;34795;11161;8495;30
55856;36960;14216;7570;30
55668;32719;11857;8384;30
55362;35690;14302;6383;30
56038;39112;19634;11095;30
55505;35257;14475;8308;30
55679;30794;11372;8178;30
56284;38036;18659;8213;30
56064;37118;17905;11152;30
56152;31591;14094;6741;30
55713;35049;14852;8175;30
55783;34879;15286;10810;30
56212;35021;16767;10934;30
56106;34984;14925;11184;30
56264;36216;14519;6567;30
56031;35272;14669;10980;30
55824;34940;14810;10903;30
55807;35966;17053;11291;30
56260;38216;15604;7666;30
56291;35611;14441;8452;30
56218;35610;14367;7182;30
56147;36495;17573;11027;30
56532;36701;14139;7254;30
56055;35410;16901;10966;30
56842;39957;15829;7794;30
56791;36283;14159;6830;30
51482;27534;5047;10372;30
51356;27906;2926;10098;30
51376;29261;3549;11276;30
51100;27285;5962;9419;30
51619;27604;5764;9492;30
51249;28063;4692;10855;30
52020;27696;4373;10963;30
52051;29673;5214;9982;30
51499;28716;5709;9365;30
51356;26409;6250;11046;30
51889;29434;6490;9575;30
52079;28728;4485;9729;30
51867;27041;6120;10078;30
52138;27330;6090;9342;30
52165;27795;4215;11075;30
52017;27497;5498;9907;30
52351;29994;5235;10044;30
52363;30567;6571;10256;30
51752;27098;6016;9778;30
51956;27408;5845;9360;30
52253;28894;5737;9701;30
52031;27693;4578;10560;30
52086;27743;5593;9594;30
52548;26567;6281;10259;30
52421;27913;5521;9107;30
52734;27968;6228;13540;30
53718;25035;3340;13802;30
54450;29464;6152;14625;30
39203;32258;19011;7452;20
45079;29493;15709;6428;20
45169;32792;18764;2835;20
45182;32218;17025;7311;20
45071;34805;19222;7577;20
44596;29318;15769;6336;20
44856;30406;14492;7043;20
44567;29400;16071;6310;20
44917;30527;15891;6803;20
44731;30209;15970;6631;20
44609;30650;17411;7739;20
44784;30288;16306;6517;20
45496;31895;16892;7120;20
45087;31176;15886;7059;20
44743;30041;13772;7804;20
45219;30350;15977;6706;20
45313;30512;17605;6659;20
45793;34678;19312;7258;20
45190;29432;16663;7360;20
45206;31893;17067;6732;20
38385;32134;14825;10599;20
42634;19927;2385;10694;20
42938;20447;2740;10848;20
43115;35558;17425;11066;20
42995;28464;10554;10128;20
43253;20640;2937;4215;20
43432;21195;4122;10058;20
43201;20414;4372;9819;20
43427;20094;4513;9680;20
43507;20912;5491;9696;20
43659;21332;4037;10269;20
43587;20758;4095;9859;20
43796;20924;4516;9855;20
43743;21521;3933;10288;20
44140;19410;3760;9783;20
44312;21700;6565;9611;20
44352;21606;4057;10354;20
44120;20558;4255;9902;20
44386;21192;4176;10052;20
44148;21406;5834;9664;20
44795;31677;15187;9728;20
