"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
0.729,0.267,98.666,0.335,0.000,0.003,10576580608.0,381575168.0,13288652800.0,43265794048.0,0.0,0.0,1213.888,920639.880,1437971883.016,0.085,89.260
0.938,0.219,98.500,0.313,0.0,0.031,10577182720.0,381575168.0,13288665088.0,43265179648.0,322.0,1148.0,0.0,94208.0,1437971884.017,0.0,6.0
0.500,0.188,99.312,0.0,0.0,0.0,10576117760.0,381575168.0,13288669184.0,43266240512.0,134.0,438.0,0.0,0.0,1437971885.017,0.0,0.0
0.376,0.094,99.499,0.031,0.0,0.0,10576257024.0,381575168.0,13288669184.0,43266101248.0,134.0,422.0,0.0,20480.0,1437971886.017,0.0,3.0
0.376,0.125,99.467,0.031,0.0,0.0,10575269888.0,381575168.0,13288669184.0,43267088384.0,698.0,974.0,0.0,40960.0,1437971887.017,0.0,6.0
0.439,0.094,99.248,0.219,0.0,0.0,10574921728.0,381575168.0,13288673280.0,43267432448.0,2744.0,2208.0,0.0,24576.0,1437971888.017,0.0,3.0
0.407,0.094,99.500,0.0,0.0,0.0,10574708736.0,381575168.0,13288673280.0,43267645440.0,3426.0,2968.0,0.0,0.0,1437971889.017,0.0,0.0
0.470,0.125,99.249,0.157,0.0,0.0,10573778944.0,381575168.0,13288673280.0,43268575232.0,2366.0,1162.0,0.0,20480.0,1437971890.017,0.0,3.0
1.564,0.344,98.092,0.0,0.0,0.0,10594131968.0,381575168.0,13288673280.0,43248222208.0,698.0,856.0,0.0,0.0,1437971891.017,0.0,0.0
3.501,0.750,94.905,0.750,0.0,0.094,10601209856.0,381575168.0,13288710144.0,43241107456.0,2661.0,2019.0,0.0,2510848.0,1437971892.017,0.0,118.0
4.379,0.782,93.150,1.595,0.0,0.094,10601222144.0,381575168.0,13288771584.0,43241033728.0,204.0,556.0,0.0,1499136.0,1437971893.017,0.0,148.0
4.810,0.943,92.109,1.981,0.0,0.157,10605404160.0,381575168.0,13288878080.0,43236745216.0,134.0,438.0,0.0,1372160.0,1437971894.017,0.0,140.0
8.493,0.846,88.624,1.943,0.0,0.094,10585092096.0,381575168.0,13288955904.0,43256979456.0,143151.0,164689.0,0.0,1642496.0,1437971895.017,0.0,143.0
12.845,1.570,83.448,1.979,0.0,0.157,10587840512.0,381575168.0,13289099264.0,43254087680.0,89463.0,54287.0,0.0,2093056.0,1437971896.017,0.0,180.0
7.156,1.099,90.050,1.569,0.0,0.126,10588278784.0,381575168.0,13289152512.0,43253596160.0,107903.0,57923.0,0.0,1724416.0,1437971897.017,0.0,134.0
6.731,1.096,90.670,1.409,0.0,0.094,10602917888.0,381575168.0,13289246720.0,43238862848.0,125798.0,56920984.0,0.0,2224128.0,1437971898.017,0.0,106.0
10.881,1.289,86.006,1.635,0.0,0.189,10608078848.0,381575168.0,13289332736.0,43233615872.0,577683.0,118771969.0,0.0,1802240.0,1437971899.017,0.0,147.0
8.679,1.761,87.358,1.855,0.0,0.346,10610642944.0,381575168.0,13289562112.0,43230822400.0,780641.0,123372647.0,0.0,1748992.0,1437971900.017,0.0,170.0
9.476,1.192,87.292,1.851,0.0,0.188,10613018624.0,381575168.0,13289635840.0,43228372992.0,459864.0,111189030.0,0.0,1724416.0,1437971901.017,0.0,132.0
3.431,0.881,94.712,0.850,0.0,0.126,10614489088.0,381575168.0,13289701376.0,43226836992.0,415489.0,122685102.0,0.0,1495040.0,1437971902.017,0.0,87.0
1.095,0.438,98.061,0.313,0.0,0.094,10614251520.0,381575168.0,13289754624.0,43227021312.0,803384.0,123374370.0,0.0,6795264.0,1437971903.017,0.0,104.0
1.005,0.408,98.116,0.440,0.0,0.031,10613895168.0,381575168.0,13289754624.0,43227377664.0,638114.0,123374370.0,0.0,7000064.0,1437971904.017,0.0,141.0
0.751,0.438,98.685,0.031,0.0,0.094,10613104640.0,381575168.0,13289754624.0,43228168192.0,461912.0,120148738.0,0.0,94208.0,1437971905.017,0.0,6.0
0.751,0.469,98.529,0.125,0.0,0.125,10613325824.0,381575168.0,13289754624.0,43227947008.0,680110.0,123372852.0,0.0,110592.0,1437971906.017,0.0,9.0
1.219,0.625,97.968,0.094,0.0,0.094,10614956032.0,381575168.0,13289754624.0,43226316800.0,419294.0,120389982.0,0.0,135168.0,1437971907.017,0.0,8.0
0.908,0.595,98.121,0.376,0.0,0.0,10613338112.0,381575168.0,13289754624.0,43227934720.0,531994.0,111698923.0,0.0,548864.0,1437971908.017,0.0,76.0
1.063,0.344,98.531,0.063,0.0,0.0,10612649984.0,381575168.0,13289762816.0,43228614656.0,20661.0,40430.0,0.0,126976.0,1437971909.017,0.0,7.0
0.501,0.251,99.091,0.157,0.0,0.0,10612441088.0,381575168.0,13289762816.0,43228823552.0,13362.0,12528.0,0.0,180224.0,1437971910.017,0.0,13.0
0.625,0.187,98.938,0.250,0.0,0.0,10610950144.0,381575168.0,13289762816.0,43230314496.0,268.0,556.0,0.0,143360.0,1437971911.017,0.0,11.0
2.067,0.501,97.213,0.188,0.0,0.031,10609987584.0,381575168.0,13289766912.0,43231272960.0,96540.0,51868.0,0.0,241664.0,1437971912.017,0.0,14.0
1.317,0.282,98.306,0.063,0.0,0.031,10611183616.0,381575168.0,13289779200.0,43230064640.0,60830.0,31155.0,0.0,237568.0,1437971913.016,0.0,12.0
1.725,0.314,96.770,1.192,0.0,0.0,10610229248.0,381575168.0,13289779200.0,43231019008.0,37242.0,23208.0,0.0,7610368.0,1437971914.017,0.0,176.0
1.095,0.156,98.685,0.063,0.0,0.0,10608648192.0,381575168.0,13289795584.0,43232583680.0,5282.0,5124.0,0.0,40960.0,1437971915.017,0.0,6.0
