"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute",,,,"User:","stack"
"Cmdline:","dstat -cmndTr --output 20_dstat_compute.csv 1 120",,,,"Date:","27 Jul 2015 01:47:14 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"epoch","io/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
2.453,0.524,96.984,0.036,0.000,0.003,2304192512.0,253313024.0,7811002368.0,1.24788023296e+11,0.0,0.0,72400.943,943093.308,1437972434.346,4.085,182.398
0.187,0.187,99.626,0.0,0.0,0.0,2303434752.0,253313024.0,7811010560.0,1.24788772864e+11,526.0,1384.0,0.0,32768.0,1437972435.347,0.0,8.0
0.219,0.250,99.532,0.0,0.0,0.0,2303172608.0,253313024.0,7811010560.0,1.24789035008e+11,476.0,438.0,0.0,0.0,1437972436.347,0.0,0.0
0.063,0.031,99.906,0.0,0.0,0.0,2303541248.0,253313024.0,7811010560.0,1.24788666368e+11,826.0,422.0,0.0,0.0,1437972437.347,0.0,0.0
0.187,0.062,99.750,0.0,0.0,0.0,2303152128.0,253313024.0,7811010560.0,1.24789055488e+11,408.0,422.0,0.0,0.0,1437972438.347,0.0,0.0
0.125,0.156,99.688,0.031,0.0,0.0,2303025152.0,253313024.0,7811010560.0,1.24789182464e+11,134.0,422.0,0.0,0.0,1437972439.347,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,2303131648.0,253313024.0,7811010560.0,1.24789075968e+11,134.0,422.0,0.0,40960.0,1437972440.347,0.0,2.0
0.156,0.156,99.687,0.0,0.0,0.0,2302812160.0,253313024.0,7811010560.0,1.24789395456e+11,524.0,2295.0,0.0,24576.0,1437972441.347,0.0,5.0
0.125,0.094,99.781,0.0,0.0,0.0,2303184896.0,253313024.0,7811010560.0,1.2478902272e+11,134.0,438.0,0.0,0.0,1437972442.347,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,2302803968.0,253313024.0,7811010560.0,1.24789403648e+11,1662.0,2743.0,0.0,0.0,1437972443.347,0.0,0.0
0.877,0.157,98.935,0.0,0.0,0.031,2303021056.0,253313024.0,7811022848.0,1.24789174272e+11,134.0,422.0,0.0,0.0,1437972444.347,0.0,0.0
1.063,0.094,98.843,0.0,0.0,0.0,2302763008.0,253313024.0,7811039232.0,1.24789415936e+11,222377.0,188993.0,0.0,32768.0,1437972445.347,0.0,2.0
0.627,0.063,99.310,0.0,0.0,0.0,2302746624.0,253313024.0,7811039232.0,1.2478943232e+11,118053.0,67042.0,0.0,0.0,1437972446.347,0.0,0.0
