"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","controller",,,,"User:","root"
"Cmdline:","dstat -cmndTr --output 20_dstat_controller.csv",,,,"Date:","26 Jul 2015 16:44:16 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"epoch","io/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
0.729,0.267,98.664,0.337,0.000,0.003,12048183296.0,381026304.0,16034955264.0,39048437760.0,0.0,0.0,1217.384,924564.045,1437939856.315,0.085,89.816
0.811,0.374,98.597,0.218,0.0,0.0,12048789504.0,381026304.0,16034959360.0,39047827456.0,924.0,1148.0,0.0,335872.0,1437939857.316,0.0,18.0
0.438,0.156,99.280,0.125,0.0,0.0,12048355328.0,381026304.0,16034959360.0,39048261632.0,11275.0,10487.0,0.0,266240.0,1437939858.316,0.0,12.0
0.438,0.156,99.155,0.250,0.0,0.0,12048138240.0,381026304.0,16034959360.0,39048478720.0,134.0,438.0,0.0,233472.0,1437939859.316,0.0,10.0
1.002,0.344,97.778,0.876,0.0,0.0,12047593472.0,381026304.0,16034963456.0,39049019392.0,134.0,438.0,0.0,7520256.0,1437939860.316,0.0,194.0
0.438,0.157,99.342,0.063,0.0,0.0,12047048704.0,381026304.0,16034963456.0,39049564160.0,2457.0,2037.0,0.0,114688.0,1437939861.316,0.0,10.0
1.565,0.470,97.652,0.313,0.0,0.0,12064690176.0,381026304.0,16034963456.0,39031922688.0,134.0,438.0,0.0,122880.0,1437939862.316,0.0,11.0
4.419,0.533,94.014,0.877,0.0,0.157,12076101632.0,381026304.0,16034983936.0,39020490752.0,2249.0,1224.0,0.0,1560576.0,1437939863.316,0.0,90.0
4.075,0.596,93.762,1.473,0.0,0.094,12076359680.0,381026304.0,16035061760.0,39020154880.0,134.0,438.0,0.0,1560576.0,1437939864.316,0.0,140.0
5.135,0.689,92.110,1.972,0.0,0.094,12075933696.0,381026304.0,16035131392.0,39020511232.0,204.0,556.0,0.0,2400256.0,1437939865.316,0.0,159.0
4.318,0.751,92.835,1.971,0.0,0.125,12075560960.0,381026304.0,16035196928.0,39020818432.0,204.0,556.0,0.0,2318336.0,1437939866.316,0.0,142.0
4.438,0.781,93.125,1.500,0.0,0.156,12076916736.0,381026304.0,16035258368.0,39019401216.0,1109.0,556.0,0.0,2359296.0,1437939867.316,0.0,140.0
3.794,0.502,94.105,1.442,0.0,0.157,12076019712.0,381026304.0,16035319808.0,39020236800.0,134.0,438.0,0.0,1601536.0,1437939868.316,0.0,151.0
9.658,1.098,86.861,2.289,0.0,0.094,12053422080.0,381026304.0,16035414016.0,39042740224.0,134.0,438.0,0.0,2646016.0,1437939869.316,0.0,180.0
7.158,1.157,89.528,2.032,0.0,0.125,12052373504.0,381026304.0,16035524608.0,39043678208.0,340085.0,274794.0,0.0,3076096.0,1437939870.316,0.0,168.0
5.202,0.470,92.134,2.100,0.0,0.094,12052205568.0,381026304.0,16035553280.0,39043817472.0,170146.0,137578.0,0.0,1945600.0,1437939871.316,0.0,160.0
14.353,1.916,80.496,2.795,0.0,0.440,12056956928.0,381026304.0,16035647488.0,39038971904.0,75626.0,55705.0,0.0,2891776.0,1437939872.316,0.0,178.0
9.720,1.950,86.002,2.076,0.0,0.252,12057165824.0,381026304.0,16035840000.0,39038570496.0,197460.0,15320472.0,0.0,2277376.0,1437939873.316,0.0,151.0
10.721,1.661,84.828,2.476,0.0,0.313,12058042368.0,381026304.0,16035979264.0,39037554688.0,244242.0,110578689.0,0.0,2568192.0,1437939874.316,0.0,172.0
13.208,2.138,81.887,2.327,0.0,0.440,12059525120.0,381026304.0,16036057088.0,39035994112.0,466797.0,101765419.0,0.0,2834432.0,1437939875.316,0.0,180.0
5.738,1.160,91.972,1.035,0.0,0.094,12057743360.0,381026304.0,16036315136.0,39037517824.0,734157.0,119733578.0,0.0,1736704.0,1437939876.316,0.0,95.0
1.157,0.688,97.779,0.375,0.0,0.0,12058144768.0,381026304.0,16036356096.0,39037075456.0,324765.0,115899114.0,0.0,954368.0,1437939877.316,0.0,43.0
1.034,0.438,98.152,0.251,0.0,0.125,12059406336.0,381026304.0,16036356096.0,39035813888.0,318112.0,123373759.0,0.0,864256.0,1437939878.316,0.0,29.0
2.062,0.750,96.876,0.250,0.0,0.062,12078129152.0,381026304.0,16036360192.0,39017086976.0,497702.0,123373678.0,0.0,913408.0,1437939879.316,0.0,32.0
2.766,0.660,95.852,0.629,0.0,0.094,12059619328.0,381026304.0,16036372480.0,39035584512.0,623816.0,121222436.0,0.0,1744896.0,1437939880.316,0.0,62.0
1.158,0.501,97.934,0.376,0.0,0.031,12058529792.0,381026304.0,16036372480.0,39036674048.0,791987.0,123377681.0,0.0,868352.0,1437939881.316,0.0,33.0
0.753,0.408,98.525,0.282,0.0,0.031,12058615808.0,381026304.0,16036388864.0,39036571648.0,807292.0,123372970.0,0.0,884736.0,1437939882.316,0.0,24.0
0.721,0.282,98.277,0.595,0.0,0.125,12055896064.0,381026304.0,16036392960.0,39039287296.0,797800.0,123374606.0,0.0,1310720.0,1437939883.316,0.0,84.0
0.438,0.094,99.092,0.376,0.0,0.0,12055736320.0,381026304.0,16036413440.0,39039426560.0,353867.0,53965979.0,0.0,798720.0,1437939884.316,0.0,18.0
3.100,0.376,96.306,0.219,0.0,0.0,12078956544.0,381026304.0,16036417536.0,39016202240.0,1010.0,556.0,0.0,798720.0,1437939885.316,0.0,25.0
0.532,0.251,98.935,0.282,0.0,0.0,12055179264.0,381026304.0,16036433920.0,39039963136.0,830.0,3604.0,0.0,688128.0,1437939886.316,0.0,24.0
0.594,0.125,98.842,0.438,0.0,0.0,12054982656.0,381026304.0,16036438016.0,39040155648.0,134.0,438.0,0.0,552960.0,1437939887.316,0.0,19.0
0.345,0.094,99.405,0.157,0.0,0.0,12054425600.0,381026304.0,16036438016.0,39040712704.0,274.0,1266.0,0.0,544768.0,1437939888.316,0.0,15.0
0.595,0.157,99.092,0.157,0.0,0.0,12053987328.0,381026304.0,16036438016.0,39041150976.0,822.0,438.0,0.0,430080.0,1437939889.316,0.0,17.0
2.128,0.594,96.464,0.814,0.0,0.0,12053262336.0,381026304.0,16036442112.0,39041871872.0,5160.0,18893.0,0.0,4710400.0,1437939890.316,0.0,84.0
1.815,0.313,97.433,0.376,0.0,0.063,12054102016.0,381026304.0,16036442112.0,39041032192.0,75400.0,36518.0,0.0,3158016.0,1437939891.316,0.0,68.0
1.286,0.251,98.244,0.220,0.0,0.0,12053811200.0,381026304.0,16036442112.0,39041323008.0,78469.0,39623.0,0.0,307200.0,1437939892.316,0.0,16.0
0.408,0.157,99.341,0.094,0.0,0.0,12054355968.0,381026304.0,16036446208.0,39040774144.0,41833.0,23204.0,0.0,647168.0,1437939893.316,0.0,29.0
0.625,0.250,98.719,0.406,0.0,0.0,12054470656.0,381026304.0,16036462592.0,39040643072.0,3290.0,1746.0,0.0,307200.0,1437939894.316,0.0,13.0
2.782,0.469,96.030,0.719,0.0,0.0,12053438464.0,381026304.0,16036462592.0,39041675264.0,4241.0,12435.0,0.0,405504.0,1437939895.316,0.0,42.0
3.231,0.345,96.173,0.251,0.0,0.0,12051714048.0,381026304.0,16036507648.0,39043354624.0,21532.0,20240.0,0.0,200704.0,1437939896.316,0.0,19.0
2.655,0.437,96.502,0.375,0.0,0.031,12050030592.0,381026304.0,16036552704.0,39044993024.0,56503.0,42941.0,0.0,184320.0,1437939897.316,0.0,15.0
0.625,0.219,99.157,0.0,0.0,0.0,12049838080.0,381026304.0,16036548608.0,39045189632.0,5567.0,47170.0,0.0,974848.0,1437939898.316,0.0,11.0
5.972,1.094,91.995,0.844,0.0,0.094,12049252352.0,381026304.0,16036548608.0,39045775360.0,1352.0,438.0,0.0,835584.0,1437939899.316,0.0,70.0
9.761,1.224,86.817,2.009,0.0,0.188,12051009536.0,381026304.0,16036614144.0,39043952640.0,369333.0,128994.0,0.0,1921024.0,1437939900.316,0.0,156.0
11.946,1.698,83.527,2.578,0.0,0.251,12054306816.0,381026304.0,16036646912.0,39040622592.0,189809.0,112329.0,0.0,9400320.0,1437939901.316,0.0,265.0
18.219,2.415,76.858,2.195,0.0,0.314,12060655616.0,381026304.0,16036769792.0,39034150912.0,109824.0,73163.0,0.0,3686400.0,1437939902.316,0.0,199.0
17.558,2.151,77.697,2.341,0.0,0.253,12083875840.0,381026304.0,16036970496.0,39010729984.0,123113.0,85797.0,0.0,3579904.0,1437939903.316,0.0,193.0
14.917,2.131,80.226,2.350,0.0,0.376,12061941760.0,381026304.0,16037150720.0,39032483840.0,256884.0,120450.0,0.0,3055616.0,1437939904.316,0.0,200.0
7.948,1.320,88.816,1.697,0.0,0.220,12059676672.0,381026304.0,16037380096.0,39034519552.0,161733.0,94718.0,0.0,2437120.0,1437939905.316,0.0,143.0
10.269,1.440,86.068,2.035,0.0,0.188,12060401664.0,381026304.0,16037507072.0,39033667584.0,150506.0,127587.0,0.0,2764800.0,1437939906.316,0.0,134.0
1.252,0.313,98.184,0.219,0.0,0.031,12061007872.0,381026304.0,16037580800.0,39032987648.0,179188.0,163749.0,0.0,811008.0,1437939907.316,0.0,30.0
1.871,0.624,97.474,0.031,0.0,0.0,12060569600.0,381026304.0,16037580800.0,39033425920.0,28415.0,16599.0,0.0,393216.0,1437939908.316,0.0,8.0
5.204,0.690,93.103,1.003,0.0,0.0,12088086528.0,381026304.0,16037593088.0,39005896704.0,57897.0,57835.0,0.0,856064.0,1437939909.316,0.0,55.0
5.347,0.938,93.152,0.532,0.0,0.031,12062650368.0,381026304.0,16037638144.0,39031287808.0,57744.0,51870.0,0.0,815104.0,1437939910.316,0.0,42.0
2.530,0.437,96.752,0.250,0.0,0.031,12060524544.0,381026304.0,16037691392.0,39033360384.0,65763.0,59545.0,0.0,1167360.0,1437939911.316,0.0,38.0
8.453,1.284,88.917,1.252,0.0,0.094,12059115520.0,381026304.0,16037699584.0,39034761216.0,43422.0,33097.0,0.0,1310720.0,1437939912.316,0.0,88.0
10.047,1.633,86.813,1.381,0.0,0.126,12055355392.0,381026304.0,16037793792.0,39038427136.0,303193.0,161379.0,0.0,2797568.0,1437939913.315,0.0,106.0
1.626,0.250,97.968,0.156,0.0,0.0,12057427968.0,381026304.0,16037879808.0,39036268544.0,64326.0,46647.0,0.0,487424.0,1437939914.315,0.0,12.0
0.781,0.281,98.720,0.219,0.0,0.0,12056805376.0,381026304.0,16037879808.0,39036891136.0,12124.0,9774.0,0.0,438272.0,1437939915.316,0.0,11.0
0.532,0.063,99.311,0.094,0.0,0.0,12056313856.0,381026304.0,16037879808.0,39037382656.0,1844.0,438.0,0.0,421888.0,1437939916.316,0.0,10.0
0.750,0.219,98.780,0.250,0.0,0.0,12055154688.0,381026304.0,16037879808.0,39038541824.0,4198.0,438.0,0.0,487424.0,1437939917.316,0.0,15.0
0.965,0.467,97.915,0.654,0.0,0.0,12055326720.0,381026304.0,16037879808.0,39038369792.0,1995.0,438.0,0.0,724992.0,1437939918.316,0.0,64.0
0.564,0.125,99.186,0.125,0.0,0.0,12055195648.0,381026304.0,16037879808.0,39038500864.0,398.0,1266.0,0.0,393216.0,1437939919.316,0.0,11.0
1.064,0.250,98.528,0.157,0.0,0.0,12054675456.0,381026304.0,16037883904.0,39039016960.0,134.0,438.0,0.0,421888.0,1437939920.316,0.0,15.0
0.594,0.219,97.936,1.220,0.0,0.031,12054114304.0,381026304.0,16037883904.0,39039578112.0,2457.0,2037.0,0.0,7737344.0,1437939921.316,0.0,166.0
2.316,0.657,96.870,0.156,0.0,0.0,12054142976.0,381026304.0,16037883904.0,39039549440.0,3044.0,828.0,0.0,249856.0,1437939922.316,0.0,15.0
0.625,0.312,98.969,0.094,0.0,0.0,12053213184.0,381026304.0,16037883904.0,39040479232.0,51686.0,98318.0,0.0,237568.0,1437939923.316,0.0,14.0
0.439,0.063,99.342,0.157,0.0,0.0,12053712896.0,381026304.0,16037888000.0,39039975424.0,134.0,438.0,0.0,176128.0,1437939924.316,0.0,11.0
0.438,0.188,99.280,0.094,0.0,0.0,12053704704.0,381026304.0,16037904384.0,39039967232.0,510.0,674.0,0.0,94208.0,1437939925.316,0.0,7.0
2.907,0.594,96.405,0.094,0.0,0.0,12079206400.0,381026304.0,16037904384.0,39014465536.0,510.0,674.0,0.0,122880.0,1437939926.316,0.0,9.0
0.999,0.343,98.283,0.375,0.0,0.0,12054380544.0,381026304.0,16037933056.0,39039262720.0,554.0,3962.0,0.0,122880.0,1437939927.316,0.0,10.0
0.531,0.375,98.626,0.437,0.0,0.031,12053925888.0,381026304.0,16037937152.0,39039713280.0,17110.0,842.0,0.0,897024.0,1437939928.316,0.0,41.0
0.407,0.157,99.374,0.063,0.0,0.0,12053430272.0,381026304.0,16037945344.0,39040200704.0,22313.0,20084.0,0.0,102400.0,1437939929.316,0.0,7.0
1.001,0.469,98.248,0.250,0.0,0.031,12052824064.0,381026304.0,16037945344.0,39040806912.0,14168.0,10482.0,0.0,135168.0,1437939930.316,0.0,13.0
0.688,0.250,98.874,0.188,0.0,0.0,12053463040.0,381026304.0,16037945344.0,39040167936.0,28911.0,26389.0,0.0,2207744.0,1437939931.316,0.0,26.0
0.594,0.188,98.624,0.594,0.0,0.0,12052537344.0,381026304.0,16037945344.0,39041093632.0,24345.0,23428.0,0.0,5238784.0,1437939932.316,0.0,120.0
0.501,0.094,99.342,0.063,0.0,0.0,12052221952.0,381026304.0,16037945344.0,39041409024.0,900.0,556.0,0.0,1015808.0,1437939933.316,0.0,19.0
0.407,0.157,99.123,0.313,0.0,0.0,12051423232.0,381026304.0,16037957632.0,39042195456.0,2312.0,1398.0,0.0,114688.0,1437939934.316,0.0,3.0
0.939,0.313,98.716,0.031,0.0,0.0,12050063360.0,381026304.0,16037957632.0,39043555328.0,4022.0,3954.0,0.0,0.0,1437939935.316,0.0,0.0
0.595,0.094,99.249,0.063,0.0,0.0,12049993728.0,381026304.0,16037957632.0,39043624960.0,42267.0,76807.0,0.0,73728.0,1437939936.316,0.0,6.0
0.501,0.219,98.998,0.282,0.0,0.0,12049424384.0,381026304.0,16037957632.0,39044194304.0,484.0,438.0,0.0,20480.0,1437939937.316,0.0,3.0
0.344,0.125,99.405,0.125,0.0,0.0,12049408000.0,381026304.0,16037957632.0,39044210688.0,1416.0,438.0,0.0,323584.0,1437939938.316,0.0,51.0
0.500,0.156,99.343,0.0,0.0,0.0,12048650240.0,381026304.0,16037957632.0,39044968448.0,1226.0,508.0,0.0,0.0,1437939939.316,0.0,0.0
1.096,0.282,98.372,0.250,0.0,0.0,12048195584.0,381026304.0,16037965824.0,39045414912.0,437.0,540.0,0.0,131072.0,1437939940.316,0.0,7.0
0.595,0.125,99.186,0.094,0.0,0.0,12047642624.0,381026304.0,16037965824.0,39045967872.0,2457.0,2225.0,0.0,36864.0,1437939941.316,0.0,5.0
0.625,0.281,98.375,0.719,0.0,0.0,12047556608.0,381026304.0,16037969920.0,39046049792.0,134.0,556.0,0.0,7340032.0,1437939942.316,0.0,144.0
0.469,0.156,99.343,0.031,0.0,0.0,12047441920.0,381026304.0,16037982208.0,39046152192.0,134.0,556.0,0.0,20480.0,1437939943.316,0.0,3.0
0.501,0.157,99.029,0.313,0.0,0.0,12047982592.0,381026304.0,16037982208.0,39045611520.0,134.0,556.0,0.0,45056.0,1437939944.316,0.0,3.0
0.376,0.125,99.498,0.0,0.0,0.0,12047880192.0,381026304.0,16037982208.0,39045713920.0,2418.0,2013.0,0.0,0.0,1437939945.316,0.0,0.0
0.501,0.094,99.406,0.0,0.0,0.0,12048007168.0,381026304.0,16037982208.0,39045586944.0,134.0,540.0,0.0,0.0,1437939946.316,0.0,0.0
0.687,0.250,98.688,0.375,0.0,0.0,12046610432.0,381026304.0,16037982208.0,39046983680.0,134.0,540.0,0.0,45056.0,1437939947.316,0.0,6.0
0.407,0.094,99.499,0.0,0.0,0.0,12046032896.0,381026304.0,16037982208.0,39047561216.0,134.0,556.0,0.0,0.0,1437939948.316,0.0,0.0
0.500,0.156,99.343,0.0,0.0,0.0,12045549568.0,381026304.0,16037982208.0,39048044544.0,134.0,540.0,0.0,0.0,1437939949.316,0.0,0.0
