total_time;spawn_time;image_time;domain_time;instances
35519;25175;17882;2954;30
37309;13725;4893;7503;30
37468;14149;5218;7617;30
35519;25175;17882;2954;30
37309;13725;4893;7503;30
37468;14149;5218;7617;30
37371;12210;4289;6541;30
37098;11141;2027;7888;30
37095;10656;1894;7350;30
37190;10493;2619;6316;30
37233;11461;2099;8177;30
37930;12278;4147;6695;30
37488;10549;2058;7117;30
38085;12378;4077;6952;30
39172;14805;4684;6562;30
39411;16885;7682;3948;30
39499;17703;8280;2164;30
39247;15650;6426;4047;30
38914;14709;5960;3751;30
39257;15147;4838;6242;30
39407;15637;6576;3771;30
39187;14866;5122;1987;30
39342;15067;4945;6143;30
39689;15507;4616;6816;30
39457;15197;4712;6366;30
39591;15525;4484;6908;30
39454;14811;5265;2185;30
39688;14593;5326;3450;30
39472;14746;5022;2184;30
40223;15786;6200;4509;30
