"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
2.385,0.512,97.061,0.038,0.000,0.003,2310868992.0,253906944.0,6553874432.0,1.26037880832e+11,0.0,0.0,79493.030,925023.382,1438010743.181,4.454,176.791
0.125,0.125,99.750,0.0,0.0,0.0,2311258112.0,253906944.0,6553878528.0,1.26037487616e+11,2054.0,3587.0,0.0,0.0,1438010744.182,0.0,0.0
0.250,0.187,99.563,0.0,0.0,0.0,2311540736.0,253906944.0,6553894912.0,1.26037188608e+11,204.0,540.0,0.0,0.0,1438010745.182,0.0,0.0
0.156,0.125,99.719,0.0,0.0,0.0,2311942144.0,253906944.0,6553894912.0,1.260367872e+11,204.0,540.0,0.0,0.0,1438010746.182,0.0,0.0
0.188,0.031,99.781,0.0,0.0,0.0,2311913472.0,253906944.0,6553894912.0,1.26036815872e+11,268.0,540.0,0.0,57344.0,1438010747.182,0.0,1.0
0.094,0.156,99.750,0.0,0.0,0.0,2312445952.0,253906944.0,6553894912.0,1.26036283392e+11,204.0,556.0,0.0,0.0,1438010748.182,0.0,0.0
0.906,0.125,98.969,0.0,0.0,0.0,2313052160.0,253906944.0,6553894912.0,1.26035677184e+11,87587.0,80237.0,0.0,36864.0,1438010749.182,0.0,2.0
1.311,0.312,98.377,0.0,0.0,0.0,2313904128.0,253906944.0,6553911296.0,1.26034808832e+11,45882.0,82465.0,0.0,0.0,1438010750.182,0.0,0.0
2.134,0.690,97.145,0.0,0.0,0.031,2312364032.0,253906944.0,6636175360.0,1.25954084864e+11,30110422.0,417987.0,0.0,20480.0,1438010751.182,0.0,5.0
2.441,0.814,96.464,0.0,0.0,0.282,2319007744.0,253906944.0,6744485888.0,1.25839130624e+11,117869690.0,614438.0,0.0,84144128.0,1438010752.182,0.0,308.0
2.250,0.812,96.500,0.0,0.0,0.438,2313371648.0,253906944.0,6863847424.0,1.25725405184e+11,119609220.0,319963.0,0.0,0.0,1438010753.182,0.0,0.0
2.325,0.691,96.795,0.0,0.0,0.189,2313150464.0,253906944.0,6981922816.0,1.25607550976e+11,123354322.0,1131380.0,0.0,118784.0,1438010754.182,0.0,2.0
2.383,0.909,96.488,0.0,0.0,0.220,2314645504.0,253906944.0,7099277312.0,1.2548870144e+11,123375654.0,1138056.0,0.0,0.0,1438010755.182,0.0,0.0
2.280,0.812,96.346,0.0,0.0,0.562,2314723328.0,253906944.0,7213928448.0,1.2537397248e+11,121102177.0,714308.0,0.0,0.0,1438010756.182,0.0,0.0
2.324,0.974,95.634,0.817,0.0,0.251,2314612736.0,253906944.0,7331717120.0,1.252562944e+11,122161254.0,796930.0,0.0,207634432.0,1438010757.182,0.0,743.0
2.631,1.034,93.235,2.881,0.0,0.219,2315526144.0,253911040.0,7448182784.0,1.25138911232e+11,123375654.0,1137846.0,0.0,207134720.0,1438010758.182,0.0,740.0
2.359,0.975,93.205,3.397,0.0,0.063,2319265792.0,253911040.0,7559323648.0,1.2502403072e+11,118100534.0,1041968.0,0.0,210345984.0,1438010759.182,0.0,754.0
1.939,1.095,93.525,2.815,0.0,0.626,2314047488.0,253911040.0,7673024512.0,1.2491554816e+11,116934780.0,448906.0,0.0,217817088.0,1438010760.182,0.0,779.0
1.628,0.845,95.055,2.347,0.0,0.125,2317877248.0,253911040.0,7750475776.0,1.24834267136e+11,122153023.0,727216.0,0.0,202186752.0,1438010761.182,0.0,723.0
0.437,2.062,96.564,0.937,0.0,0.0,2320191488.0,253911040.0,8112513024.0,1.24469915648e+11,16998997.0,78628.0,0.0,68132864.0,1438010762.182,0.0,244.0
0.344,3.065,96.591,0.0,0.0,0.0,2337943552.0,253911040.0,8781160448.0,1.2378351616e+11,134.0,438.0,0.0,0.0,1438010763.182,0.0,0.0
1.280,2.871,95.818,0.0,0.0,0.031,2344448000.0,253911040.0,7743012864.0,1.24815159296e+11,1732.0,2743.0,0.0,1433600.0,1438010764.182,0.0,52.0
7.666,4.524,87.779,0.031,0.0,0.0,2388787200.0,253911040.0,7745495040.0,1.2476833792e+11,42713.0,83433.0,0.0,970752.0,1438010765.182,0.0,39.0
11.837,5.650,82.513,0.0,0.0,0.0,2386055168.0,253911040.0,7746109440.0,1.24770455552e+11,8060.0,12230.0,0.0,151552.0,1438010766.182,0.0,4.0
5.411,1.032,93.556,0.0,0.0,0.0,2375766016.0,253911040.0,7746252800.0,1.24780601344e+11,13142.0,8622.0,107520.0,262144.0,1438010767.182,24.0,14.0
4.261,1.003,94.737,0.0,0.0,0.0,2381590528.0,253911040.0,7746330624.0,1.24774699008e+11,28992.0,15899.0,0.0,0.0,1438010768.182,0.0,0.0
3.496,0.375,96.130,0.0,0.0,0.0,2381238272.0,253911040.0,7746482176.0,1.24774899712e+11,8362.0,11572.0,0.0,0.0,1438010769.182,0.0,0.0
3.790,2.224,93.924,0.031,0.0,0.031,2430365696.0,253911040.0,7746801664.0,1.247254528e+11,27107.0,28313.0,533504.0,65536.0,1438010770.182,102.0,5.0
9.077,9.581,76.930,4.349,0.0,0.063,2683990016.0,253911040.0,7746961408.0,1.24471668736e+11,107694.0,181182.0,73345536.0,16623104.0,1438010771.182,4459.0,926.0
9.828,6.103,84.069,0.0,0.0,0.0,2747822080.0,253911040.0,7746842624.0,1.24407955456e+11,26488.0,32205.0,0.0,0.0,1438010772.182,0.0,0.0
5.823,1.221,92.924,0.031,0.0,0.0,2896089088.0,253911040.0,7746826240.0,1.24259704832e+11,134.0,5940.0,1781760.0,286720.0,1438010773.182,435.0,70.0
3.238,4.621,77.523,14.367,0.0,0.251,2967752704.0,253911040.0,7746887680.0,1.24187979776e+11,1796.0,3033.0,19813376.0,4243456.0,1438010774.182,4873.0,1043.0
13.266,10.044,69.962,6.286,0.0,0.442,3121442816.0,253915136.0,7746891776.0,1.24034281472e+11,1870.0,1692.0,134279168.0,60154880.0,1438010775.182,10527.0,3365.0
16.125,2.430,80.215,1.168,0.0,0.063,3290255360.0,253927424.0,7746895872.0,1.23865452544e+11,5608.0,5010.0,93478912.0,47154176.0,1438010776.182,5502.0,1159.0
15.721,1.575,78.922,3.781,0.0,0.0,3455143936.0,253927424.0,7746895872.0,1.23700563968e+11,19084.0,10244.0,166109184.0,129860608.0,1438010777.182,2828.0,876.0
6.404,0.500,92.315,0.750,0.0,0.031,3503980544.0,253927424.0,7746904064.0,1.23651719168e+11,20418.0,13520.0,9650176.0,55570944.0,1438010778.182,378.0,277.0
0.281,0.219,99.469,0.031,0.0,0.0,3503337472.0,253927424.0,7746904064.0,1.2365236224e+11,16572.0,8934.0,0.0,31162368.0,1438010779.182,0.0,121.0
0.281,0.281,99.438,0.0,0.0,0.0,3502718976.0,253927424.0,7746908160.0,1.2365297664e+11,5248.0,4744.0,0.0,10485760.0,1438010780.182,0.0,40.0
