"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","controller",,,,"User:","root"
"Cmdline:","dstat -cmndTr --output 5_instances_dstat_controller.csv",,,,"Date:","26 Jul 2015 16:39:51 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"epoch","io/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
0.729,0.267,98.664,0.337,0.000,0.003,12040003584.0,381026304.0,16021753856.0,39069818880.0,0.0,0.0,1217.450,924081.789,1437939591.524,0.085,89.815
0.564,0.125,99.123,0.188,0.0,0.0,12040097792.0,381026304.0,16021753856.0,39069724672.0,2115.0,1538.0,0.0,73728.0,1437939592.525,0.0,9.0
0.376,0.125,99.217,0.282,0.0,0.0,12039188480.0,381026304.0,16021774336.0,39070613504.0,198.0,438.0,0.0,40960.0,1437939593.525,0.0,3.0
0.470,0.063,99.468,0.0,0.0,0.0,12039188480.0,381026304.0,16021774336.0,39070613504.0,70.0,438.0,0.0,0.0,1437939594.525,0.0,0.0
0.501,0.188,98.998,0.313,0.0,0.0,12047822848.0,381026304.0,16021774336.0,39061979136.0,1138.0,1556.0,0.0,843776.0,1437939595.525,0.0,68.0
2.217,0.312,97.471,0.0,0.0,0.0,12071063552.0,381026304.0,16021774336.0,39038738432.0,328.0,834.0,0.0,0.0,1437939596.525,0.0,0.0
4.011,0.877,93.576,1.442,0.0,0.094,12071739392.0,381026304.0,16021794816.0,39038042112.0,406.0,422.0,0.0,974848.0,1437939597.525,0.0,111.0
4.533,0.969,92.842,1.500,0.0,0.156,12072497152.0,381026304.0,16021901312.0,39037177856.0,70.0,438.0,0.0,1605632.0,1437939598.525,0.0,138.0
6.807,0.721,90.307,2.008,0.0,0.157,12051087360.0,381026304.0,16021925888.0,39058563072.0,161936.0,114315.0,0.0,3624960.0,1437939599.525,0.0,170.0
4.447,0.658,91.669,3.132,0.0,0.094,12052492288.0,381026304.0,16021999616.0,39057084416.0,72225.0,45789.0,0.0,6299648.0,1437939600.525,0.0,274.0
14.018,1.658,81.539,2.441,0.0,0.344,12045815808.0,381026304.0,16022155264.0,39063605248.0,202642.0,31991209.0,0.0,2228224.0,1437939601.525,0.0,181.0
9.305,1.257,87.457,1.666,0.0,0.314,12050649088.0,381026304.0,16022343680.0,39058583552.0,441620.0,117732811.0,0.0,1581056.0,1437939602.525,0.0,129.0
1.720,0.751,97.028,0.500,0.0,0.0,12050604032.0,381026304.0,16022417408.0,39058554880.0,174370.0,119658798.0,0.0,319488.0,1437939603.525,0.0,19.0
