total_time;spawn_time;image_time;domain_time;instances
25695;21182;17802;3114;5
26163;21881;18323;3174;5
26415;21561;18003;3203;5
26680;21874;18211;3256;5
26695;21232;17856;3133;5
25107;19058;16839;1697;10
28704;21848;15931;5381;10
29051;22047;16510;4959;10
29171;22123;16620;4958;10
29578;22970;17071;5086;10
29493;22819;17079;5033;10
29586;23139;17312;5082;10
29783;23045;17847;4864;10
30026;21966;16876;4841;10
30146;22053;16694;4894;10
33104;19716;15454;3658;20
35359;23095;11580;10957;20
35406;22591;11315;10809;20
35703;26064;15169;10338;20
36167;23338;12653;9996;20
36402;23385;12507;9765;20
36419;23736;14273;8523;20
36471;24569;12822;10384;20
36235;22252;11199;10375;20
36297;22986;12933;8808;20
36280;23281;12822;9238;20
36583;23513;12842;9589;20
36334;23199;12902;9186;20
36438;23090;13887;8622;20
36698;22907;12902;8844;20
36715;22828;13692;8518;20
36892;22905;13052;8689;20
36974;23233;12691;9498;20
37301;26153;15075;10162;20
37500;23440;14078;8586;20
35519;25175;17882;2954;30
37309;13725;4893;7503;30
37468;14149;5218;7617;30
35519;25175;17882;2954;30
37309;13725;4893;7503;30
37468;14149;5218;7617;30
37371;12210;4289;6541;30
37098;11141;2027;7888;30
37095;10656;1894;7350;30
37190;10493;2619;6316;30
37233;11461;2099;8177;30
37930;12278;4147;6695;30
37488;10549;2058;7117;30
38085;12378;4077;6952;30
39172;14805;4684;6562;30
39411;16885;7682;3948;30
39499;17703;8280;2164;30
39247;15650;6426;4047;30
38914;14709;5960;3751;30
39257;15147;4838;6242;30
39407;15637;6576;3771;30
39187;14866;5122;1987;30
39342;15067;4945;6143;30
39689;15507;4616;6816;30
39457;15197;4712;6366;30
39591;15525;4484;6908;30
39454;14811;5265;2185;30
39688;14593;5326;3450;30
39472;14746;5022;2184;30
40223;15786;6200;4509;30
