"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute",,,,"User:","root"
"Cmdline:","dstat -cmndTr --output 10_instances_dstat_compute.csv",,,,"Date:","26 Jul 2015 14:47:28 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"epoch","io/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
2.499,0.532,96.944,0.022,0.000,0.003,2370719744.0,244064256.0,9986613248.0,1.22555133952e+11,0.0,0.0,20544.061,906792.759,1437932848.669,1.209,187.093,
0.156,0.250,99.594,0.0,0.0,0.0,2370379776.0,244064256.0,9986613248.0,1.2255547392e+11,1582.0,33441.0,0.0,7471104.0,1437932849.670,0.0,1710.0,
0.094,0.188,99.718,0.0,0.0,0.0,2370301952.0,244064256.0,9986613248.0,1.22555551744e+11,1044.0,31107.0,0.0,200704.0,1437932850.670,0.0,2.0,
0.250,0.313,99.437,0.0,0.0,0.0,2369515520.0,244064256.0,9986625536.0,1.22556325888e+11,834.0,32704.0,0.0,0.0,1437932851.670,0.0,0.0,
0.125,0.156,99.687,0.031,0.0,0.0,2369228800.0,244064256.0,9986625536.0,1.22556612608e+11,1044.0,32519.0,0.0,0.0,1437932852.670,0.0,0.0,
0.125,0.375,99.500,0.0,0.0,0.0,2369433600.0,244064256.0,9986625536.0,1.22556407808e+11,1254.0,31042.0,0.0,0.0,1437932853.670,0.0,0.0,
0.125,0.188,99.687,0.0,0.0,0.0,2368278528.0,244064256.0,9986625536.0,1.2255756288e+11,2777.0,34988.0,0.0,0.0,1437932854.670,0.0,0.0,
1.375,0.406,98.156,0.0,0.0,0.063,2368274432.0,244064256.0,9986625536.0,1.22557566976e+11,152798.0,238923.0,0.0,167936.0,1437932855.670,0.0,2.0,
0.938,0.469,98.593,0.0,0.0,0.0,2368004096.0,244064256.0,9986633728.0,1.2255782912e+11,100356.0,188629.0,0.0,0.0,1437932856.670,0.0,0.0,
0.907,0.250,98.843,0.0,0.0,0.0,2366996480.0,244064256.0,9986646016.0,1.22558824448e+11,61633.0,139608.0,0.0,0.0,1437932857.670,0.0,0.0,
