"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","controller",,,,"User:","stack"
"Cmdline:","dstat -cmndTr --output 10_instances_dstat_controller.csv",,,,"Date:","26 Jul 2015 14:45:48 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"epoch","io/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
0.727,0.267,98.667,0.336,0.000,0.003,11334422528.0,380755968.0,15647764480.0,40149659648.0,0.0,0.0,1219.326,922778.730,1437932748.087,0.085,89.788
0.438,0.156,99.405,0.0,0.0,0.0,11334176768.0,380755968.0,15647764480.0,40149905408.0,5255.0,39150.0,0.0,0.0,1437932749.088,0.0,0.0


"Host:","controller",,,,"User:","stack"
"Cmdline:","dstat -cmndTr --output 10_instances_dstat_controller.csv",,,,"Date:","26 Jul 2015 14:46:40 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"epoch","io/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
0.727,0.267,98.667,0.336,0.000,0.003,11453050880.0,380755968.0,15648829440.0,40029966336.0,0.0,0.0,1219.311,922784.485,1437932800.700,0.085,89.788
0.500,0.250,99.250,0.0,0.0,0.0,11451916288.0,380755968.0,15648833536.0,40031096832.0,1086.0,32179.0,0.0,0.0,1437932801.701,0.0,0.0
0.595,0.250,98.372,0.783,0.0,0.0,11452014592.0,380755968.0,15648833536.0,40030998528.0,694.0,31147.0,0.0,6148096.0,1437932802.701,0.0,149.0
0.532,0.313,99.062,0.094,0.0,0.0,11451138048.0,380755968.0,15648833536.0,40031875072.0,764.0,32641.0,0.0,282624.0,1437932803.701,0.0,14.0
0.594,0.312,99.063,0.031,0.0,0.0,11450757120.0,380755968.0,15648833536.0,40032256000.0,694.0,31428.0,0.0,0.0,1437932804.701,0.0,0.0
2.253,0.532,96.965,0.250,0.0,0.0,11474702336.0,380755968.0,15648833536.0,40008310784.0,952.0,31258.0,0.0,192512.0,1437932805.701,0.0,6.0
4.207,0.911,93.501,1.287,0.0,0.094,11477463040.0,380755968.0,15648899072.0,40005484544.0,904.0,31474.0,0.0,1081344.0,1437932806.701,0.0,119.0
4.617,1.036,92.871,1.382,0.0,0.094,11478388736.0,380755968.0,15648956416.0,40004501504.0,764.0,32507.0,0.0,1462272.0,1437932807.701,0.0,126.0
4.756,1.064,92.522,1.471,0.0,0.188,11478216704.0,380755968.0,15649038336.0,40004591616.0,3157.0,32790.0,0.0,1564672.0,1437932808.701,0.0,134.0
7.902,1.129,89.150,1.693,0.0,0.125,11459612672.0,380755968.0,15649128448.0,40023105536.0,16541.0,59173.0,0.0,2052096.0,1437932809.701,0.0,167.0
7.224,1.131,89.793,1.759,0.0,0.094,11470323712.0,380755968.0,15649189888.0,40012333056.0,312083.0,237316.0,0.0,2093056.0,1437932810.701,0.0,172.0
9.114,1.571,87.241,1.886,0.0,0.189,11469774848.0,380755968.0,15649267712.0,40012804096.0,85609.0,83773.0,0.0,2646016.0,1437932811.701,0.0,160.0
15.836,1.987,79.338,2.587,0.0,0.252,11473862656.0,380755968.0,15649509376.0,40008474624.0,122423.0,100798.0,0.0,3903488.0,1437932812.701,0.0,209.0
13.016,1.607,82.887,2.301,0.0,0.189,11477458944.0,380755968.0,15649636352.0,40004751360.0,253981.0,158304.0,0.0,3719168.0,1437932813.701,0.0,201.0
9.082,1.697,86.769,2.326,0.0,0.126,11479711744.0,380755968.0,15658242048.0,39993892864.0,167141.0,133512.0,0.0,10452992.0,1437932814.701,0.0,215.0
10.978,1.290,85.970,1.604,0.0,0.157,11482296320.0,380755968.0,15658364928.0,39991185408.0,130311.0,149681.0,0.0,2183168.0,1437932815.701,0.0,135.0
2.284,0.407,97.059,0.219,0.0,0.031,11482677248.0,380755968.0,15658377216.0,39990792192.0,110539.0,120672.0,0.0,720896.0,1437932816.701,0.0,24.0
1.434,0.530,97.817,0.187,0.0,0.031,11483803648.0,380755968.0,15658381312.0,39989661696.0,5409.0,33800.0,0.0,684032.0,1437932817.701,0.0,18.0
2.217,0.500,96.597,0.656,0.0,0.031,11481825280.0,380755968.0,15658405888.0,39991615488.0,20617.0,59225.0,0.0,823296.0,1437932818.701,0.0,38.0
0.908,0.376,98.623,0.094,0.0,0.0,11481382912.0,380755968.0,15658414080.0,39992049664.0,8124.0,36737.0,0.0,589824.0,1437932819.701,0.0,13.0
4.969,0.938,93.031,0.969,0.0,0.094,11482644480.0,380755968.0,15658446848.0,39990755328.0,45355.0,70045.0,0.0,2207744.0,1437932820.701,0.0,302.0
2.032,0.594,93.936,3.439,0.0,0.0,11482853376.0,380755968.0,15658446848.0,39990546432.0,27947.0,71456.0,0.0,3457024.0,1437932821.701,0.0,562.0
3.915,0.564,95.240,0.282,0.0,0.0,11484913664.0,380755968.0,15658483712.0,39988449280.0,67765.0,79545.0,0.0,745472.0,1437932822.701,0.0,25.0
10.260,1.412,85.849,2.353,0.0,0.126,11488399360.0,380755968.0,15658532864.0,39984914432.0,301753.0,172615.0,0.0,9519104.0,1437932823.701,0.0,305.0
