"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute",,,,"User:","root"
"Cmdline:","dstat -cmndTr --output 20_instancias_dstat_compute.csv",,,,"Date:","26 Jul 2015 15:00:41 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"epoch","io/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
2.499,0.532,96.942,0.024,0.000,0.003,2367688704.0,244375552.0,10035408896.0,1.22509058048e+11,0.0,0.0,25465.262,909167.778,1437933641.800,1.525,187.113
0.219,0.188,99.594,0.0,0.0,0.0,2368217088.0,244375552.0,10035412992.0,1.22508525568e+11,1162.0,36445.0,0.0,0.0,1437933642.801,0.0,0.0
0.219,0.375,99.406,0.0,0.0,0.0,2367942656.0,244375552.0,10035417088.0,1.22508795904e+11,1108.0,29915.0,0.0,0.0,1437933643.801,0.0,0.0
0.188,0.188,99.625,0.0,0.0,0.0,2368180224.0,244375552.0,10035417088.0,1.22508558336e+11,2293.0,33667.0,0.0,0.0,1437933644.801,0.0,0.0
0.219,0.188,99.593,0.0,0.0,0.0,2368434176.0,244375552.0,10035417088.0,1.22508304384e+11,1184.0,35505.0,0.0,0.0,1437933645.801,0.0,0.0
0.219,0.250,99.500,0.031,0.0,0.0,2368696320.0,244375552.0,10035417088.0,1.2250804224e+11,1248.0,28512.0,0.0,184320.0,1437933646.801,0.0,2.0
0.156,0.188,99.656,0.0,0.0,0.0,2368397312.0,244375552.0,10035417088.0,1.22508341248e+11,1114.0,35459.0,0.0,0.0,1437933647.801,0.0,0.0
0.313,0.219,99.469,0.0,0.0,0.0,2368471040.0,244375552.0,10035421184.0,1.22508263424e+11,1184.0,31291.0,0.0,7340032.0,1437933648.801,0.0,1707.0
0.156,0.250,99.593,0.0,0.0,0.0,2367954944.0,244375552.0,10035421184.0,1.2250877952e+11,1114.0,30059.0,0.0,102400.0,1437933649.801,0.0,0.0
0.094,0.188,99.687,0.031,0.0,0.0,2368385024.0,244375552.0,10035421184.0,1.2250834944e+11,834.0,36833.0,0.0,0.0,1437933650.801,0.0,0.0
0.157,0.188,99.656,0.0,0.0,0.0,2367848448.0,244375552.0,10035421184.0,1.22508886016e+11,1394.0,29619.0,0.0,184320.0,1437933651.801,0.0,2.0
0.157,0.188,99.656,0.0,0.0,0.0,2367840256.0,244375552.0,10035421184.0,1.22508894208e+11,1856.0,31393.0,0.0,0.0,1437933652.801,0.0,0.0
0.344,0.344,99.312,0.0,0.0,0.0,2367819776.0,244375552.0,10035425280.0,1.22508910592e+11,1207.0,32323.0,0.0,0.0,1437933653.801,0.0,0.0
1.723,0.313,97.932,0.0,0.0,0.031,2367778816.0,244375552.0,10035425280.0,1.22508951552e+11,234043.0,303544.0,0.0,0.0,1437933654.801,0.0,0.0
0.751,0.282,98.967,0.0,0.0,0.0,2368073728.0,244375552.0,10035437568.0,1.22508644352e+11,156827.0,238566.0,0.0,0.0,1437933655.801,0.0,0.0
1.124,0.656,98.189,0.0,0.0,0.031,2367983616.0,244375552.0,10035449856.0,1.22508722176e+11,65550.0,134110.0,0.0,172032.0,1437933656.801,0.0,2.0
1.567,0.564,97.868,0.0,0.0,0.0,2371702784.0,244375552.0,10035634176.0,1.22504818688e+11,77134.0,156392.0,0.0,442368.0,1437933657.801,0.0,17.0
3.418,2.509,94.073,0.0,0.0,0.0,2393550848.0,244375552.0,10036502528.0,1.22482102272e+11,130463.0,304025.0,0.0,2547712.0,1437933658.801,0.0,90.0
4.645,2.888,92.436,0.0,0.0,0.031,2388193280.0,244375552.0,10041061376.0,1.22482900992e+11,96581.0,164081.0,0.0,5001216.0,1437933659.801,0.0,206.0
6.652,2.510,90.838,0.0,0.0,0.0,2395312128.0,244375552.0,10043785216.0,1.22473058304e+11,14529.0,56140.0,0.0,3661824.0,1437933660.801,0.0,146.0
9.711,4.557,85.449,0.283,0.0,0.0,2425348096.0,244375552.0,10047574016.0,1.22439233536e+11,144361.0,181007.0,111616.0,4800512.0,1437933661.801,25.0,194.0
15.462,8.804,75.292,0.410,0.0,0.032,2449674240.0,244465664.0,10059132928.0,1.22403258368e+11,46822.0,99519.0,119808.0,12521472.0,1437933662.801,27.0,521.0
14.434,6.934,78.601,0.032,0.0,0.0,2440552448.0,244613120.0,10066776064.0,1.22404589568e+11,23113.0,83530.0,111616.0,13701120.0,1437933663.801,25.0,563.0
