"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","controller",,,,"User:","stack"
"Cmdline:","dstat -cmndTr --output 30_instancias_dstat_controller.csv",,,,"Date:","26 Jul 2015 15:22:52 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"epoch","io/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
0.727,0.267,98.666,0.337,0.000,0.003,11868389376.0,380821504.0,15743922176.0,39519469568.0,0.0,0.0,1218.711,922911.403,1437934972.235,0.085,89.803
0.438,0.251,99.280,0.031,0.0,0.0,11868172288.0,380821504.0,15743926272.0,39519682560.0,1780.0,32172.0,0.0,176128.0,1437934973.236,0.0,4.0
0.469,0.344,99.124,0.063,0.0,0.0,11868368896.0,380821504.0,15743926272.0,39519485952.0,1250.0,32561.0,0.0,155648.0,1437934974.236,0.0,4.0
0.626,0.250,99.124,0.0,0.0,0.0,11867361280.0,380821504.0,15743926272.0,39520493568.0,764.0,31223.0,0.0,0.0,1437934975.236,0.0,0.0
0.438,0.250,99.311,0.0,0.0,0.0,11867267072.0,380821504.0,15743926272.0,39520587776.0,1063.0,31314.0,0.0,0.0,1437934976.236,0.0,0.0
1.690,0.501,97.653,0.156,0.0,0.0,11886448640.0,380821504.0,15743930368.0,39501402112.0,1370.0,31234.0,0.0,167936.0,1437934977.236,0.0,4.0
4.044,0.909,93.887,1.066,0.0,0.094,11897843712.0,380821504.0,15743930368.0,39490007040.0,1092.0,32961.0,0.0,753664.0,1437934978.236,0.0,76.0
4.304,0.880,93.277,1.477,0.0,0.063,11898593280.0,380821504.0,15744000000.0,39489187840.0,3227.0,32813.0,0.0,1482752.0,1437934979.236,0.0,137.0
4.458,0.816,92.465,2.166,0.0,0.094,11900551168.0,380821504.0,15744073728.0,39487156224.0,2971.0,33093.0,0.0,2490368.0,1437934980.236,0.0,341.0
4.233,0.815,92.756,2.101,0.0,0.094,11900960768.0,380821504.0,15744118784.0,39486701568.0,764.0,31305.0,0.0,8523776.0,1437934981.236,0.0,280.0
4.668,1.003,92.419,1.754,0.0,0.157,11901079552.0,380821504.0,15744184320.0,39486517248.0,974.0,32709.0,0.0,1945600.0,1437934982.236,0.0,144.0
