"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute",,,,"User:","root"
"Cmdline:","dstat -cmndTr --output 20_dstat_compute.csv",,,,"Date:","26 Jul 2015 16:45:03 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"epoch","io/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
2.509,0.534,96.923,0.030,0.000,0.003,2334453760.0,251707392.0,7610626048.0,1.24959744e+11,0.0,0.0,46059.592,924371.801,1437939903.184,2.638,187.145
0.218,0.094,99.688,0.0,0.0,0.0,2334650368.0,251707392.0,7610703872.0,1.24959469568e+11,998.0,1266.0,0.0,286720.0,1437939904.185,0.0,17.0
0.094,0.0,99.906,0.0,0.0,0.0,2334883840.0,251707392.0,7610724352.0,1.24959215616e+11,204.0,556.0,0.0,0.0,1437939905.185,0.0,0.0
0.188,0.125,99.687,0.0,0.0,0.0,2334752768.0,251707392.0,7610728448.0,1.24959342592e+11,204.0,540.0,0.0,0.0,1437939906.185,0.0,0.0
0.031,0.031,99.937,0.0,0.0,0.0,2334142464.0,251707392.0,7610728448.0,1.24959952896e+11,1803.0,2863.0,0.0,0.0,1437939907.185,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,2333896704.0,251707392.0,7610728448.0,1.24960198656e+11,594.0,2397.0,0.0,0.0,1437939908.185,0.0,0.0
0.312,0.125,99.563,0.0,0.0,0.0,2333159424.0,251707392.0,7610728448.0,1.24960935936e+11,204.0,540.0,0.0,114688.0,1437939909.185,0.0,19.0
0.094,0.125,99.781,0.0,0.0,0.0,2332999680.0,251707392.0,7610732544.0,1.24961091584e+11,204.0,556.0,0.0,0.0,1437939910.185,0.0,0.0
0.344,0.125,99.532,0.0,0.0,0.0,2333130752.0,251707392.0,7610732544.0,1.24960960512e+11,322.0,610.0,0.0,0.0,1437939911.185,0.0,0.0
0.063,0.156,99.750,0.031,0.0,0.0,2332622848.0,251707392.0,7610732544.0,1.24961468416e+11,433.0,540.0,0.0,0.0,1437939912.185,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,2331959296.0,251707392.0,7610732544.0,1.24962131968e+11,740.0,540.0,0.0,0.0,1437939913.185,0.0,0.0
0.281,0.187,99.532,0.0,0.0,0.0,2332225536.0,251707392.0,7610740736.0,1.24961857536e+11,134.0,540.0,0.0,65536.0,1437939914.185,0.0,10.0
1.627,0.344,97.997,0.0,0.0,0.031,2331992064.0,251707392.0,7610740736.0,1.24962091008e+11,116677.0,140179.0,0.0,0.0,1437939915.185,0.0,0.0
1.032,0.313,98.655,0.0,0.0,0.0,2331684864.0,251707392.0,7610761216.0,1.24962377728e+11,259864.0,320957.0,0.0,0.0,1437939916.185,0.0,0.0
0.720,0.094,99.155,0.0,0.0,0.031,2331017216.0,251707392.0,7610773504.0,1.24963033088e+11,60279.0,95967.0,0.0,0.0,1437939917.185,0.0,0.0
1.785,0.501,97.589,0.0,0.0,0.125,2334523392.0,251707392.0,7636590592.0,1.24933709824e+11,53889.0,88970.0,0.0,4096.0,1437939918.185,0.0,1.0
2.476,1.097,96.270,0.0,0.0,0.157,2335690752.0,251707392.0,7740358656.0,1.248287744e+11,75115994.0,199874.0,0.0,62189568.0,1437939919.185,0.0,243.0
2.578,0.912,96.416,0.0,0.0,0.094,2338959360.0,251707392.0,7841951744.0,1.24723912704e+11,100070236.0,394677.0,0.0,20480.0,1437939920.185,0.0,5.0
