"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","controller",,,,"User:","root"
"Cmdline:","dstat -cmndTr --output 30_dstat_controller.csv",,,,"Date:","26 Jul 2015 16:49:13 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"epoch","io/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
0.729,0.267,98.664,0.337,0.000,0.003,12031508480.0,381026304.0,16048910336.0,39051157504.0,0.0,0.0,1217.305,924762.078,1437940153.617,0.085,89.813
0.468,0.125,99.407,0.0,0.0,0.0,12031365120.0,381026304.0,16048910336.0,39051300864.0,860.0,1148.0,0.0,0.0,1437940154.618,0.0,0.0
0.563,0.188,99.250,0.0,0.0,0.0,12031299584.0,381026304.0,16048910336.0,39051366400.0,501.0,422.0,0.0,20480.0,1437940155.618,0.0,5.0
0.438,0.156,99.406,0.0,0.0,0.0,12030574592.0,381026304.0,16048910336.0,39052091392.0,70.0,438.0,0.0,0.0,1437940156.618,0.0,0.0
0.594,0.188,98.844,0.375,0.0,0.0,12029997056.0,381026304.0,16048914432.0,39052664832.0,198.0,422.0,0.0,81920.0,1437940157.618,0.0,6.0
1.782,0.407,97.811,0.0,0.0,0.0,12053356544.0,381026304.0,16048914432.0,39029305344.0,557.0,556.0,0.0,0.0,1437940158.618,0.0,0.0
4.293,0.689,93.325,1.630,0.0,0.063,12057649152.0,381026304.0,16048971776.0,39024955392.0,944.0,818.0,0.0,815104.0,1437940159.618,0.0,105.0
4.677,0.816,92.028,2.385,0.0,0.094,12061863936.0,381026304.0,16049049600.0,39020662784.0,3427.0,1967.0,0.0,4702208.0,1437940160.618,0.0,188.0
4.944,0.688,91.646,2.597,0.0,0.125,12064784384.0,381026304.0,16049098752.0,39017693184.0,11036.0,10557.0,0.0,5169152.0,1437940161.618,0.0,226.0
4.473,0.751,92.806,1.814,0.0,0.156,12065001472.0,381026304.0,16049172480.0,39017402368.0,2079.0,1384.0,0.0,2043904.0,1437940162.618,0.0,147.0
4.955,0.596,92.474,1.913,0.0,0.063,12066508800.0,381026304.0,16049266688.0,39015800832.0,198.0,438.0,0.0,2142208.0,1437940163.618,0.0,148.0
4.551,0.748,92.675,1.870,0.0,0.156,12065828864.0,381026304.0,16049328128.0,39016419328.0,70.0,438.0,0.0,1851392.0,1437940164.618,0.0,131.0
4.762,0.689,92.951,1.504,0.0,0.094,12066926592.0,381026304.0,16049393664.0,39015256064.0,198.0,438.0,0.0,1392640.0,1437940165.618,0.0,128.0
4.458,0.471,92.967,1.947,0.0,0.157,12066287616.0,381026304.0,16049467392.0,39015821312.0,70.0,438.0,0.0,2318336.0,1437940166.618,0.0,161.0
3.284,0.563,93.838,2.252,0.0,0.063,12067467264.0,381026304.0,16049577984.0,39014531072.0,268.0,556.0,0.0,1970176.0,1437940167.618,0.0,163.0
8.880,1.067,87.763,2.228,0.0,0.063,12040052736.0,381026304.0,16049635328.0,39041888256.0,389965.0,310368.0,0.0,2060288.0,1437940168.618,0.0,169.0
8.211,0.783,88.499,2.319,0.0,0.188,12042493952.0,381026304.0,16049680384.0,39039401984.0,237274.0,243119.0,0.0,3010560.0,1437940169.618,0.0,172.0
6.358,1.002,90.197,2.318,0.0,0.125,12042792960.0,381026304.0,16049737728.0,39039045632.0,75801.0,49820.0,0.0,2101248.0,1437940170.618,0.0,166.0
13.604,1.288,82.061,2.639,0.0,0.408,12048457728.0,381026304.0,16049909760.0,39033208832.0,270941.0,22894472.0,0.0,3751936.0,1437940171.618,0.0,214.0
12.343,1.539,83.134,2.638,0.0,0.345,12047736832.0,381026304.0,16050081792.0,39033757696.0,948262.0,115784738.0,0.0,3031040.0,1437940172.618,0.0,200.0
10.690,1.599,85.266,2.226,0.0,0.219,12054794240.0,381026304.0,16050241536.0,39026540544.0,642694.0,113643467.0,0.0,3579904.0,1437940173.618,0.0,180.0
14.174,2.383,81.154,1.913,0.0,0.376,12054822912.0,381026304.0,16050470912.0,39026282496.0,1029544.0,118865000.0,0.0,3100672.0,1437940174.618,0.0,190.0
1.468,0.531,97.814,0.156,0.0,0.031,12052807680.0,381026304.0,16050491392.0,39028277248.0,625998.0,119495880.0,0.0,1150976.0,1437940175.618,0.0,63.0
0.878,0.439,98.088,0.439,0.0,0.157,12052303872.0,381026304.0,16050499584.0,39028772864.0,1131830.0,123374370.0,0.0,1044480.0,1437940176.618,0.0,32.0
