"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute",,,,"User:","root"
"Cmdline:","dstat -cmndTr --output 5_instances_dstat_compute.csv",,,,"Date:","26 Jul 2015 16:40:38 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"epoch","io/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
2.509,0.534,96.923,0.030,0.000,0.003,2331181056.0,251588608.0,7601999872.0,1.24971761664e+11,0.0,0.0,43954.290,919549.964,1437939638.537,2.529,187.145
0.094,0.187,99.688,0.031,0.0,0.0,2330238976.0,251588608.0,7602003968.0,1.24972699648e+11,456.0,1266.0,0.0,0.0,1437939639.539,0.0,0.0
0.031,0.031,99.937,0.0,0.0,0.0,2330165248.0,251588608.0,7602003968.0,1.24972773376e+11,70.0,422.0,0.0,0.0,1437939640.539,0.0,0.0
0.219,0.062,99.719,0.0,0.0,0.0,2330038272.0,251588608.0,7602003968.0,1.24972900352e+11,198.0,422.0,0.0,0.0,1437939641.539,0.0,0.0
0.156,0.031,99.812,0.0,0.0,0.0,2329403392.0,251588608.0,7602003968.0,1.24973535232e+11,140.0,540.0,0.0,40960.0,1437939642.538,0.0,2.0
0.063,0.031,99.906,0.0,0.0,0.0,2329149440.0,251588608.0,7602003968.0,1.24973789184e+11,478.0,556.0,0.0,28672.0,1437939643.538,0.0,5.0
0.313,0.094,99.594,0.0,0.0,0.0,2330689536.0,251588608.0,7602008064.0,1.24972244992e+11,140.0,556.0,0.0,0.0,1437939644.539,0.0,0.0
0.782,0.094,99.124,0.0,0.0,0.0,2329710592.0,251588608.0,7602012160.0,1.2497321984e+11,47085.0,59068.0,0.0,0.0,1437939645.539,0.0,0.0
1.221,0.125,98.653,0.0,0.0,0.0,2328281088.0,251588608.0,7602012160.0,1.24974649344e+11,78809.0,128533.0,0.0,0.0,1437939646.538,0.0,0.0
