"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute",,,,"User:","root"
"Cmdline:","dstat -cmndTr --output 5_instancias_dstat_compute.csv",,,,"Date:","26 Jul 2015 15:37:44 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"epoch","io/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
2.498,0.532,96.937,0.030,0.000,0.003,2390986752.0,247152640.0,10285035520.0,1.22233356288e+11,0.0,0.0,33516.059,912890.951,1437935864.565,1.942,187.181
0.156,0.219,99.625,0.0,0.0,0.0,2391093248.0,247152640.0,10285035520.0,1.22233249792e+11,834.0,33161.0,0.0,184320.0,1437935865.566,0.0,2.0
0.313,0.188,99.499,0.0,0.0,0.0,2391138304.0,247152640.0,10285035520.0,1.22233204736e+11,764.0,32551.0,0.0,0.0,1437935866.566,0.0,0.0
0.157,0.250,99.593,0.0,0.0,0.0,2391117824.0,247152640.0,10285043712.0,1.22233217024e+11,694.0,31155.0,0.0,7487488.0,1437935867.566,0.0,1710.0
0.375,0.281,99.344,0.0,0.0,0.0,2390794240.0,247152640.0,10285043712.0,1.22233540608e+11,834.0,32540.0,0.0,0.0,1437935868.566,0.0,0.0
0.718,0.281,98.969,0.031,0.0,0.0,2391601152.0,247152640.0,10285056000.0,1.22232721408e+11,46008.0,103906.0,0.0,0.0,1437935869.566,0.0,0.0
1.377,0.970,97.653,0.0,0.0,0.0,2397335552.0,247152640.0,10285056000.0,1.22226987008e+11,37845.0,80199.0,0.0,610304.0,1437935870.566,0.0,18.0
3.286,1.659,95.055,0.0,0.0,0.0,2401013760.0,247152640.0,10286796800.0,1.22221568e+11,37807.0,87475.0,0.0,1093632.0,1437935871.566,0.0,48.0
4.010,1.410,94.549,0.0,0.0,0.031,2404864000.0,247152640.0,10288513024.0,1.22216001536e+11,45431.0,102126.0,0.0,3039232.0,1437935872.566,0.0,114.0
3.826,2.070,94.073,0.031,0.0,0.0,2415050752.0,247156736.0,10290098176.0,1.22204225536e+11,32867.0,76946.0,111616.0,2191360.0,1437935873.566,25.0,94.0
3.533,0.719,95.747,0.0,0.0,0.0,2410725376.0,247169024.0,10292862976.0,1.22205773824e+11,42951.0,105985.0,0.0,2629632.0,1437935874.566,0.0,99.0
3.292,2.069,94.639,0.0,0.0,0.0,2432569344.0,247173120.0,10294435840.0,1.22182352896e+11,62332.0,118130.0,111616.0,1785856.0,1437935875.566,25.0,63.0
8.179,5.064,85.027,1.667,0.0,0.063,2491740160.0,247185408.0,10297843712.0,1.2211976192e+11,77808.0,163774.0,23910400.0,4979712.0,1437935876.566,1456.0,201.0
9.679,4.400,85.858,0.063,0.0,0.0,2580455424.0,247185408.0,10298134528.0,1.2203075584e+11,97756.0,154249.0,5580800.0,8192.0,1437935877.566,355.0,2.0
6.281,2.481,91.175,0.063,0.0,0.0,2636083200.0,247185408.0,10300674048.0,1.21972588544e+11,57474.0,120503.0,712704.0,3100672.0,1437935878.566,174.0,117.0
7.025,3.829,82.468,6.551,0.0,0.127,2668445696.0,247185408.0,10302058496.0,1.219388416e+11,13242.0,46765.0,13360128.0,2191360.0,1437935879.566,3279.0,95.0
10.468,4.934,74.352,10.152,0.0,0.095,2812837888.0,247193600.0,10306281472.0,1.2179021824e+11,58175.0,130389.0,67824640.0,19678208.0,1437935880.566,4071.0,875.0
9.211,3.332,82.364,5.061,0.0,0.031,2942083072.0,247193600.0,10307067904.0,1.21660186624e+11,20737.0,62505.0,22365184.0,4096.0,1437935881.566,1489.0,1.0
6.476,0.912,87.488,5.124,0.0,0.0,2988314624.0,247197696.0,10308354048.0,1.21612664832e+11,4674.0,47227.0,24375296.0,17417216.0,1437935882.566,1457.0,180.0
8.682,2.611,80.560,8.084,0.0,0.063,3045793792.0,247201792.0,10308370432.0,1.21555165184e+11,35077.0,72917.0,57139712.0,49436672.0,1437935883.566,4914.0,710.0
6.847,2.732,73.116,17.274,0.0,0.031,3122352128.0,247201792.0,10308325376.0,1.21478651904e+11,27810.0,76568.0,36330496.0,29609472.0,1437935884.566,1282.0,201.0
5.086,1.601,79.246,14.035,0.0,0.031,3255799808.0,247201792.0,10308341760.0,1.2134518784e+11,7588.0,48161.0,46735360.0,12222464.0,1437935885.566,1852.0,94.0
8.354,0.914,82.125,8.607,0.0,0.0,3337539584.0,247201792.0,10308358144.0,1.2126343168e+11,9074.0,50485.0,31576064.0,1368064.0,1437935886.566,1358.0,63.0
8.533,0.850,72.670,17.916,0.0,0.031,3371110400.0,247201792.0,10308370432.0,1.21229848576e+11,24806.0,66754.0,34792448.0,17954304.0,1437935887.566,3099.0,376.0
5.405,0.786,74.670,19.139,0.0,0.0,3384938496.0,247201792.0,10308374528.0,1.21216016384e+11,6532.0,47996.0,45109248.0,18538496.0,1437935888.566,1869.0,125.0
6.301,1.323,76.371,16.005,0.0,0.0,3428777984.0,247201792.0,10308382720.0,1.21172168704e+11,16002.0,50572.0,38985728.0,19005440.0,1437935889.566,1762.0,123.0
9.552,1.324,73.329,15.763,0.0,0.032,3505672192.0,247201792.0,10308390912.0,1.21095266304e+11,8186.0,48256.0,43495424.0,4416000.0,1437935890.565,1776.0,63.0
