"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","controller",,,,"User:","stack"
"Cmdline:","dstat -cmndTr --output 5_instancias_dstat_controller.csv",,,,"Date:","26 Jul 2015 15:36:57 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"epoch","io/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
0.728,0.267,98.666,0.337,0.000,0.003,11885219840.0,380882944.0,15772299264.0,39474200576.0,0.0,0.0,1218.477,922943.454,1437935817.651,0.085,89.808
0.500,0.344,99.124,0.031,0.0,0.0,11885649920.0,380882944.0,15772303360.0,39473766400.0,3029.0,33546.0,0.0,180224.0,1437935818.652,0.0,4.0
0.688,0.250,98.780,0.282,0.0,0.0,11884969984.0,380882944.0,15772307456.0,39474442240.0,1150.0,32429.0,0.0,835584.0,1437935819.652,0.0,29.0
0.939,0.313,98.685,0.031,0.0,0.031,11884511232.0,380882944.0,15772307456.0,39474900992.0,630.0,31201.0,0.0,159744.0,1437935820.652,0.0,4.0
1.689,0.563,97.717,0.031,0.0,0.0,11906514944.0,380882944.0,15772307456.0,39452897280.0,1086.0,31442.0,0.0,0.0,1437935821.652,0.0,0.0
3.512,0.784,93.227,2.383,0.0,0.094,11911950336.0,380882944.0,15772340224.0,39447429120.0,910.0,31704.0,0.0,2756608.0,1437935822.652,0.0,479.0
5.720,1.163,90.918,2.137,0.0,0.063,11909206016.0,380882944.0,15772389376.0,39450124288.0,33935.0,57534.0,0.0,1429504.0,1437935823.652,0.0,150.0
10.986,1.941,84.851,2.034,0.0,0.188,11920302080.0,380882944.0,15772545024.0,39438872576.0,70432.0,75304.0,0.0,2199552.0,1437935824.652,0.0,163.0
6.730,1.289,89.906,1.950,0.0,0.126,11915841536.0,380882944.0,15772663808.0,39443214336.0,51164.0,73872.0,0.0,1777664.0,1437935825.652,0.0,161.0
9.296,1.440,87.167,1.972,0.0,0.125,11922685952.0,380882944.0,15772733440.0,39436300288.0,59589.0,69274.0,0.0,2547712.0,1437935826.652,0.0,158.0
2.890,0.754,88.596,7.760,0.0,0.0,11926597632.0,380882944.0,15772790784.0,39432331264.0,50125.0,69138.0,0.0,5861376.0,1437935827.652,0.0,952.0
9.233,1.628,87.011,2.034,0.0,0.094,11928543232.0,380882944.0,15772934144.0,39430242304.0,66108.0,76651.0,0.0,2383872.0,1437935828.652,0.0,218.0
8.099,1.345,87.867,2.533,0.0,0.156,11911397376.0,380882944.0,15773077504.0,39447244800.0,70914.0,79546.0,0.0,3174400.0,1437935829.652,0.0,188.0
11.310,1.723,84.618,2.162,0.0,0.188,11930763264.0,380882944.0,15773179904.0,39427776512.0,141042.0,120064.0,0.0,2224128.0,1437935830.652,0.0,164.0
7.392,1.353,88.802,2.296,0.0,0.157,11910307840.0,380882944.0,15781715968.0,39439695872.0,85964.0,110572.0,0.0,11022336.0,1437935831.652,0.0,232.0
8.373,1.505,87.833,2.195,0.0,0.094,11909292032.0,380882944.0,15781797888.0,39440629760.0,99604.0,98842.0,0.0,2314240.0,1437935832.652,0.0,172.0
5.639,1.190,92.137,0.940,0.0,0.094,11906678784.0,380882944.0,15781928960.0,39443111936.0,38040.0,60466.0,0.0,2109440.0,1437935833.652,0.0,90.0
4.911,1.063,93.212,0.657,0.0,0.156,11906646016.0,380882944.0,15781953536.0,39443120128.0,80523.0,84686.0,0.0,1196032.0,1437935834.652,0.0,72.0
1.407,0.407,97.811,0.344,0.0,0.031,11906576384.0,380882944.0,15781978112.0,39443165184.0,15032.0,41042.0,0.0,868352.0,1437935835.652,0.0,25.0
1.157,0.438,98.249,0.156,0.0,0.0,11906392064.0,380882944.0,15781986304.0,39443341312.0,21070.0,48576.0,0.0,520192.0,1437935836.652,0.0,15.0
0.875,0.469,98.469,0.187,0.0,0.0,11905658880.0,380882944.0,15781986304.0,39444074496.0,2520.0,32577.0,0.0,577536.0,1437935837.652,0.0,16.0
2.629,0.689,95.900,0.720,0.0,0.063,11906072576.0,380882944.0,15781998592.0,39443648512.0,46982.0,58431.0,0.0,1568768.0,1437935838.652,0.0,51.0
1.060,0.437,98.191,0.312,0.0,0.0,11904565248.0,380882944.0,15781998592.0,39445155840.0,2434.0,31793.0,0.0,1294336.0,1437935839.652,0.0,37.0
1.033,0.344,98.466,0.156,0.0,0.0,11904786432.0,380882944.0,15782010880.0,39444922368.0,3962.0,33436.0,0.0,565248.0,1437935840.652,0.0,17.0
0.877,0.345,98.340,0.438,0.0,0.0,11905544192.0,380882944.0,15782019072.0,39444156416.0,7085.0,37347.0,0.0,544768.0,1437935841.652,0.0,17.0
2.464,0.686,96.569,0.281,0.0,0.0,11928367104.0,380882944.0,15782047744.0,39421304832.0,6996.0,37155.0,0.0,581632.0,1437935842.652,0.0,19.0
1.562,0.500,97.688,0.250,0.0,0.0,11905265664.0,380882944.0,15782060032.0,39444393984.0,1882.0,32827.0,0.0,606208.0,1437935843.652,0.0,18.0
0.501,0.469,98.717,0.313,0.0,0.0,11904196608.0,380882944.0,15782064128.0,39445458944.0,4688.0,33220.0,0.0,479232.0,1437935844.652,0.0,12.0
1.032,0.344,98.530,0.094,0.0,0.0,11903574016.0,380882944.0,15782064128.0,39446081536.0,14233.0,53716.0,0.0,458752.0,1437935845.652,0.0,14.0
0.657,0.219,99.061,0.063,0.0,0.0,11902996480.0,380882944.0,15782064128.0,39446659072.0,11432.0,40628.0,0.0,331776.0,1437935846.652,0.0,10.0
0.501,0.188,99.185,0.125,0.0,0.0,11902726144.0,380882944.0,15782068224.0,39446925312.0,3088.0,32429.0,0.0,397312.0,1437935847.652,0.0,14.0
