total_time;spawn_time;image_time;instance_time;concurrent_instances
9068;2236;372;1135;30
13690;1971;330;969;30
20850;5824;573;1795;30
25438;9606;777;2700;30
25948;10715;1043;2692;30
28793;11867;879;1568;30
40948;23621;2450;8906;30
41159;23243;3241;8149;30
41035;23350;2952;8325;30
41402;23729;1989;5291;30
40894;21557;4156;9802;30
41257;22996;3443;10713;30
40789;23115;3356;8041;30
40817;22757;3648;10417;30
41502;16641;1308;2529;30
41138;22599;3867;10274;30
41103;22918;3674;10645;30
41269;23545;2594;8730;30
41055;21975;4026;9924;30
41522;21451;4397;10135;30
41616;21101;4319;10146;30
41453;23466;2864;8484;30
41399;22286;3930;10208;30
41743;22007;4444;10283;30
41860;22068;3980;9937;30
42074;21988;4357;10413;30
41834;21418;4488;10232;30
41933;21771;4068;9851;30
42111;21448;4390;10415;30
42390;21887;4293;10482;30
