total_time;spawn_timee;image_time;instance_time;concurrent_instances
23686;20959;19370;951;1
total_time;spawn_timee;image_time;instance_time;concurrent_instances
14506;2497;487;1134;30
29410;15441;1525;2610;30
31584;16781;1698;2141;30
33069;17779;2444;1722;30
34393;18657;3124;2111;30
35403;18600;2858;2362;30
44957;22477;4358;2066;30
47018;30533;5502;9038;30
46902;30147;4720;4731;30
46848;30815;5051;9340;30
46937;29130;5752;8658;30
46720;29239;5717;8760;30
47057;29983;6131;11203;30
47002;29744;6587;10994;30
46902;30126;5903;11284;30
47226;29531;5313;9195;30
46876;29295;7110;10727;30
46792;29153;7530;11663;30
46803;28996;7629;11485;30
47271;29248;7192;10649;30
47164;29859;6296;11115;30
47044;29443;6826;10877;30
47237;28578;7822;11389;30
47137;28897;7250;10653;30
47641;29551;6676;10978;30
47445;28653;8120;11815;30
47476;28299;8033;11374;30
47588;28510;8036;11609;30
47855;28876;7808;11527;30
47764;28470;7879;11336;30
total_time;spawn_timee;image_time;instance_time;concurrent_instances
27273;13576;1206;2891;30
33639;18458;2694;2628;30
34206;18771;2935;2358;30
34243;18800;2724;3012;30
37267;19706;3647;1980;30
47168;28724;7734;10172;30
47051;29021;7273;10494;30
46943;29589;6660;10655;30
47055;29447;7056;10413;30
46965;29482;6188;10937;30
46899;28589;7902;10313;30
47490;30528;4467;2431;30
47591;30210;5181;8584;30
47417;28272;7869;11342;30
47728;30435;4929;2929;30
47444;28491;7965;10276;30
47624;29817;5704;11494;30
47476;29982;6416;10859;30
47947;30511;5559;11560;30
47277;28881;7528;10431;30
48017;29572;6013;11091;30
47491;28290;8111;10779;30
47314;29708;7083;10544;30
47477;29209;6619;10686;30
47875;30299;4934;2989;30
47643;29193;7156;10318;30
48105;28394;8125;10192;30
48046;30326;5825;11471;30
48025;30025;5369;11685;30
48362;28856;8150;11791;30
