total_time;spawn_timee;image_time;instance_time;concurrent_instances
25238;10327;1442;2457;30
29997;14720;2501;2832;30
30522;15846;2468;2320;30
31210;16276;2370;1487;30
32713;16494;2392;1061;30
43033;21634;4378;1869;30
44305;25201;5699;6910;30
44213;24588;8607;7886;30
43856;24319;9417;7640;30
44543;24808;7432;6415;30
44138;23890;9184;8001;30
44426;24360;7619;8156;30
44491;24838;6560;6585;30
44733;25254;5239;7138;30
44979;25408;5014;5683;30
44390;24747;7728;8105;30
44342;24229;7749;7929;30
44660;25360;6329;6684;30
44935;25572;4734;5829;30
44671;24302;9493;7783;30
44535;25251;9304;7967;30
44780;24704;6953;6504;30
44753;24104;9292;8402;30
44840;24291;9397;9159;30
45038;24696;9008;7857;30
44905;24929;7185;6409;30
45077;25787;5983;6923;30
44641;24473;9220;7756;30
45337;24870;8424;8123;30
44821;24324;9578;8839;30
total_time;spawn_timee;image_time;instance_time;concurrent_instances
26314;10637;1712;2530;30
31437;15720;2323;1895;30
31457;16019;2264;2408;30
31472;16124;2354;2269;30
39422;18265;3302;1834;30
43408;20805;4064;1737;30
44444;24848;5492;5688;30
44302;24827;8432;6377;30
44450;24728;5785;5616;30
44477;24623;6072;5453;30
44024;25366;8090;6709;30
44106;25020;8406;6891;30
44523;24446;6662;5389;30
44461;24653;8472;7152;30
44195;24810;8992;8502;30
44532;25216;8234;6619;30
44539;24343;7068;7010;30
44425;25507;7791;6824;30
45045;25145;4584;4480;30
44504;24140;7507;6748;30
44845;24521;6462;5416;30
44854;24253;7313;6869;30
44735;24014;7683;6654;30
44855;24764;9148;8751;30
45545;25046;5030;4328;30
45446;25169;8373;6555;30
45457;24951;5170;5731;30
45130;24616;9207;8686;30
45290;25044;9000;8851;30
45585;24927;9116;8782;30
total_time;spawn_timee;image_time;instance_time;concurrent_instances
18554;5028;906;1672;30
35791;19619;2377;2519;30
35951;19777;3076;2000;30
36033;20010;2457;3176;30
38582;21197;4545;2041;30
42210;21992;4931;1789;30
43427;25183;8323;5224;30
43413;24896;8645;5078;30
43152;24347;9331;6037;30
43818;26521;6018;2474;30
43849;25766;7381;5495;30
43816;25060;6363;2273;30
43877;26100;6867;5847;30
43702;25367;8721;5187;30
43810;24697;8797;6096;30
44005;26378;6309;2375;30
44183;25700;5569;2546;30
43683;24951;8770;6168;30
44269;25505;5585;2700;30
44119;25543;7856;5373;30
43945;24290;9101;6260;30
44406;26277;6744;4749;30
44232;25639;7647;5375;30
44540;25791;5175;2679;30
44091;24556;9175;6094;30
44063;24456;9612;6265;30
44127;25003;7674;5285;30
44539;25946;7154;5665;30
44172;23647;9519;6157;30
44231;24139;9549;6253;30
total_time;spawn_timee;image_time;instance_time;concurrent_instances
22818;12477;1610;1432;20
24878;13464;2302;1837;20
33190;22146;3144;3743;20
33462;21995;4094;9191;20
33683;22090;3467;9431;20
33578;22162;3889;9394;20
33735;21927;4363;8976;20
33688;21204;6207;8280;20
33474;21991;5096;8845;20
33572;21809;5425;8550;20
33762;22358;4445;9172;20
33641;21185;6342;8274;20
33705;21349;5990;8182;20
33889;21940;5287;8859;20
33769;21068;6445;8249;20
33846;21447;5871;8270;20
34177;21364;6069;8374;20
34415;21507;5482;8439;20
34574;22140;4921;9105;20
34607;22229;4649;9053;20
total_time;spawn_timee;image_time;instance_time;concurrent_instances
23312;12937;1486;1675;20
27929;14864;2531;1720;20
32569;20907;3800;7888;20
32739;20936;3375;3371;20
32755;20706;4522;7633;20
32522;20151;5651;7093;20
32804;19953;6060;6842;20
32685;19748;6403;6722;20
32837;20987;4177;7881;20
32993;20803;4366;7662;20
33053;19898;6324;6787;20
33075;19571;6573;6677;20
33246;20423;5301;7234;20
33554;20165;5963;6850;20
33721;20890;4762;7670;20
34113;20760;5069;7534;20
33674;20310;5566;7118;20
33798;19501;6610;6584;20
33811;20670;5241;7402;20
34021;19656;6501;6689;20
total_time;spawn_timee;image_time;instance_time;concurrent_instances
18556;11661;2973;5093;10
18608;12001;2891;5255;10
18754;11784;3185;5011;10
18822;11855;3213;5039;10
18697;12138;2659;5292;10
18737;11915;2976;5149;10
18924;11968;1652;5479;10
19529;12218;2085;5633;10
19418;12235;2420;5437;10
19551;12179;2527;5282;10
