total_time;spawn_time;image_time;domain_time;instances
20783;20448;18962;669;20
32883;19913;18550;628;20
32989;19158;18152;130;20
33552;20799;19955;268;20
33887;21591;20112;405;20
33877;21503;20483;193;20
34805;23809;22034;425;20
36629;23542;22143;485;20
36627;24129;22016;127;20
36969;24763;22280;414;20
36822;23973;21539;251;20
36999;23356;21877;644;20
37214;23054;21691;428;20
37272;24252;22338;768;20
37081;23488;21254;1447;20
36997;23793;21840;392;20
36967;24017;22294;364;20
37350;25801;23078;698;20
37509;24182;22089;245;20
37374;25039;22537;382;20
