Load Duration: 23.9328868389
total_time;spawn_time;image_import;instance_time;concurrent_instances
22768;16266;14487;1315;10
23023;15718;14845;736;10
23127;15179;14331;497;10
23222;16067;14536;1193;10
23380;15104;14290;493;10
23356;15642;13614;1119;10
23422;15484;13741;929;10
23453;15335;13810;727;10
23621;15225;14248;589;10
23530;15743;13619;1247;10
Load Duration: 25.3622410297
total_time;spawn_time;image_import;instance_time;concurrent_instances
24104;17129;16028;546;10
24118;17982;16141;1250;10
24104;17327;15884;1180;10
24347;17111;16047;915;10
24520;17116;15732;926;10
24501;16781;15859;737;10
24533;17407;16081;1023;10
24670;17033;15970;563;10
24934;17979;16012;1293;10
25186;19211;18745;276;10
Load Duration: 29.4710600376
total_time;spawn_time;image_import;instance_time;concurrent_instances
26041;19738;17036;2131;10
26398;19959;17111;2253;10
26536;19830;17003;2003;10
26800;19637;16916;2079;10
26719;19836;17103;2134;10
27098;19707;17077;2100;10
27209;20977;20158;473;10
27262;19600;17846;1304;10
27164;19537;16878;2025;10
29279;23103;22510;195;10
Load Duration: 27.1328721046
total_time;spawn_time;image_import;instance_time;concurrent_instances
25571;19272;17510;1021;10
25500;19227;18275;700;10
25997;19047;17416;916;10
26012;19029;18120;568;10
26078;19320;18204;813;10
26230;19093;18033;720;10
26668;19669;17813;1152;10
26810;19595;17723;992;10
26765;20734;20105;273;10
26807;19509;17522;1243;10
Load Duration: 38.9597780704
total_time;spawn_time;image_import;instance_time;concurrent_instances
22189;0;0;;20
32985;22769;21035;1230;20
33648;21628;19856;1238;20
33755;21449;19695;1373;20
34700;22047;19323;1175;20
35492;23338;21014;963;20
36476;23902;22575;845;20
37315;24738;21703;1102;20
37670;25396;23162;783;20
37892;26528;24135;1281;20
38063;25584;24088;776;20
38117;26387;24329;599;20
37829;26286;23024;1710;20
37957;26287;23084;1664;20
38453;27329;26207;888;20
38189;26791;24513;1204;20
38290;25956;23022;1228;20
38447;25988;23573;885;20
38389;25646;22158;1946;20
38779;28617;27743;317;20
Load Duration: 9.96371412277
total_time;spawn_time;image_import;instance_time;concurrent_instances
9813;6481;6246;167;1
Load Duration: 11.0604121685
total_time;spawn_time;image_import;instance_time;concurrent_instances
10905;7723;7496;158;1
