total_time;spawn_time;disk_info_time;get_xml_time;image_download_time;image_convert_time;image_copy_time;image_create_time;instance_time;concurrent_instances
17457;11110;27;3074;1063;232;203;91;5309;10
17342;10863;20;2848;1063;232;179;78;5719;10
17805;10472;17;2491;1063;232;252;103;4747;10
18061;11264;17;2806;1063;232;179;77;2356;10
18559;11441;23;2895;1063;232;224;88;5211;10
18499;11556;22;2908;1063;232;222;94;5431;10
18671;11035;33;2709;1063;232;271;113;4917;10
18827;11367;62;2047;1063;232;317;142;4621;10
18659;10389;26;1827;1063;232;320;132;4573;10
18919;10479;21;2148;1063;232;294;109;4828;10
17876;11537;9;3450;982;286;236;101;4876;10
18183;11639;19;2066;982;286;346;133;4266;10
18249;10684;26;2431;982;286;314;117;4194;10
18258;11619;8;3375;982;286;254;90;5261;10
18359;11778;36;3316;982;286;228;101;4932;10
18526;11544;40;3239;982;286;271;113;4725;10
18579;11653;9;3359;982;286;314;144;2282;10
18536;11257;42;2863;982;286;295;120;4310;10
18669;11564;143;2963;982;286;314;126;4584;10
18685;10705;55;1881;982;286;439;195;4206;10
17705;11464;16;2971;1000;227;197;89;5689;10
18126;11860;8;2983;1000;227;180;81;5660;10
18328;11552;8;2947;1000;227;166;75;2370;10
18224;11215;26;2805;1000;227;184;78;6165;10
18507;11767;20;2051;1000;227;297;122;4950;10
18525;11276;28;2305;1000;227;277;117;5094;10
18667;11207;25;2578;1000;227;295;116;5137;10
18698;11503;231;2783;1000;227;232;97;5300;10
18855;11666;14;2804;1000;227;239;116;5572;10
18920;11158;25;1795;1000;227;336;124;4937;10
13925;5480;6;1588;1070;138;142;66;1672;20
19702;8819;30;4723;1070;138;388;156;1850;20
19797;8870;64;4820;1070;138;436;160;1374;20
22182;9439;81;4499;1070;138;357;172;1904;20
22530;9636;54;4202;1070;138;530;218;1661;20
22703;10388;54;5031;1070;138;483;190;1371;20
23451;10197;60;4532;1070;138;558;182;1770;20
23451;11275;62;5220;1070;138;300;119;1208;20
23822;10591;31;5062;1070;138;547;313;1338;20
25841;13396;48;4771;1070;138;363;134;3157;20
