total_time;spawn_time;image_time;instance_time;concurrent_instances
17183;10757;929;5916;10
17646;10536;1977;5380;10
17865;10737;1870;5425;10
17770;11010;1583;5737;10
17971;11097;1757;5651;10
17869;10877;1790;5590;10
18203;11166;1473;5961;10
18056;10627;1949;5410;10
18536;11241;1055;6165;10
18596;10902;1682;5540;10
18614;8594;767;2270;20
20594;10250;891;1713;20
29580;18742;1189;4904;20
29819;18563;2849;9084;20
30010;18913;1631;9455;20
30061;18641;2458;9113;20
30189;18690;2085;9397;20
29853;18126;3245;8644;20
30086;18808;1812;9509;20
29971;17786;3785;8560;20
30158;18287;3131;8645;20
29890;17351;4163;8468;20
30089;17249;4120;8500;20
30283;18206;2928;8655;20
30287;17176;4166;8511;20
30359;18194;3577;8621;20
30366;17894;3739;8554;20
30619;17615;3976;8573;20
30619;17456;4013;8477;20
31190;18464;3421;8751;20
26486;13166;570;2914;30
29240;0;1300;3806;30
30865;18829;1148;5204;30
36613;18525;1790;4020;30
37390;20728;2502;3456;30
37319;19599;4384;3998;30
37977;20760;2777;2144;30
37999;21327;2562;2498;30
38001;23676;2743;4061;30
38230;20516;2989;1909;30
37687;19440;4690;3949;30
37761;18989;5279;5302;30
38357;22873;2440;3657;30
38508;23765;2531;4260;30
38294;20081;3710;4270;30
38327;17838;6570;6154;30
38452;19048;5123;3792;30
38241;19403;4818;3924;30
38534;20032;3882;4271;30
38382;19736;4129;4103;30
38610;20169;3408;3782;30
38211;18497;5930;6075;30
38282;19079;5394;6230;30
38682;20429;3245;4409;30
38428;19349;5020;5345;30
38856;18032;6451;6189;30
38531;18915;5530;6192;30
38881;18657;5681;6120;30
39356;18166;6343;5968;30
39360;18546;6200;6203;30
