total_time;spawn_time;disk_info_time;get_xml_time;image_download_time;image_convert_time;image_copy_time;image_create_time;instance_time;concurrent_instances
17457;11110;27;3074;1063;232;203;91;5309;10
17342;10863;20;2848;1063;232;179;78;5719;10
17805;10472;17;2491;1063;232;252;103;4747;10
18061;11264;17;2806;1063;232;179;77;2356;10
18559;11441;23;2895;1063;232;224;88;5211;10
18499;11556;22;2908;1063;232;222;94;5431;10
18671;11035;33;2709;1063;232;271;113;4917;10
18827;11367;62;2047;1063;232;317;142;4621;10
18659;10389;26;1827;1063;232;320;132;4573;10
18919;10479;21;2148;1063;232;294;109;4828;10
19702;8819;30;4723;1070;138;388;156;1850;20
19797;8870;64;4820;1070;138;436;160;1374;20
22182;9439;81;4499;1070;138;357;172;1904;20
22530;9636;54;4202;1070;138;530;218;1661;20
22703;10388;54;5031;1070;138;483;190;1371;20
23451;10197;60;4532;1070;138;558;182;1770;20
23451;11275;62;5220;1070;138;300;119;1208;20
23822;10591;31;5062;1070;138;547;313;1338;20
25841;13396;48;4771;1070;138;363;134;3157;20
26174;13288;69;4559;1070;138;375;165;2940;20
26072;13522;67;5094;1070;138;324;147;2372;20
26365;13173;80;4321;1070;138;397;168;2794;20
26425;12793;62;2003;1070;138;368;146;2620;20
26490;13502;54;4890;1070;138;228;86;3587;20
26837;13348;138;3111;1070;138;468;174;2794;20
26830;12224;44;5206;1070;138;330;143;1670;20
27095;13042;134;2701;1070;138;698;260;2698;20
26857;12891;114;2334;1070;138;554;230;2638;20
27105;13253;64;3650;1070;138;411;143;2904;20
15174;3666;10;582;1042;202;165;70;1047;30
20064;5514;31;2532;1042;202;358;126;1403;30
22611;6728;26;2560;1042;202;348;134;1918;30
23872;7364;47;3137;1042;202;313;136;1765;30
24614;8262;89;4208;1042;202;277;130;1922;30
27095;8732;13;5521;1042;202;311;139;1219;30
28543;9815;52;4882;1042;202;545;203;1646;30
28727;10065;57;4749;1042;202;525;222;1298;30
29375;11323;21;4207;1042;202;464;181;2234;30
29578;10923;85;4398;1042;202;603;207;1742;30
30472;11735;57;4106;1042;202;493;193;2346;30
30973;11846;45;4098;1042;202;682;244;2508;30
33568;14998;81;4233;1042;202;385;147;4696;30
33844;14744;137;3580;1042;202;498;162;4380;30
33706;12323;79;4206;1042;202;243;76;1950;30
33646;14715;70;3869;1042;202;274;105;4576;30
33903;14638;94;3137;1042;202;428;146;4340;30
34277;15035;146;4319;1042;202;322;123;2101;30
34185;12513;81;4084;1042;202;292;145;2483;30
34221;15181;113;4357;1042;202;340;139;2339;30
33941;14507;155;2798;1042;202;290;105;4057;30
34040;14307;103;2150;1042;202;411;191;3890;30
34229;13984;63;1607;1042;202;416;151;3823;30
34120;14472;131;2534;1042;202;221;103;3999;30
34370;13768;123;1268;1042;202;222;97;3763;30
34489;14231;116;1868;1042;202;373;123;3854;30
34745;13566;75;1062;1042;202;214;86;3735;30
34693;13701;59;1425;1042;202;290;112;3715;30
34776;14692;83;2990;1042;202;325;136;4200;30
35073;14915;74;3374;1042;202;344;123;4523;30
