"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute",,,,"User:","stack"
"Cmdline:","dstat -cmndTr --output 10_dstat_compute.csv 1 60",,,,"Date:","27 Jul 2015 12:41:11 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"epoch","io/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
2.386,0.512,97.058,0.040,0.000,0.003,2333102080.0,254021632.0,6602436608.0,1.2596697088e+11,0.0,0.0,85571.913,935804.959,1438011671.690,4.809,176.769
0.187,0.125,99.656,0.031,0.0,0.0,2332561408.0,254021632.0,6602440704.0,1.25967507456e+11,526.0,1384.0,0.0,0.0,1438011672.691,0.0,0.0
0.156,0.156,99.688,0.0,0.0,0.0,2332655616.0,254021632.0,6602440704.0,1.25967413248e+11,70.0,422.0,0.0,0.0,1438011673.691,0.0,0.0
0.125,0.031,99.844,0.0,0.0,0.0,2332422144.0,254021632.0,6602444800.0,1.25967642624e+11,198.0,422.0,0.0,0.0,1438011674.691,0.0,0.0
0.219,0.219,99.562,0.0,0.0,0.0,2331406336.0,254021632.0,6602444800.0,1.25968658432e+11,1668.0,2743.0,0.0,32768.0,1438011675.691,0.0,2.0
0.094,0.094,99.812,0.0,0.0,0.0,2330718208.0,254021632.0,6602444800.0,1.2596934656e+11,198.0,438.0,0.0,0.0,1438011676.691,0.0,0.0
0.812,0.187,98.969,0.0,0.0,0.031,2330243072.0,254021632.0,6602444800.0,1.25969821696e+11,175.0,422.0,0.0,0.0,1438011677.691,0.0,0.0
1.125,0.125,98.750,0.0,0.0,0.0,2330923008.0,254021632.0,6602457088.0,1.25969129472e+11,111049.0,75097.0,0.0,0.0,1438011678.691,0.0,0.0
0.718,0.219,99.063,0.0,0.0,0.0,2330517504.0,254021632.0,6602461184.0,1.2596953088e+11,96181.0,143051.0,0.0,0.0,1438011679.691,0.0,0.0
