"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","controller",,,,"User:","stack"
"Cmdline:","dstat -cmndTr --output 10_dstat_controller.csv 1 60",,,,"Date:","27 Jul 2015 12:41:10 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"epoch","io/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
0.729,0.266,98.670,0.333,0.000,0.003,11102650368.0,381612032.0,13581660160.0,42446680064.0,0.0,0.0,1203.080,913895.345,1438011670.747,0.085,88.546
0.532,0.094,99.375,0.0,0.0,0.0,11100946432.0,381612032.0,13581668352.0,42448375808.0,322.0,1148.0,0.0,0.0,1438011671.748,0.0,0.0
0.469,0.094,99.218,0.219,0.0,0.0,11099357184.0,381612032.0,13581668352.0,42449965056.0,134.0,422.0,0.0,36864.0,1438011672.748,0.0,3.0
0.564,0.157,99.123,0.157,0.0,0.0,11097841664.0,381612032.0,13581668352.0,42451480576.0,134.0,438.0,0.0,24576.0,1438011673.748,0.0,3.0
3.320,0.595,96.023,0.063,0.0,0.0,11123822592.0,381612032.0,13581672448.0,42425495552.0,322.0,556.0,0.0,102400.0,1438011674.748,0.0,9.0
4.412,0.751,93.899,0.876,0.0,0.063,11127664640.0,381612032.0,13581713408.0,42421612544.0,2455.0,2036.0,0.0,1011712.0,1438011675.748,0.0,98.0
4.228,0.814,93.235,1.597,0.0,0.125,11130650624.0,381612032.0,13581778944.0,42418561024.0,134.0,438.0,0.0,1544192.0,1438011676.748,0.0,138.0
4.457,0.879,92.624,1.946,0.0,0.094,11131424768.0,381612032.0,13581848576.0,42417717248.0,134.0,438.0,0.0,5140480.0,1438011677.748,0.0,217.0
9.099,1.345,87.023,2.408,0.0,0.125,11109773312.0,381612032.0,13581918208.0,42439299072.0,45439.0,83925.0,0.0,5033984.0,1438011678.748,0.0,241.0
12.288,1.666,83.941,1.791,0.0,0.314,11114835968.0,381612032.0,13582016512.0,42434138112.0,164020.0,121984.0,0.0,2244608.0,1438011679.748,0.0,154.0
7.082,1.128,89.972,1.661,0.0,0.157,11117215744.0,381612032.0,13582151680.0,42431623168.0,74520.0,46747.0,0.0,1724416.0,1438011680.748,0.0,139.0
13.648,1.999,81.605,2.374,0.0,0.375,11121745920.0,381612032.0,13582274560.0,42426970112.0,137868.0,73913.0,0.0,2752512.0,1438011681.748,0.0,194.0
11.104,1.730,84.461,2.422,0.0,0.283,11121475584.0,381612032.0,13582360576.0,42427154432.0,443321.0,73334740.0,0.0,2035712.0,1438011682.748,0.0,171.0
9.859,1.444,86.750,1.664,0.0,0.283,11122356224.0,381612032.0,13582565376.0,42426068992.0,206045.0,23397003.0,0.0,2236416.0,1438011683.748,0.0,145.0
5.100,0.845,93.085,0.814,0.0,0.156,11121979392.0,381612032.0,13582647296.0,42426363904.0,157190.0,131194.0,0.0,1769472.0,1438011684.748,0.0,83.0
1.286,0.282,98.306,0.063,0.0,0.063,11120799744.0,381612032.0,13582680064.0,42427510784.0,93093.0,47417.0,0.0,356352.0,1438011685.748,0.0,10.0
1.790,0.377,97.394,0.408,0.0,0.031,11123224576.0,381612032.0,13582688256.0,42425077760.0,50767.0,33206.0,0.0,442368.0,1438011686.748,0.0,24.0
0.721,0.313,98.872,0.094,0.0,0.0,11124125696.0,381612032.0,13582708736.0,42424156160.0,6563.0,5660.0,0.0,417792.0,1438011687.748,0.0,23.0
2.160,0.438,96.775,0.595,0.0,0.031,11123703808.0,381612032.0,13582712832.0,42424573952.0,14372.0,18711.0,0.0,1355776.0,1438011688.748,0.0,62.0
2.883,0.501,96.020,0.564,0.0,0.031,11121807360.0,381612032.0,13582757888.0,42426425344.0,9492.0,20552.0,0.0,561152.0,1438011689.748,0.0,34.0
3.034,0.532,96.246,0.156,0.0,0.031,11121995776.0,381612032.0,13582778368.0,42426216448.0,37085.0,26935.0,0.0,442368.0,1438011690.748,0.0,18.0
1.502,0.282,98.122,0.094,0.0,0.0,11122180096.0,381612032.0,13582786560.0,42426023936.0,54676.0,72435.0,0.0,323584.0,1438011691.748,0.0,7.0
3.223,0.657,95.588,0.501,0.0,0.031,11123163136.0,381612032.0,13582790656.0,42425036800.0,506.0,438.0,0.0,667648.0,1438011692.748,0.0,43.0
6.840,0.910,90.869,1.381,0.0,0.0,11122802688.0,381612032.0,13582794752.0,42425393152.0,79309.0,46369.0,0.0,1552384.0,1438011693.748,0.0,119.0
