"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
2.386,0.513,97.058,0.040,0.000,0.003,2340306944.0,254021632.0,6608261120.0,1.25953941504e+11,0.0,0.0,85651.718,935946.622,1438011754.211,4.821,176.763
0.468,0.125,99.408,0.0,0.0,0.0,2339987456.0,254021632.0,6608306176.0,1.25954215936e+11,1990.0,3587.0,0.0,221184.0,1438011755.212,0.0,3.0
0.250,0.156,99.594,0.0,0.0,0.0,2339028992.0,254021632.0,6608310272.0,1.25955170304e+11,822.0,438.0,0.0,0.0,1438011756.212,0.0,0.0
0.156,0.031,99.812,0.0,0.0,0.0,2338119680.0,254021632.0,6608310272.0,1.25956079616e+11,480.0,422.0,0.0,0.0,1438011757.212,0.0,0.0
0.250,0.156,99.563,0.031,0.0,0.0,2336858112.0,254021632.0,6608449536.0,1.2595720192e+11,252.0,492.0,0.0,0.0,1438011758.212,0.0,0.0
0.062,0.125,99.812,0.0,0.0,0.0,2336124928.0,254021632.0,6608449536.0,1.25957935104e+11,134.0,422.0,0.0,0.0,1438011759.212,0.0,0.0
0.312,0.156,99.532,0.0,0.0,0.0,2335744000.0,254021632.0,6608449536.0,1.25958316032e+11,134.0,422.0,0.0,0.0,1438011760.212,0.0,0.0
0.156,0.031,99.813,0.0,0.0,0.0,2334330880.0,254021632.0,6608453632.0,1.25959725056e+11,134.0,422.0,0.0,16384.0,1438011761.213,0.0,2.0
0.219,0.125,99.657,0.0,0.0,0.0,2333306880.0,254021632.0,6608453632.0,1.25960749056e+11,134.0,438.0,0.0,0.0,1438011762.212,0.0,0.0
0.063,0.031,99.906,0.0,0.0,0.0,2333560832.0,254021632.0,6608453632.0,1.25960495104e+11,134.0,422.0,0.0,0.0,1438011763.212,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,2332815360.0,254021632.0,6608453632.0,1.25961240576e+11,433.0,422.0,0.0,0.0,1438011764.212,0.0,0.0
0.501,0.094,99.405,0.0,0.0,0.0,2332585984.0,254021632.0,6608453632.0,1.25961469952e+11,2408.0,2861.0,0.0,0.0,1438011765.213,0.0,0.0
1.531,0.219,98.219,0.0,0.0,0.031,2331815936.0,254021632.0,6608470016.0,1.25962223616e+11,209412.0,166320.0,0.0,0.0,1438011766.213,0.0,0.0
2.125,0.625,97.250,0.0,0.0,0.0,2329886720.0,254021632.0,6608498688.0,1.2596412416e+11,118138.0,67020.0,0.0,20480.0,1438011767.212,0.0,2.0
