"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute",,,,"User:","root"
"Cmdline:","dstat -cmndTr --output 20_instances_dstat_compute.csv",,,,"Date:","26 Jul 2015 16:04:32 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"epoch","io/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
2.498,0.533,96.936,0.030,0.000,0.003,3230806016.0,248700928.0,7334084608.0,1.24342939648e+11,0.0,0.0,35973.451,914265.579,1437937472.315,2.082,187.230
2.417,0.471,97.112,0.0,0.0,0.0,3230134272.0,248700928.0,7334088704.0,1.24343607296e+11,1220.0,42264.0,0.0,241664.0,1437937473.316,0.0,2.0
1.985,0.473,97.543,0.0,0.0,0.0,3229499392.0,248700928.0,7334088704.0,1.24344242176e+11,770.0,42593.0,0.0,0.0,1437937474.316,0.0,0.0
1.986,0.504,97.509,0.0,0.0,0.0,3229265920.0,248700928.0,7334100992.0,1.2434446336e+11,968.0,41256.0,0.0,0.0,1437937475.316,0.0,0.0
1.824,0.723,97.453,0.0,0.0,0.0,3228540928.0,248700928.0,7334105088.0,1.24345184256e+11,12881.0,52967.0,4096.0,0.0,1437937476.316,1.0,0.0
2.073,0.565,97.330,0.031,0.0,0.0,3227553792.0,248700928.0,7334105088.0,1.24346171392e+11,1288.0,42719.0,4096.0,0.0,1437937477.315,1.0,0.0
1.916,0.660,97.425,0.0,0.0,0.0,3226054656.0,248700928.0,7334113280.0,1.24347662336e+11,1874.0,42873.0,0.0,196608.0,1437937478.315,0.0,2.0
1.980,0.691,97.329,0.0,0.0,0.0,3225722880.0,248700928.0,7334113280.0,1.24347994112e+11,968.0,41105.0,4096.0,0.0,1437937479.315,1.0,0.0
2.074,0.597,97.330,0.0,0.0,0.0,3224842240.0,248700928.0,7334117376.0,1.24348870656e+11,910.0,42503.0,0.0,8708096.0,1437937480.315,0.0,1934.0
3.863,0.628,95.477,0.031,0.0,0.0,3224453120.0,248700928.0,7334232064.0,1.24349145088e+11,15363.0,44166.0,0.0,0.0,1437937481.316,0.0,0.0
5.165,0.693,94.142,0.0,0.0,0.0,3224481792.0,248700928.0,7334236160.0,1.2434911232e+11,14215.0,243079.0,4096.0,0.0,1437937482.316,1.0,0.0
4.937,0.629,94.434,0.0,0.0,0.0,3223932928.0,248700928.0,7334309888.0,1.24349587456e+11,4548.0,103827.0,0.0,237568.0,1437937483.316,0.0,2.0
5.587,0.408,94.005,0.0,0.0,0.0,3223539712.0,248700928.0,7334395904.0,1.24349894656e+11,28040.0,74834.0,4096.0,0.0,1437937484.316,1.0,0.0
5.096,0.440,94.464,0.0,0.0,0.0,3222122496.0,248700928.0,7334400000.0,1.24351307776e+11,239180.0,359130.0,0.0,0.0,1437937485.316,0.0,0.0
5.510,0.564,93.895,0.0,0.0,0.031,3219689472.0,248705024.0,7335694336.0,1.24352442368e+11,115080.0,189246.0,0.0,4096.0,1437937486.316,0.0,1.0
4.883,1.386,93.447,0.0,0.0,0.284,3224989696.0,248709120.0,7460593664.0,1.2422223872e+11,27116377.0,302546.0,0.0,92078080.0,1437937487.316,0.0,329.0
4.514,2.620,92.835,0.032,0.0,0.0,3224227840.0,248745984.0,7426637824.0,1.24256919552e+11,69574699.0,492036.0,0.0,2400256.0,1437937488.315,0.0,111.0
7.847,4.255,87.898,0.0,0.0,0.0,3238621184.0,248762368.0,7429464064.0,1.24239683584e+11,107049.0,223188.0,4096.0,3866624.0,1437937489.316,1.0,171.0
9.122,4.609,86.237,0.0,0.0,0.032,3249676288.0,248778752.0,7433240576.0,1.24224835584e+11,114888.0,183031.0,8192.0,5754880.0,1437937490.316,2.0,249.0
14.702,7.161,78.137,0.0,0.0,0.0,3270569984.0,248803328.0,7440343040.0,1.24196814848e+11,103120.0,174865.0,0.0,5058560.0,1437937491.315,0.0,206.0
19.268,10.446,70.223,0.032,0.0,0.032,3283697664.0,248877056.0,7452069888.0,1.24171886592e+11,32141.0,89077.0,115712.0,16658432.0,1437937492.315,26.0,707.0
12.555,5.187,82.226,0.032,0.0,0.0,3270557696.0,248926208.0,7458533376.0,1.2417851392e+11,43338.0,81263.0,111616.0,10571776.0,1437937493.315,25.0,424.0
4.863,1.421,93.495,0.221,0.0,0.0,3283525632.0,248930304.0,7459512320.0,1.24164562944e+11,48637.0,91895.0,227328.0,1921024.0,1437937494.315,51.0,62.0
6.730,1.258,92.013,0.0,0.0,0.0,3290103808.0,248942592.0,7460986880.0,1.2415649792e+11,44956.0,92008.0,4096.0,1093632.0,1437937495.316,1.0,47.0
5.929,1.388,92.589,0.095,0.0,0.0,3297697792.0,248967168.0,7462400000.0,1.2414746624e+11,34677.0,72552.0,222208.0,2195456.0,1437937496.316,48.0,96.0
14.263,5.990,77.908,1.807,0.0,0.032,3544936448.0,248971264.0,7463927808.0,1.2389869568e+11,22102.0,86895.0,40228352.0,27701248.0,1437937497.316,3845.0,2708.0
9.460,2.413,87.302,0.794,0.0,0.032,3583770624.0,248975360.0,7465574400.0,1.23858210816e+11,166022.0,173621.0,10130944.0,10223616.0,1437937498.316,2342.0,199.0
28.079,7.179,63.401,1.085,0.0,0.255,4092780544.0,248987648.0,7468384256.0,1.23346378752e+11,55341.0,115894.0,98945024.0,26242048.0,1437937499.316,6335.0,2793.0
33.217,3.610,62.128,0.950,0.0,0.095,4661063680.0,248987648.0,7468736512.0,1.2277774336e+11,271951.0,553731.0,134923776.0,14149632.0,1437937500.315,5590.0,1040.0
32.048,1.223,66.510,0.188,0.0,0.031,4908843008.0,248987648.0,7468765184.0,1.2252993536e+11,90555.0,190005.0,53936640.0,5711360.0,1437937501.315,834.0,175.0
32.568,1.007,66.237,0.157,0.0,0.031,5091807232.0,248987648.0,7468879872.0,1.22346856448e+11,91018.0,201772.0,19119104.0,7337472.0,1437937502.316,857.0,970.0
34.580,3.112,62.182,0.126,0.0,0.0,5157720064.0,249036800.0,7470776320.0,1.22278998016e+11,125519.0,331138.0,7313408.0,7442432.0,1437937503.316,944.0,357.0
19.987,1.508,78.441,0.031,0.0,0.031,5211320320.0,249036800.0,7471493120.0,1.2222468096e+11,171925.0,252644.0,1901056.0,176128.0,1437937504.316,196.0,18.0
12.723,4.496,82.749,0.032,0.0,0.0,5223587840.0,249044992.0,7475122176.0,1.22208776192e+11,65229.0,131645.0,3072.0,1101824.0,1437937505.316,4.0,49.0
18.529,7.868,73.571,0.0,0.0,0.032,5244084224.0,249147392.0,7482548224.0,1.2218075136e+11,159533.0,219687.0,228864.0,9374720.0,1437937506.316,9.0,433.0
27.767,11.680,60.425,0.097,0.0,0.032,5263007744.0,249204736.0,7491465216.0,1.22152853504e+11,34631.0,112126.0,2134528.0,18816000.0,1437937507.316,97.0,1305.0
19.101,7.270,73.597,0.032,0.0,0.0,5251514368.0,249286656.0,7505174528.0,1.22150555648e+11,31386.0,93752.0,115712.0,15011840.0,1437937508.316,26.0,618.0
11.999,2.419,85.582,0.0,0.0,0.0,5249830912.0,249298944.0,7507021824.0,1.2215037952e+11,61269.0,113340.0,8192.0,2191360.0,1437937509.316,2.0,94.0
10.580,1.785,87.635,0.0,0.0,0.0,5243473920.0,249303040.0,7507296256.0,1.22156457984e+11,33686.0,93236.0,12288.0,1290240.0,1437937510.315,3.0,88.0
15.146,3.554,80.884,0.384,0.0,0.032,5387055104.0,249311232.0,7510802432.0,1.22009362432e+11,23210.0,96627.0,17523200.0,4584448.0,1437937511.315,781.0,230.0
17.204,3.990,78.296,0.479,0.0,0.032,5560840192.0,249319424.0,7512793088.0,1.21833578496e+11,132832.0,189446.0,32615936.0,8448000.0,1437937512.316,2900.0,1104.0
31.621,6.774,60.064,1.348,0.0,0.193,6033096704.0,249323520.0,7514501120.0,1.21359609856e+11,276614.0,257531.0,107847168.0,22769152.0,1437937513.316,8371.0,2980.0
28.503,3.012,68.041,0.444,0.0,0.0,6555447296.0,249331712.0,7517298688.0,1.20834453504e+11,74574.0,151152.0,104717312.0,10280960.0,1437937514.316,3425.0,1174.0
33.017,1.959,63.728,1.201,0.0,0.095,6891044864.0,249331712.0,7517528064.0,1.2049862656e+11,195168.0,409854.0,77018112.0,34376704.0,1437937515.315,3643.0,4319.0
34.352,1.261,64.103,0.284,0.0,0.0,7039639552.0,249331712.0,7517573120.0,1.20349986816e+11,32566.0,109324.0,15687168.0,3069952.0,1437937516.316,912.0,408.0
30.485,1.387,68.064,0.063,0.0,0.0,7087648768.0,249331712.0,7517609984.0,1.20301940736e+11,37457.0,102721.0,8535552.0,2986496.0,1437937517.316,513.0,307.0
20.862,1.363,77.743,0.032,0.0,0.0,7117500416.0,249331712.0,7517642752.0,1.2027205632e+11,7903.0,86038.0,2960896.0,0.0,1437937518.315,391.0,0.0
14.616,1.317,84.035,0.0,0.0,0.032,7128051712.0,249331712.0,7517650944.0,1.20261496832e+11,1563.0,82408.0,453632.0,0.0,1437937519.316,59.0,0.0
9.974,2.188,87.773,0.064,0.0,0.0,7125303296.0,249331712.0,7517687808.0,1.20264208384e+11,1610.0,80938.0,690176.0,60163072.0,1437937520.315,32.0,683.0
13.518,2.156,84.294,0.032,0.0,0.0,7122001920.0,249331712.0,7517749248.0,1.2026744832e+11,1178.0,80696.0,911360.0,3416064.0,1437937521.315,35.0,373.0
12.349,2.183,85.435,0.033,0.0,0.0,7119769600.0,249331712.0,7517782016.0,1.20269647872e+11,1610.0,81768.0,678400.0,2659328.0,1437937522.315,25.0,276.0
12.878,2.286,84.836,0.0,0.0,0.0,7116959744.0,249331712.0,7517786112.0,1.20272453632e+11,1738.0,80730.0,4096.0,0.0,1437937523.316,1.0,0.0
12.903,1.871,85.226,0.0,0.0,0.0,7115890688.0,249331712.0,7517798400.0,1.202735104e+11,1470.0,80474.0,12288.0,0.0,1437937524.316,3.0,0.0
12.528,2.266,85.173,0.0,0.0,0.032,7114747904.0,249331712.0,7517806592.0,1.20274644992e+11,2158.0,81863.0,4096.0,6414336.0,1437937525.316,1.0,894.0
13.077,3.003,83.920,0.0,0.0,0.0,7114293248.0,249331712.0,7517859840.0,1.202750464e+11,5057.0,84920.0,28672.0,0.0,1437937526.316,7.0,0.0
13.284,4.053,82.663,0.0,0.0,0.0,7115304960.0,249331712.0,7517933568.0,1.2027396096e+11,1878.0,82669.0,49152.0,380928.0,1437937527.316,12.0,4.0
14.724,3.100,82.144,0.0,0.0,0.032,7115534336.0,249331712.0,7518048256.0,1.20273616896e+11,1820.0,80362.0,20480.0,0.0,1437937528.315,5.0,0.0
13.290,2.032,84.677,0.0,0.0,0.0,7114530816.0,249331712.0,7518134272.0,1.202745344e+11,67875.0,87404.0,8192.0,0.0,1437937529.316,2.0,0.0
13.041,2.195,84.732,0.032,0.0,0.0,7107710976.0,249331712.0,7518138368.0,1.20281350144e+11,39591.0,134950.0,4096.0,950272.0,1437937530.316,1.0,194.0
12.945,2.136,84.919,0.0,0.0,0.0,7086657536.0,249331712.0,7518146560.0,1.20302395392e+11,9025.0,82806.0,4096.0,0.0,1437937531.316,1.0,0.0
11.556,1.857,86.556,0.0,0.0,0.032,7076028416.0,249331712.0,7518150656.0,1.20313020416e+11,1798.0,80539.0,4096.0,0.0,1437937532.316,1.0,0.0
13.879,2.143,83.978,0.0,0.0,0.0,7075938304.0,249331712.0,7518154752.0,1.20313106432e+11,2700.0,82572.0,4096.0,352256.0,1437937533.316,1.0,4.0
12.869,1.912,85.186,0.0,0.0,0.032,7074643968.0,249331712.0,7518154752.0,1.20314400768e+11,2964.0,80965.0,0.0,0.0,1437937534.315,0.0,0.0
11.588,3.066,85.345,0.0,0.0,0.0,7075414016.0,249331712.0,7518167040.0,1.20313618432e+11,3366.0,82232.0,12288.0,1486848.0,1437937535.315,3.0,47.0
