"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
0.729,0.266,98.669,0.333,0.000,0.003,11137679360.0,381612032.0,13589463040.0,42403848192.0,0.0,0.0,1203.013,913899.751,1438011920.257,0.085,88.544
0.407,0.125,99.280,0.188,0.0,0.0,11137355776.0,381612032.0,13589467136.0,42404167680.0,2451.0,1538.0,0.0,327680.0,1438011921.258,0.0,13.0
0.407,0.188,99.312,0.094,0.0,0.0,11137376256.0,381612032.0,13589467136.0,42404147200.0,198.0,438.0,0.0,258048.0,1438011922.258,0.0,10.0
0.562,0.156,98.844,0.438,0.0,0.0,11136978944.0,381612032.0,13589467136.0,42404544512.0,134.0,438.0,0.0,294912.0,1438011923.258,0.0,8.0
0.909,0.345,98.339,0.376,0.0,0.031,11137077248.0,381612032.0,13589471232.0,42404442112.0,322.0,572.0,0.0,1798144.0,1438011924.258,0.0,55.0
2.627,0.250,96.372,0.688,0.0,0.063,11137097728.0,381612032.0,13589479424.0,42404413440.0,44341.0,59011.0,0.0,7819264.0,1438011925.258,0.0,145.0
0.439,0.094,99.216,0.251,0.0,0.0,11136647168.0,381612032.0,13589479424.0,42404864000.0,934.0,1124.0,0.0,151552.0,1438011926.258,0.0,8.0
0.782,0.282,98.811,0.125,0.0,0.0,11138322432.0,381612032.0,13589479424.0,42403188736.0,2272.0,1736.0,0.0,180224.0,1438011927.258,0.0,10.0
2.250,0.594,96.969,0.188,0.0,0.0,11161956352.0,381612032.0,13589483520.0,42379550720.0,510.0,674.0,0.0,159744.0,1438011928.258,0.0,15.0
2.946,0.282,96.020,0.752,0.0,0.0,11162271744.0,381612032.0,13589516288.0,42379202560.0,134.0,438.0,0.0,897024.0,1438011929.258,0.0,55.0
4.978,0.845,92.392,1.691,0.0,0.094,11164966912.0,381612032.0,13589577728.0,42376445952.0,134.0,438.0,0.0,1798144.0,1438011930.258,0.0,150.0
4.516,0.815,92.411,2.070,0.0,0.188,11165188096.0,381612032.0,13589663744.0,42376138752.0,134.0,438.0,0.0,1720320.0,1438011931.258,0.0,154.0
4.292,0.595,93.264,1.754,0.0,0.094,11167490048.0,381612032.0,13589721088.0,42373779456.0,134.0,438.0,0.0,1540096.0,1438011932.258,0.0,135.0
