total_time;spawn_time;image_time;domain_time;instances
17385;3885;1655;1555;30
17401;3984;1656;1445;30
18302;3875;569;2679;30
18885;3715;538;2120;30
19263;3574;520;2568;30
20454;2783;356;1334;30
21385;3241;433;1316;30
24907;4125;533;1571;30
25437;8090;700;2803;30
25684;7979;784;2642;30
26472;7837;695;6021;30
26594;7714;836;5779;30
26671;8793;1091;6002;30
26935;8325;1245;5414;30
26987;7724;1352;4855;30
26689;8218;1388;5842;30
27219;8189;1248;5358;30
27462;8057;732;6209;30
26943;8441;1229;5642;30
27470;7557;923;5703;30
27140;7928;1342;5063;30
27110;8594;1221;5733;30
27540;8161;752;6390;30
27206;8682;1169;5860;30
27461;8924;1046;6121;30
27192;7820;1361;5000;30
27289;8096;1397;6441;30
27318;8079;1206;5248;30
27704;8210;1392;6446;30
28043;8315;1354;2385;30
