boot_time;tomcat_time;instances;virt
712.46;2093;5;osv
737.25;2117;5;osv
713.72;2159;5;osv
680.60;2085;5;osv
663.06;2118;5;osv
729.03;2283;10;osv
630.75;2514;10;osv
743.34;2265;10;osv
762.63;2342;10;osv
462.61;2365;10;osv
690.81;2264;10;osv
829.40;2742;10;osv
780.75;2147;10;osv
765.43;2747;10;osv
809.53;2118;10;osv
796.04;2344;20;osv
640.17;2338;20;osv
581.24;2227;20;osv
804.16;2592;20;osv
600.55;2289;20;osv
757.63;2261;20;osv
647.42;3156;20;osv
816.38;2239;20;osv
798.05;2382;20;osv
860.84;2328;20;osv
613.27;2357;20;osv
799.87;2292;20;osv
860.85;2275;20;osv
834.75;2271;20;osv
490.16;2214;20;osv
515.70;2240;20;osv
612.33;2675;20;osv
613.03;2348;20;osv
802.56;2235;20;osv
705.49;2308;20;osv
796.04;2344;30;osv
732.32;2590;30;osv
789.77;2358;30;osv
888.80;2462;30;osv
640.17;2338;30;osv
912.24;2754;30;osv
581.24;2227;30;osv
963.85;2347;30;osv
804.16;2592;30;osv
1056.84;2301;30;osv
600.55;2289;30;osv
757.63;2261;30;osv
647.42;3156;30;osv
816.38;2239;30;osv
780.73;2599;30;osv
798.05;2382;30;osv
860.84;2328;30;osv
613.27;2357;30;osv
774.35;2324;30;osv
708.76;2656;30;osv
799.87;2292;30;osv
825.30;2628;30;osv
860.85;2275;30;osv
1040.42;2287;30;osv
612.17;3420;30;osv
597.45;2589;30;osv
834.75;2271;30;osv
825.19;2254;30;osv
972.40;2347;30;osv
490.16;2214;30;osv
