total_time;spawn_time;image_time;domain_time;instances
9075;5236;2092;2723;5
9124;5340;2274;2645;5
9110;5377;2180;2722;5
9241;5198;2396;2531;5
9256;5192;2533;2462;5
13667;7236;970;5764;10
13859;8135;2062;5606;10
13874;8136;1721;2904;10
14176;8082;2189;5360;10
14089;7442;2120;4880;10
14315;7565;1715;5150;10
14381;8392;2362;5362;10
14746;7683;2558;4784;10
14993;7448;1923;4973;10
15082;7367;2369;4722;10
18256;5880;1949;1626;20
20280;7052;769;5207;20
20917;10009;757;8277;20
21024;7326;747;5527;20
21106;9744;1092;7474;20
21228;9382;1376;6976;20
21217;9255;1433;6910;20
21444;9547;1236;7191;20
21287;8318;1474;6063;20
21700;8485;1337;2816;20
21622;8593;1463;6134;20
21170;9127;1594;6653;20
21823;7785;974;5640;20
21839;9900;952;7781;20
21278;8740;1392;6226;20
21570;9020;1514;6658;20
21614;8077;1579;5959;20
21780;8208;1698;5849;20
22159;8817;1626;6423;20
22173;9321;1580;6842;20
17385;3885;1655;1555;30
17401;3984;1656;1445;30
18302;3875;569;2679;30
18885;3715;538;2120;30
19263;3574;520;2568;30
20454;2783;356;1334;30
21385;3241;433;1316;30
24907;4125;533;1571;30
25437;8090;700;2803;30
25684;7979;784;2642;30
26472;7837;695;6021;30
26594;7714;836;5779;30
26671;8793;1091;6002;30
26935;8325;1245;5414;30
26987;7724;1352;4855;30
26689;8218;1388;5842;30
27219;8189;1248;5358;30
27462;8057;732;6209;30
26943;8441;1229;5642;30
27470;7557;923;5703;30
27140;7928;1342;5063;30
27110;8594;1221;5733;30
27540;8161;752;6390;30
27206;8682;1169;5860;30
27461;8924;1046;6121;30
27192;7820;1361;5000;30
27289;8096;1397;6441;30
27318;8079;1206;5248;30
27704;8210;1392;6446;30
28043;8315;1354;2385;30
