"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","controller",,,,"User:","stack"
"Cmdline:","dstat -cmndTr --output 10_instancias_dstat_controller.csv",,,,"Date:","26 Jul 2015 15:49:55 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"epoch","io/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
0.728,0.267,98.666,0.337,0.000,0.003,11892109312.0,380936192.0,15787036672.0,39452520448.0,0.0,0.0,1218.269,923116.087,1437936595.359,0.085,89.813
0.407,0.219,99.374,0.0,0.0,0.0,11890765824.0,380936192.0,15787036672.0,39453863936.0,1016.0,32029.0,0.0,0.0,1437936596.360,0.0,0.0
0.438,0.282,98.998,0.282,0.0,0.0,11887124480.0,380936192.0,15787044864.0,39457497088.0,834.0,31336.0,0.0,180224.0,1437936597.360,0.0,4.0
0.407,0.251,99.342,0.0,0.0,0.0,11887337472.0,380936192.0,15787044864.0,39457284096.0,898.0,31381.0,0.0,0.0,1437936598.360,0.0,0.0
0.594,0.188,99.093,0.125,0.0,0.0,11887853568.0,380936192.0,15787044864.0,39456768000.0,2975.0,33117.0,0.0,163840.0,1437936599.360,0.0,4.0
1.001,0.500,97.936,0.532,0.0,0.031,11887542272.0,380936192.0,15787044864.0,39457079296.0,1385.0,32501.0,0.0,3616768.0,1437936600.360,0.0,111.0
3.227,0.627,95.708,0.439,0.0,0.0,11913056256.0,380936192.0,15787053056.0,39431557120.0,1370.0,31424.0,0.0,360448.0,1437936601.360,0.0,25.0
4.951,0.971,92.228,1.786,0.0,0.063,11916255232.0,380936192.0,15787069440.0,39428341760.0,952.0,31427.0,0.0,1409024.0,1437936602.360,0.0,148.0
4.923,0.784,92.756,1.442,0.0,0.094,11918434304.0,380936192.0,15787175936.0,39426056192.0,764.0,31218.0,0.0,1761280.0,1437936603.360,0.0,150.0
4.387,0.689,92.980,1.880,0.0,0.063,11917590528.0,380936192.0,15787245568.0,39426830336.0,834.0,32805.0,0.0,1576960.0,1437936604.360,0.0,138.0
8.983,1.221,87.355,2.347,0.0,0.094,11898290176.0,380936192.0,15787343872.0,39446032384.0,15085.0,44602.0,0.0,1974272.0,1437936605.360,0.0,176.0
5.509,1.189,91.049,2.160,0.0,0.094,11897335808.0,380936192.0,15787429888.0,39446900736.0,297203.0,235936.0,0.0,2179072.0,1437936606.361,0.0,175.0
11.073,1.851,84.348,2.509,0.0,0.220,11898208256.0,380936192.0,15795843072.0,39437615104.0,82413.0,73589.0,0.0,11718656.0,1437936607.360,0.0,228.0
16.330,2.144,78.941,2.333,0.0,0.252,11902787584.0,380936192.0,15796023296.0,39432855552.0,120252.0,106503.0,0.0,2904064.0,1437936608.360,0.0,200.0
12.559,2.255,82.524,2.380,0.0,0.282,11903176704.0,380936192.0,15796207616.0,39432282112.0,228164.0,137238.0,0.0,2748416.0,1437936609.360,0.0,191.0
8.705,1.351,87.901,1.980,0.0,0.063,11907530752.0,380936192.0,15796441088.0,39427694592.0,142952.0,117162.0,0.0,3633152.0,1437936610.360,0.0,326.0
7.695,1.036,90.013,1.005,0.0,0.251,11908476928.0,380936192.0,15796523008.0,39426666496.0,146538.0,142873.0,0.0,1724416.0,1437936611.360,0.0,89.0
2.006,0.470,97.274,0.251,0.0,0.0,11909287936.0,380936192.0,15796563968.0,39425814528.0,122856.0,129063.0,0.0,696320.0,1437936612.361,0.0,19.0
0.812,0.437,98.501,0.250,0.0,0.0,11909443584.0,380936192.0,15796592640.0,39425630208.0,29726.0,53750.0,0.0,618496.0,1437936613.360,0.0,17.0
2.031,0.438,96.938,0.562,0.0,0.031,11909558272.0,380936192.0,15796592640.0,39425515520.0,1154.0,31227.0,0.0,737280.0,1437936614.360,0.0,42.0
3.037,0.344,96.024,0.595,0.0,0.0,11909251072.0,380936192.0,15796629504.0,39425785856.0,9876.0,56083.0,0.0,1499136.0,1437936615.360,0.0,194.0
3.280,0.750,94.470,1.437,0.0,0.062,11908976640.0,380936192.0,15796645888.0,39426043904.0,35456.0,55885.0,0.0,4059136.0,1437936616.360,0.0,641.0
1.969,0.469,97.375,0.188,0.0,0.0,11909545984.0,380936192.0,15796682752.0,39425437696.0,43741.0,66243.0,0.0,585728.0,1437936617.360,0.0,22.0
4.360,0.659,94.040,0.847,0.0,0.094,11909492736.0,380936192.0,15796682752.0,39425490944.0,14247.0,75022.0,0.0,1179648.0,1437936618.360,0.0,66.0
10.253,1.835,85.475,2.247,0.0,0.190,11910606848.0,380936192.0,15796711424.0,39424348160.0,133464.0,92004.0,0.0,3006464.0,1437936619.361,0.0,168.0
4.808,0.937,93.100,1.062,0.0,0.094,11913252864.0,380936192.0,15796813824.0,39421599744.0,196921.0,117562.0,0.0,8687616.0,1437936620.360,0.0,201.0
4.690,1.032,92.652,1.595,0.0,0.031,11912945664.0,380936192.0,15796834304.0,39421886464.0,45894.0,61308.0,0.0,3280896.0,1437936621.361,0.0,428.0
1.939,0.750,96.998,0.313,0.0,0.0,11914559488.0,380936192.0,15796883456.0,39420223488.0,44437.0,59401.0,0.0,753664.0,1437936622.360,0.0,24.0
