"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute",,,,"User:","root"
"Cmdline:","dstat -cmndTr --output 5_instances_dstat_compute.csv",,,,"Date:","26 Jul 2015 15:46:47 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"epoch","io/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
2.497,0.532,96.938,0.030,0.000,0.003,2405449728.0,247324672.0,10326069248.0,1.22177687552e+11,0.0,0.0,34254.085,913239.694,1437936407.609,1.984,187.190
0.405,0.343,99.252,0.0,0.0,0.0,2405163008.0,247324672.0,10326073344.0,1.22177970176e+11,834.0,33382.0,0.0,0.0,1437936408.610,0.0,0.0
0.188,0.219,99.593,0.0,0.0,0.0,2404691968.0,247324672.0,10326077440.0,1.2217843712e+11,898.0,32604.0,0.0,0.0,1437936409.610,0.0,0.0
0.125,0.188,99.687,0.0,0.0,0.0,2404970496.0,247324672.0,10326077440.0,1.22178158592e+11,1798.0,31031.0,0.0,0.0,1437936410.610,0.0,0.0
0.437,0.312,99.251,0.0,0.0,0.0,2404302848.0,247324672.0,10326077440.0,1.2217882624e+11,834.0,32794.0,0.0,0.0,1437936411.610,0.0,0.0
0.907,0.250,98.812,0.0,0.0,0.031,2403598336.0,247324672.0,10326089728.0,1.22179518464e+11,94667.0,160972.0,0.0,184320.0,1437936412.610,0.0,2.0
0.844,0.406,98.719,0.031,0.0,0.0,2402684928.0,247324672.0,10326089728.0,1.22180431872e+11,45341.0,123097.0,0.0,12619776.0,1437936413.610,0.0,2820.0
1.064,0.282,98.655,0.0,0.0,0.0,2401939456.0,247324672.0,10326130688.0,1.22181136384e+11,61654.0,178135.0,0.0,0.0,1437936414.610,0.0,0.0
1.187,0.937,97.844,0.031,0.0,0.0,2403663872.0,247324672.0,10326130688.0,1.22179411968e+11,25163.0,50906.0,0.0,970752.0,1437936415.610,0.0,37.0
2.161,1.691,96.117,0.0,0.0,0.031,2404212736.0,247324672.0,10327728128.0,1.22177265664e+11,90758.0,163096.0,0.0,2523136.0,1437936416.610,0.0,137.0
9.203,5.767,85.030,0.0,0.0,0.0,2441785344.0,247369728.0,10333970432.0,1.22133405696e+11,53366.0,94766.0,0.0,9543680.0,1437936417.610,0.0,420.0
11.502,5.657,82.810,0.0,0.0,0.031,2433998848.0,247398400.0,10340716544.0,1.22134417408e+11,3500.0,38327.0,4096.0,6873088.0,1437936418.610,1.0,280.0
